,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,ADA,TRX,XMR,MIOTA,DASH,BNB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0131812872149602,0,0.285025798793627,-0.228123142450694,0.0745946290582406,0.27845450322811,0.0441240068569069,0.202325241618892,0.131280005628554,0.106813013596602,0.0544079485973867,-0.325103594784458,0.178290945470725,0.0943155293294937,0,0,0,0,0.0392385354700033
XRP,0,0,0.263748289647595,0,0.0283362769686587,0.0574251481982636,0,-0.0520717184255149,0.401651769381872,0,-0.124581103610168,-0.0751853575780031,0,0,0.130628776878476,0,0,0,0,0
ETH,0,0.293132886257496,0,0,0.0274113283993439,0.096416374937525,0.315994034674684,-2.16840434497101e-19,0,0,0.187387534757509,0,0,0.232483310141643,0.00400535788112319,0,0.0464311615743908,0,0,0.0321039676018787
XLM,0.546406566691974,0.4263271542919,0,0,0,0,0,-0.0391541294607857,0,0,0,0.375112564167814,0,0,6.93889390390723e-18,0,0,0,0,0.0186693775483678
BCH,-3.04706899612904,0.591792901920852,0.165614262276144,0.314598004654538,0,0,0.852165243953682,0.169820438927022,0.539542287010724,0.20633403869366,0,1.06743942997415,-1.21578877318635,0.667869020979194,0.490708479686896,0,-0.126761369956299,0,0,0
EOS,0,0.550799989542543,0.660430491475973,0.0863921468123092,0,0,0,-0.0253897825831469,0,-0.320724708204888,0,0.26009321493371,0.227533514292599,-0.24316178041521,-0.295367179961294,0,0,0,0,0.0946259805740559
LTC,0,0,0.363986819588648,0,-0.000787804284887797,0.383919107845175,0,-0.00722755025824613,0,0.142758533624823,0.0565034931370089,0,0,0,0.0707691842600754,0,0,0,0,0.0697603336439877
BSV,17.9372897170727,4.44089209850063e-16,0,-4.33458999211372,4.89255135129958,-2.1527023832153,-4.11712775379939,0,-10.156341028771,-0.223855514252332,0,0.505950666638116,7.61031535378388,-4.02669708186018,-3.09575819081324,0,0,12.8276178182942,0,-0.966459929749137
ADA,0,0,0,0,0.166110072350978,0,-0.00621630795871596,-0.0234007265949789,0,0.347361991162162,0.271882537437573,0.108225403684223,0.148898018624282,0,0,0,0,0,0,0
TRX,0.142648794090973,0,0,0,-0.137103101137775,0,0,0.0117596692737113,0.701107087712247,0,0,0.281314227846345,0,0,0,0,0,0,0,0
XMR,0.242614736054412,0,0.382551432295791,0,-0.233071053638265,0,0,0.0097225170481281,0,0.0812078721617053,0,0,0,0.262475941967762,0.386361552778874,0,0,0,0,0.00853583973080213
MIOTA,0.497594426872639,0,-0.0377963585435602,0.0703452278501785,0.128467598571811,0.116444662326661,0,0.0226178439886375,0.247911495260495,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0407763646900039
DASH,0,0.19029857938484,0,0,-0.257569882534025,0,0.292824216206974,0.0285537172493377,0.477635617717471,0.0675076224234156,0.0514268792245212,0,0,0.176077132702599,-6.93889390390723e-18,0,0,0,0,0.136521093798693
BNB,0,0,0.882036915540578,-0.0786546726404732,0,-0.536493696142539,0,-0.0068039811375636,0,-0.146243509651789,-0.12361868181251,0.617577235841052,0.384645757516357,0,-0.129934507006955,-0.634148631663829,0,0,0,-0.0163738883622737
XEM,1.84383446726373,0.197389575258429,0,0,0.216788089110462,-0.55371618286432,0,-0.0388993920090358,0,-0.31820136697453,0.268284568904365,-0.467196541995875,0.277783419035737,-0.521497337048019,0,1.47208482384227,0,0,0,-0.076973531934862
BV010082.Index,0,-0.239743360472572,0.265723414858948,-0.135315624271674,0.00589094686272375,0,0,-0.00337880156547527,0,0,0,0,0,0.0438772695824586,0.0664301159118739,0,0.082015929155225,0,0,0
CVIX.Index,0,-0.111855633955529,0,0,0.0536275271402279,-0.0607635985111597,0,0,0,0,-0.00941731458989492,0,0,0,0,0,0,0,0,0.134963297538641
DXY.Curncy,-0.0223108267912176,0.0355553376449236,0,-0.0182519722621388,0,-6.7762635780344e-21,0,0.00579968649760351,0,-0.0132451128971334,0.029060584834576,0,0,0,0,0.150003617416198,0.0558110682825924,0,0,0.00725714442616664
SPX.Index,0,-0.0639277013630252,0,0.0297822799347921,0,0,0.055428511999175,0.000487039382068048,0,0,0,-0.0217201634349936,-0.0143306611916781,0,0,0,0.130079998421034,0,0,-0.122713826386938
VIX.Index,0,-0.989671668685286,0,0.0601908336864648,0,0,0,-0.0438916947475005,0,0,-0.303992758626762,0.432999143274402,0.878428679694124,0,-0.276524784581649,0,0,0,-3.63170321643766,0
