,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0686019762781943,-0.0467904099098785,0.0653323045923599,0.053185558019796,0,0,0,0,0.093047217017312,0,0.531768950051321,0,0.00760005734473403,-0.0536836719245027,0.187267681216728,0,0,0
ETH,0,0,0.0778867891614131,0.075922558209014,0.035919733550274,0.25557355221128,0,0.105389918808235,-0.105376391288851,0.102918964848643,0,0.156925760095912,0,0,0.00111160499294186,0.12503442320079,0,0,0,0.0259904706301586
XRP,0,0,0,3.46944695195361e-18,0.232263287728673,-2.77555756156289e-17,0,0,0,1.09513432181301,0,-0.307237565505521,0,0,0.335319544478766,0.118333119347373,0,0,0,0.178349334001934
BCH,0,2.80989379189191,0,0,-0.33623686500974,-0.175368880077889,0.917710226192761,0,0.436590006920026,-1.41534004517191,0,1.01295226049442,-0.208565744822431,-0.0881961185833555,-0.295264284676165,0,-0.29825023654286,0,1.46663914423015,0.23296182257914
XLM,0,0,0.336901811522504,0.0245906271524551,0,0,0,0.435081348983435,0,0,0.0287891131825766,0,0,0,-0.0944693756194864,0,-0.323656689935002,0,0.211389260615336,0.0551135232518178
EOS,0.473762005099397,0.130100563709435,0.100553655895599,-0.0281702644858628,0.0713050228571986,0,0,0.303675907533719,-0.0470905008132737,0,1.38777878078145e-17,0,0,0.208320896481717,0.02117041942759,0,0,0,0,-0.0299771155417024
LTC,-0.187920858772963,0,-0.0346319974574172,0.221660325278396,0,0,0,0.215364546788782,-0.279912943383081,0.386075028192866,0.21937538735344,0,0,0.0825033641781343,-0.00411067790798157,0,0,0,-0.0681623866476353,0.0243063796683892
ADA,0,0,0,0.0883022670707602,0.0288430352983854,0.235703571615849,0.212432000108968,0,0,0,0.175383822948141,0.206500693505128,0,0,0,-0.22934470238177,0,0,0,-0.0648246731792225
XMR,0,0,0,0.0733929882681544,0,0,0,0,0,0,0,0,0,0.34402762099107,0,0.56864294565333,0,0,0,0.0694391142292109
TRX,0.453812857341423,0,0.203695459341755,-0.11733870437276,0,0,0.354786431093272,0,0.0907568794472685,0,0.125513128047722,0.355399640911721,0.00733234086837784,0.00952924176419215,-0.111324561923399,0,-0.199564353115895,0,0,-0.0280673585284126
MIOTA,0,0,0,-0.088144968704595,0,0,0,0,0.365991256745515,0.524328877167054,0,0,0,0.255826864648926,0.249641771598293,0,0,0,0,0
DASH,0,0,0.000171718939332377,0.112294467178905,-0.0653892319080024,0,0,0.547622357228709,0,0.171556143611297,-1.38777878078145e-17,0,0,-0.328881288353733,0.17275435546515,0,0.194127145865744,0,0,0.0201003113834606
BNB,0.253357981452512,0.0152323214426431,0.0346980910741064,0.0447108562238324,-0.0410982541492469,0.0709047766200159,0,0,0,0.213037248822309,-4.33680868994202e-19,0,0,-0.0037172924677717,-0.0152446996331992,0,-0.0455035889412407,0,0,0
NEO,0,0,-0.0824743904344354,0.190384722141242,0.127504655612418,0.533914846367793,0,0.306892487719314,0.102969709451048,-0.295834273953106,0.14847986868978,-0.395258904593144,0,0,0.0787360655024018,0,0,0,0,-0.0160709741302287
XEM,0,0,0,0,0.141175696749042,0,0,0,0,0,0.433948797993534,0,0,0.273527844616069,0,0.344419191598785,0,0,0,0.0280150215940364
BV010082.Index,0,0,0.103906031355507,-0.0198816884526195,-0.0586606309756168,0,0,0,0.275770367799155,0,-0.205729235925143,0.0093122657484046,0,0,0.034276583560872,0,0,2.21581428824887,0.603207907420598,-0.0944360235997328
CVIX.Index,0,0.534845376015215,0.292268489957811,-0.149041629861993,-0.292732925011221,0,0,0.197962501974068,0,-0.478500497022623,-0.143563103980394,0,0,0.369608885493181,-0.0699148913964277,-0.648141755254658,0,0,0.896165786398044,0.0513330358193788
DXY.Curncy,0,0,0.00493441880288757,-0.0271863964680262,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.110277181868137,0,0,0,0.045475819971755
SPX.Index,0,-0.185642848819889,0,0,0.0526516605206774,0,-0.19597955858763,0,0,0,0.376393046538711,0,0,0,-0.0322426613121978,0.101693589087793,0,0,0,-0.130628272024253
VIX.Index,0,0,0.421219632360786,0.961045230416483,0.215389570369987,0,-3.23190007866031,0,0,0,0.692845249688461,-0.107814475523243,0,0.315124512662878,0.051600720140557,0,1.08293473095373,6.92113753226787,-3.99741092194322,0
