,BTC,XRP,ETH,BCH,XLM,EOS,LTC,BSV,ADA,XMR,TRX,DASH,MIOTA,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.170475402781467,0.18229524520802,0.200750193950074,0.37279434176996,0.016889711552264,0,0,0.0833981598317016,8.67361737988404e-19,0.225760084726046,0.0354146445447089,0,0,0,0,0,-0.0775175525173468
XRP,-0.578971100656461,0,0.158945516399568,1.73472347597681e-18,0.432870679245122,-0.2260518770397,0.18673144693242,0.00914407394005501,0,0,0.500959438752936,-0.358328771844295,-0.064368814856513,0.372242916088113,0,-0.638384198500818,-0.129116771447216,0,0,0.192482713809772
ETH,0.154006445509457,0.128483441166742,0,0,0.138568379470189,0.0699164237511915,0.190191406925964,0.00552263964234213,0,0.104172358489484,0.0415507482281509,0,0,0.0727574761108376,0.228849300080633,0,0,0,0,0
BCH,-1.65883902819335,0.244797756245751,0,0,0,0,1.1077674566824,0.042564811850833,0.961581263930057,-0.643006790364213,-0.07582805432904,-0.913845079906401,1.14075750876409,0,0.750335047883958,0,0.470365698866881,0,0,-0.335487074069836
XLM,1.00353015422683,0.370243891823168,0,0.0698464906319868,0,0.0804359154870568,0,-0.0282562352557275,0,0,-0.0635430121713863,0,0,-0.0700292982250597,0,0,0,0,0,0
EOS,0,-0.103045558179443,1.14891749852277,-0.232587451967804,0.283372314173215,0,0,0,0,-0.187523524881299,-0.115661396747524,0,0.75148367923603,-0.260879284278721,-0.600436988564862,-0.322365784784415,-0.0414532722694282,0,0,0
LTC,0,0,0.619517590086293,0.0933452882346319,0,0,0,-0.0184019524554601,0,0.0541313093568445,0.178995253415131,0,0,0.00862058582002513,0,0,0,0,0,0
BSV,20.2256403524867,2.95318274580157,-5.55111512312578e-17,4.39250307295063,-5.58304090785695,-4.31604882556545,-3.6481238744478,0,-9.59665282948768,-1.55062526603755,-1.2699784641981,7.60600507922835,4.02693692133829,-2.90663010182968,-6.4204695876456,-5.55111512312578e-17,0.481326925078731,0,0,-0.94420103795681
ADA,0,0,-0.152441804963557,0.2712867176449,0.0657668771710817,0,-0.0763646875504054,-0.0292683332564572,0,0.294727691721733,0.105847584541325,0.36143681801778,0.109381772272231,-4.33680868994202e-19,0,0,-0.0490432187921533,0,0,-0.0184156614801051
XMR,0.5247533655183,0,0.308097889421549,0,0,0,0,-0.0131604493114383,0,0,0.000516269354649407,0.34441718843669,0,0,0,0,0,0,0,-0.0530358487536591
TRX,0,0,0,0.104994780116134,0,0,-0.021575027193603,-0.00502097080738367,0.15555740050114,0.336242902350576,0,0.265106832774678,0.123501904737361,-0.0446677125638193,0,0,0,0,0,-0.031602371508268
DASH,-0.724354394787411,0,0,-0.405905408734243,-0.0807280290900097,0,0.569028468428794,0.0417424474154801,0.665652813565207,-0.199283537515787,0.170850710135846,0,0,0.239588832787779,0.604800494751599,-0.53893052754309,0,0,0,0.154749695014032
MIOTA,0.61676726992842,0.0500992506926693,0,0.178142503340084,0,0.185960902898015,-0.141395455237265,0.0150092480846342,0,-0.0138759850044574,0.102594654432233,0,0,0.106965399886923,0,0,0,0,0,0.0363731286480969
XEM,0.448565813510444,0,0,0,0.301284533194506,0,0,0.00836198394683748,0,0,0,0.0631177068158971,0,0,0,0,0,0,0,0.0426639127317084
BNB,0,0,0.792163455619801,0,0,0,0,0.0236966852851634,0,0.0558961274441224,0,0.0743100367073442,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.288347056277365,0,0.0469579000818933,-0.088555032303205,0,0,-0.01556498469044,-0.297048764685841,0.117326997826456,0.150705932918581,0,0,0.0777408436834055,0.316507996367809,0,0,0,0,0
CVIX.Index,0,-0.123770055362371,0,0.0389510178236043,0,0,0,0,0,-0.0406443548073701,0,0,0,0.0340249808706297,0,0,0,0,0,0.120526841712612
DXY.Curncy,0,0,0.0136346061166524,-0.00228083564074142,0,-0.0629199094817975,0,0.00444537947329049,0,0.00444549590346251,0.017480650924998,0,0.0256277262937802,0,0,0.085118157486827,0,0,0,0.0186611003992158
SPX.Index,0,0,0,-0.0146871615584933,0,0,0.0388474268414574,-0.00197931314617494,0,0,0,0,0,0,0,0.0369879374866522,0.204469371802375,0,0,-0.142587596478271
VIX.Index,0,0,0,0,-0.179240261773632,0,0.487580768792654,-0.0270256062161901,0,-0.164759961323782,0,0,0,0.0855628950094193,0,0,1.44047504956129,0,-5.9930165792945,0
