,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0583468882601586,3.46944695195361e-18,0.00829161998281472,0.268073322197542,0.221433175512347,-0.289142195502354,0,0,0.543096522391148,0,0.365578623787884,0.112010645257737,0,-0.228567421632841,0,0,0,0,-0.0175110796232148
ETH,0.0937000561286924,0,0.0970711155966961,-6.93889390390723e-18,-0.028474061744735,0,0.16956560240577,0.108815771931869,-0.127793317375968,0.00613082830223918,0.22592853180293,0.0541411286133026,0.0158495679761474,0.0958193452362039,0,0,0,0,0,-0.00808615020803622
XRP,0.0845837979042235,0,0,-0.0287153973538999,0.252411137177578,0.218455630334753,0,0.276868407536056,0,0,0,0,-0.0406531694209294,0,0.0756778964721022,0,0,0,0,0
BCH,0,0,0,0,0.120698374400949,0.279360994950974,0,0.332424312672381,-0.243135250594714,0.453400909319123,-0.395575454207144,3.46944695195361e-18,-0.341949976872769,0.739435598449709,0,0,0.726758487382358,0,0,-0.0578857377024878
LTC,0.0592832120913888,0,0.000922271265563726,0.549979860323844,0,-0.0471304553298223,0.231728523202781,-0.0331779437374547,0.186339311253993,-0.613044860888967,0.770911288692868,0,-0.476740982447467,0,0,0,0.0952017289609413,0,0,-0.0825956981008246
NEO,0.051079741437712,0,0,0,0,0,0.0176793981601902,0.0969698660889107,0,0,0.166716327147099,0,0,0.131079081741638,0.187101423055808,0,-0.741377118822611,0,0,-0.0581902418495249
ADA,0.082627586415717,0,0,0,0,-0.16971831630607,0,0,0,0,-0.159989868739665,0.547645040233811,0.893070454800672,-0.425581624948686,0.255896765239625,0,-0.442102308204266,0,0,-0.162789638151723
XLM,-0.354900466211391,0,0.164896945284833,0.731552330488965,-0.438757102261838,0.141002147587157,0.354649462436651,0,0.399065424652463,-0.0699708332967925,0.163275414964508,0,0.0889808172884649,-0.423923677171657,0.0138573140329563,0,0,0,0,-0.0135781408437058
XMR,0.746748285166999,-1.48389457080387,0.158766697762025,-0.344762709917134,0.371125194438303,0,0,0.783182818059529,0,0,0.750669964111893,0,-0.363498539442511,0.359468927049476,-0.160829539240057,0,-0.0807602203267171,0,0,0.254974006603556
EOS,0.425410909329594,0,0,0.323903182570122,0,0,-0.0751631938030932,0.03221188826102,0,0,0.384956514117074,0,0,-0.211302456539566,0.0987841885662071,0,0,0,0,-0.0151547690329011
MIOTA,0,1.04917526218036,0.139314870528086,-0.0274488565900213,0,0,0,-0.0566318168396492,0.151797547451195,0.171475758592756,0,0,0,0.0799232735256601,0.0206760002293708,0,-0.212302609635398,0,0,0
DASH,0.220321964058197,0,0,0,-0.283571830031111,-0.0402620533969604,0.337768012720336,-0.00178396468108113,0.259114088401911,0,0.131389485440496,0,0.104034833089901,0,0.147091644339912,0,0.747156247050266,0,0,0
XEM,0,0,-0.0913302713848597,-0.542682993667464,0,0.198108865220665,0.237473973461806,0.244851281342779,-0.403621437012696,0.101746441241303,0.1631112641211,0.305248531913294,0,0.635164216664563,-0.112138727270729,1.25554764935766,0,0,0,0.105701638453109
TRX,-0.283946824775904,0,0.0622432086321244,0.640759953063218,0,0.0873440621381479,-0.155061910199337,-0.343759783709911,0.341099158430746,0,0.0628706020039124,-0.105833982794569,0.730483584958217,0,0.13265867422053,0,0,0,0,0
ETC,0,0,0.721502607588869,0,0,0.179815769238831,0,0,-0.180276860000425,0.113635568569567,0,-6.93889390390723e-18,0,0.192746425312798,0,0,0,0,0,-0.13780020942265
BV010082.Index,0,-0.202574634496313,0.00712604208163601,0.109179276329009,0,8.67361737988404e-19,0,0.0372276581325528,0.101147924636393,0,-0.069554015598411,0,0.171533454783199,-0.164356172869801,0.0411712077598668,0,0,0,0,-0.0630931956132195
CVIX.Index,0,-0.318958650416732,0.002586597302632,0.125898712749268,0.151049941232664,-0.0691982159051714,-0.0460193864909197,0.0929713537856148,-0.196259219124276,-0.123039392867039,0,0.460476168541663,-0.0494096173944529,0,-0.0479238934986754,0.0827907165756265,0,0,0,0.0510151621529736
DXY.Curncy,0,0,0,-0.0491012894933625,-0.0264422750745021,0,0.0197654637567181,-0.0147489255128426,-0.0227709144456743,0,0,0.0340750525701383,0.0372609490557411,-0.00401103347654415,0.0102392919713929,0,0,0,0,0.0157592132904185
SPX.Index,0,-0.252660398768018,0.0446471718130883,0.0953213990038794,-0.00842808485961224,0.0652082585096218,0.0816991132824988,-0.00602811759419399,-0.00352172039732307,0,0.0113680696003534,-0.0895046721584418,0,0,0.0139385265829484,0.116933149824777,0,0,0,-0.054319029925625
VIX.Index,-0.773386902469265,-0.8291352467259,0,0,-0.0901849470863165,0.141639698839396,-0.44799284053997,0,0.869465178159189,1.84603659937419,-2.13367688070198,0,0.56431392518921,0.489925625909977,0.246224822664361,-5.103150973234,0.988364797488768,0,-0.503815277849674,0
