,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0168118106874656,0,0,0,0,0,0.0356669495705342,0.142270627394802,0.147688251388948,0,0,0,0,0,0,0,0.013343240115008
ETH,0,0,0.268345390068842,0.390335681156146,0.221049714075442,-0.0542070016595362,0,0,0,0,0,0,0.182083074548911,0,0.0476937877128183,0,0,0,0,-0.01395852360326
XRP,0.333083488790736,1.3931499081783,0,-0.966534386429665,0,0.678954832095925,0,0,-0.438927432497087,0.295713175279901,0.586998311275499,0,0,-0.524017830481897,0,0,0,0,-0.584216355621378,0
BCH,0.0311624421211136,0.807007584710173,-0.14502271248268,0,1.38777878078145e-17,0,0,0.0181362581912108,0,0.0425172285642403,0.231357921520624,0,-0.27583306031852,0.174447605096558,0.195085036685536,0.109863286892567,-0.0694244492835163,0,0,0.0567107925869359
EOS,0.331044408148645,0.290850119143799,0,1.38777878078145e-17,0,0,0.194998917773007,0,0.0468131602470498,0,0,0.197103588107006,0,0.0737620885547955,-0.00942603018697293,0,-0.099679389039031,0,0,0.000410346093056442
XLM,0,0,0.337931514850095,0,0,0,0,0,0,0.0452920141742432,0,0.390615950234235,0,0,0,0,-0.138014754325331,0,0,-0.00615353127649437
LTC,0,0,0.14276514489409,0,0.341348372815285,0,0,0,0,0.261032121741864,0.134777929850614,0,0,0,0,0,0,0,0,0.0537604155970009
ADA,0,0,0.159564110211191,0.600302176181962,0,0.0338644021344536,0,0,0,0,0,0.0221850954792854,0,0,0.203012581677487,0,0,0,0,0.0122167920642418
XMR,0,0,0.110564788547793,0.700874927319822,0.0916126583901444,0.204317396483712,-0.49562688025348,-0.158474459897835,0,-0.196405214776555,0,0,0.607715060355508,0,0,0,0,0,-0.0276978203527857,0.0118631608913477
TRX,0,0,0,0.244240688218291,0,0,0,0.211273725372086,-0.411166412572428,0,0.653991561083981,0,0.410203570167116,0,0.128777972203453,-0.239548580499678,-0.150886870692866,0,0,-0.0439179597017936
DASH,0,0,0.187026242635665,0.289382211828663,0,-0.321471596527119,0.420369576686925,-0.0190684706109456,0.217937971197966,-0.0980551121390626,0,0.173623127079673,0.125499743639537,0,-0.21297360241639,0,0,0,0.50429858658509,-0.0131822857714626
MIOTA,0,-0.131744356806069,0.0126323537371065,0,0.150703630825909,0.348884544430439,0,0,0,-0.059489758867962,0.659468265626846,0,-0.130868486891291,-6.93889390390723e-18,0.407978904738863,0.055123218310945,0.191269230919694,0,0,0.0117945181575972
BNB,0,0,-0.203394678348164,0,0,0,0.449659676448513,0,0.179291607116206,0.280754541767161,0,0.10257857522274,0,0,0,0,-0.0252538956443221,0,0,0.0343303014684479
NEO,0,0,0,0,0,0,0,0,0.393714360428578,0,0,0,0,0,0.54882054056944,-0.308988691300364,0,0,0,-0.0345445944335276
ETC,0,0,-0.0579396381432584,0.344291234203292,0,-0.0655667774954721,0.033133999222899,0.347278924875566,-0.095879579597347,0.161338003543465,-0.28580128029344,0.241791542016514,0.103497185986271,0.161886708184316,0,0,-0.0960256533064194,-0.380089754134318,0,0.00166472644980024
BV010082.Index,0,0,0.257024617964272,0.737344161161273,0,0.4306822964328,0.266586676470064,-0.843703197777579,0.164717665265464,-0.142702239959344,-0.347486421443586,-0.147009390901128,-0.302023272186046,-0.231017026838232,0,0,0.155928601767396,0,1.39993887450181,0.0516429671171476
CVIX.Index,0,0.182566015751781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447680915157711
DXY.Curncy,0,-0.0192068864461545,-0.00380402057994852,0,0,0,0,0,0.0608501939538851,0.00257409279484877,0.0018901291147406,0,0,0,-0.0418578431303127,-0.014722629144724,0,0,0.108951217666531,0
SPX.Index,0,-0.0954365526063375,-0.0747177242713093,-0.0427940674052134,0,0.173262773599591,-0.249510962912158,0,0.12515925715709,0.0606493471799233,0,0,0.159582687262222,0,0,0.266613098516761,-0.128532628170535,0,0,-0.074107928307881
VIX.Index,0.597497031033468,-1.64542950998853,0,0,-0.774635858749773,0,0,0,0,0.687845551600298,0,0.420428370516383,1.46012964005975,-1.37051500622837,0,2.69485704655672,0,0,-6.53082803146193,0
