,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.315457889193736,0,0.306575000976483,0,0.167576608215251,0,0,0,0,-0.0673299872312057,-0.0234677203173896,0,0,0,0,0
ETH,-0.130002468843247,0,0.256974168994862,0.246634408108799,0.160120811518722,0.268506426328972,6.93889390390723e-18,0.195051980839912,-0.273453955723961,0,-0.184511309246034,0,0.642401880786874,-0.167112777164879,0.141154553164719,0,0,0,0,0
XRP,0,0.312920528324262,0,0,0.423644849935566,0.0104240305493329,0.0440037811931884,-1.38777878078145e-17,0,0,-0.231834019447397,0,0.20189055148931,0,0,0,0,0,0,0
LTC,0.170617417476541,0.126560080139961,-0.444576920468086,0,-0.144364714789323,0.158152783046939,0.251407810354144,0.116729910482724,0,-0.00779207521327167,0.187036149422437,0.115407666348385,0.0824365634123601,0,-0.073995835050042,0,-1.12359958733019,0,0,0.171345676540622
XEM,0.641161636107888,-3.46944695195361e-18,0.126651237645268,-0.592175308159227,0,0,0.250790574282553,0,0.15471129655807,0.340573139323343,0.119532183958289,0,-0.214265343360073,0.25338144734607,-0.0714636750535526,0,0,0,0,0
ETC,-0.00929931991203643,0.382934505833751,0.276046164743686,0.740803874566722,0,0,0.085165824940985,-0.186796611514374,0.209961205242053,0.209410483420348,-0.131441609706094,0,-0.360980238294819,-0.106939215534028,0,0,0,0,0,0
DASH,0.234362487367451,0,-0.353901270931707,0.943944356162165,0.473759101591639,0.29806266802173,0,0.101657408976646,0.166727582337115,-0.336179575086477,-0.312765422724174,-0.346557027427399,0.422381876866195,-0.271350536065981,0.300655184054642,0,2.26228300577805,0,0,-1.17530972563522
MIOTA,0.92165214151138,0,0,0,-0.218973717646609,-0.0697724397032039,0,0,0,0.527807491176583,0,1.1963886723192,-0.692115633816408,0,0.10004021148243,0,0,0,0,0.306886699454825
XMR,0,0,0,0,0.139527774236654,0,0.631151843534091,0,0,0,0,0,0,0.178376346410119,0.051117285398797,0,0,0,0,0
EOS,-0.0518405527487114,0,-1.04682923095715,-0.385378859576834,0.374469522891855,0.737735744947687,-0.0319275799019232,0.318660375592446,0,0,0,0,0.783873430866901,-0.107232138486216,0.154786574025812,0,0,0,0,0.161567166129927
NEO,0,0,0,0.888248061209221,0.205875184980336,0,0.0563756216632413,0,-0.180724418886332,0,0,0.410027202902392,0,0.23348462329985,-0.0466180014865595,0,0,0,0,-0.00404498946594558
ZEC,-0.280923741479679,0,0,0,0,0.13938655051297,0,0.223653491542944,0,0.0960993765320303,0.313524096993912,0,0,0,0.0819570029114777,0,0,0,0,0
DOGE,0.285310429388613,0,0.505114892945931,0.239800849725341,-0.0787953704562548,-0.253626504654263,0,-0.1969602133972,0.18585192504679,0.349206818851523,-0.06129947569451,0.178978217644128,0,0.202277748300468,-0.0612976315341483,0,0,0,0,0
XLM,-0.0335592249403849,-0.0549524135114062,0,0,0.515958390007925,0,-0.625887982234798,0,0.29162471549655,0,0,0.475475954154144,0.263729076658117,0,0.131639550364298,0,0,0,0,-1.20609957097162
DGB,0.0217352682258839,0,1.23636367749248,0,-0.403059787990884,-0.735659636920859,0.167446276204816,-0.248211427586944,0,0.459115490154396,-8.67361737988404e-19,1.27178212577859,-0.730949788967578,0.460516019640504,0,0,0,0,0,0
BV010082.Index,0,0,-0.0164582789635758,0,0,0.0126383895532603,0,0,0.101084949774958,0,-0.112993061466489,0.0601377547433144,0,0,0.0112579731117337,0,0,0,0,0
CVIX.Index,0,0,0,-0.393337171686856,-0.107762578748698,0.0229823689905225,0.222241072156139,0.00835524126241565,-0.0173379050261658,0.0494771182875665,0.0682132017564291,0.1539087425423,-0.0420433406120533,-1.0842021724855e-19,-0.0801020633506399,0,0,0,0,0.223987622604967
DXY.Curncy,0.0512240929682671,0,0,0.00646741420750679,-0.0187972914735842,0.0164619024873842,0,0.0122545234444348,0.00286248806244454,0.00236853002670941,-0.045471823571975,0,0.00616040932924942,0,-0.00928985900213821,0,0,0,0,-0.0391940759447462
SPX.Index,0.0161936300693808,0.00897611523317097,0,-0.015843802669676,-0.0176170016866529,-0.00638958701546788,0,0.00451670402768612,0.00683233356235071,-0.00772584596858884,0,0.00129180458689628,0,0.0108899708875353,-0.00406688199439093,0,0,0,0,-0.0416623520182688
VIX.Index,0,0,-0.43237405636702,0,0.193760020985911,0.233465472051751,-0.226664887066285,0.11687927785492,0.0622826445219383,0,0.00923600062117277,-0.276805321412378,0.40537324337931,-0.391444464373484,0.174766323330103,0,0.415368600617246,0,0,0
