,BTC,ETH,XRP,BCH,LTC,XEM,DASH,MIOTA,ETC,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.108271948460905,-0.133220464624994,0.136023082928079,0.0992868151936028,0.836052568415759,0.0239414097563247,-0.915819269342633,0.20785679571215,0,0,0.0783732746158038,-0.337324935079977,0.602107482285799,-1.93084298995267,-0.203899362596483,2.23709483592173,0,0
ETH,0,0,0.938522434517783,0.0536235840634996,0.343086133620337,-0.0241213025698844,-0.205359412989009,0.141701126764038,0,0.0525588058261685,0,0,0,0,0,0,0,0,0,0
XRP,0.0666164547385085,0.498356339880593,0,-0.00011833457384985,0,0,0,0,0.104348353016222,-0.0522915779622315,-0.0981272183720201,0.0953200689674559,0,0.084547896551695,0.0066655861525943,0,0,0,0,0
BCH,0,0,0,0,-1.20183027866891,1.07594968614062,0,-0.589366733915224,0,0.0243524544883252,0,0.514425834334434,1.6524629615045,-1.32470297329244,0,0,0,0,0,0
LTC,0.16133040829474,0.33476165173176,-0.387552330920694,-0.0633057644359923,0,0,0.143419917179732,0,0.354656718914149,-0.043426909268853,0,0.0550898420999022,0,-0.00567206883643655,0.15043476234258,0,0,0,0,-0.0958629021002457
XEM,0.265748597914214,0,0,0.112264759727399,0.24325379100193,0,0.176586548989154,0.288203317895902,0,0.0685202904007458,0.18840772623743,0,-0.433506575077878,0,0,0,0,0,0,0
DASH,0.08582912713271,-0.154325258508993,0.479536589848597,0.0333499400245975,0.605225595789284,0.111583220200076,0,0.005940803219506,0,0.0686406061222713,0.250498986585202,0.0528977134136423,0,0.0446051187992776,-0.304615225603993,0,0.66673792065187,0,0,0
MIOTA,0.0466694927041222,0.689517137196582,0,0,0,0.271642514152235,0.0569117980976404,0,0,6.93889390390723e-18,0,-0.170556410116074,0,0,0,0,0,0,0,0.559399957203156
ETC,0,0.364262710949194,0,0.00864712858689054,0.230312238335029,0.0394329188189962,0.0704466177467236,-0.0467846907477174,0,-0.0904045177685301,0.0604508693977979,6.93889390390723e-18,0,-0.0267943179263361,0.180141790065179,0,0,0,0,0
NEO,0,0.452785502935504,0,-0.108511861497914,0,0.449969729007808,0.0950841574124126,-0.21027224249105,0,0,0,0,0,-0.10861835015023,0.816855885156171,0,0,0,0,0
XMR,-0.185242721148112,0.227729717689071,-0.340035686398435,0.0732062218135819,0,-0.0745375492063326,0.80240922835369,0,-0.44123679936633,0.0517192642606099,0,0,0,0.462240170864236,0.303652828476016,0,0,0,0,0
EOS,0,-0.818881285712543,0.609932224137679,0.104645450646518,0.308148802132783,-0.0844979742705199,0,0.182202393705762,0,0.0978595143190021,0,0,0,0.158102280057882,0.523153073751263,0,-0.529714052107821,0,0,0.0211453134010161
ZEC,0,0.730819021842228,0.134689005540413,0,0,0.160278499510698,-0.132635395180578,0.127621260476001,0,-0.0972756922107749,0,0,0,0.0867349449218676,0,0,0,0,0,0
XLM,-0.264800122090863,-0.220694106056215,0.611930345048605,-0.0118194694089346,0,0.354598884370635,0,-0.619728715970342,0,0,0.687043152230457,0,0.864277036277939,0,0,-0.340146729307831,0,0,0,0
DOGE,0.381589169307281,8.67361737988404e-19,0,-0.0305810353305241,0,-0.0133187814183299,-0.150948863974223,-0.137155210995283,0.434377225497281,0,0.280831213024709,0.350823547567132,-0.0266888410760707,0.159217766652849,0,0.273450640126443,0,0,0,0
BV010082.Index,0,-0.0215047725431742,0,0.0103146591648566,0,-0.0193299355982602,0,0.0243029254888052,0.0995829176021156,0,0.0323657955608492,-0.134829650865875,0,-0.0365401365415421,0.0915165375846285,0,0,0,0,-0.163408235847784
CVIX.Index,0.0114087983126827,-0.084776946828423,-0.40703384199207,-0.0304851325320837,0,-0.0117532295763677,0.119600931744574,0,0,0.0539975595416346,-0.0477133504306211,0,0.123923892082003,0,0.0311409208014196,-0.227958182048673,0,0,0,0.300660583496348
DXY.Curncy,0.0570273671523666,8.67361737988404e-19,-0.0330207146061575,0.00502549026735032,0,-0.0077008488832199,-0.0402996218307949,0.0321160283081047,0.0631572996848352,-0.0183136080579595,0.0228821027625014,-0.0234433046509826,-0.0369452331409798,-0.00802300034965249,-0.00387324864331817,0,-0.04878821894997,0,0,-0.0843491719551242
SPX.Index,0.0105757024723853,0,0.0101232318482487,0.000523248609604389,-0.00293544290472931,-0.00592454714132096,0.0107006240688312,-0.0039677516215689,0,-2.16840434497101e-19,0,0.00583496469516085,0,-0.00645000026885893,0,0,0,0,0,-0.0173758276935921
VIX.Index,0,-0.073731159000414,0,-0.00487336946168518,0,-0.0260013467726512,0,0.153741742372476,0,-0.0129627975138083,0,0,-0.0781141163378114,0,-0.0880680747312913,0,0,0,0,0
