,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,NEO,ETC,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0279351567744281,-0.0992777428879222,0.144283958988766,0.435440357144732,0.188540338195048,0.148262990527666,0,0,0,-0.268868959943159,-0.198542912670272,0,0,0.111144494053087,0,0,0,0,-0.0995151539120642
ETH,0,0,0,0.228383952335603,0.159625692113017,0,0,0.272721721458588,0.0245182921770369,0,0.0170588846236951,0,0.0611256250320439,0.155949950263144,0.166054249638608,0,0,0,0,0
XRP,0,0.10201235013658,0,0.137063085927846,0.194505462591258,0,0,0.296140790757754,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0
BCH,0.285252297553001,0.414254929912263,0,0,0,0,0.285984682735883,0,-0.0534221434384752,0.158380961676977,-0.0710707456656393,0.0915928698770275,0,-0.041016982306491,-0.155056937563991,0,0,0,0,0.0517361266824275
EOS,0,0.444159114724231,6.93889390390723e-18,-0.0618361940742098,0,0.457393072000289,0,0,0,0,0.372149183904571,0,0,0.0293542726304148,-0.0247440168540709,0,0,0,0,0.00130573582404111
XLM,0.371706219531587,0,0.300641423976026,0.0185350364671936,0,0,-0.191438536999219,-0.025427603580822,0,0,0,0.245226352140404,0.151747382379997,0,0,-0.32448948749503,0,0,0,0.0421802362355968
LTC,0,-0.0842182186199858,-0.115606483389838,0.31050539226649,0.100786485016168,0,0,0.234920121497376,0.0982343372813202,0,0,0.222720672411182,0.0331220913688227,0,0.0881913190574875,0,0,0,0,0.019424325885133
ADA,0,0,0.321570366692503,0.162599022536899,0,0.048049124005674,0,0,0.0719190554400813,0,-0.185462503853303,0.344491509466373,0,0.37507222138735,-0.0278046743428617,0,0,0,0,0.105879601100331
XMR,0,0.388700809769084,0.166834663706794,0.0773440773516772,0,0,0,-0.348295788137181,0,-0.262116796159588,0.12474533478438,0,0.553596925235553,0.253958376874549,-0.00340735555085669,0,0,0,0,0.189012840565965
DASH,0,0,0.11026164274383,-0.229044141344564,0.579621994387768,-0.442965541732561,0,0,0.125582984842921,0,0.353014063835252,0.0253779276896725,0.252566732783025,0,0.0344687235448304,0,0,0,0,0.205985800865933
MIOTA,0,0.182563924797006,0.146201559598179,-0.166341709838939,0.291530883589699,0,0.452005656010669,-0.325723583066427,-0.0940304328167242,0.0062560868681783,0,0,0.390096433847852,0.0456379930855384,0,0,0,0,0,-0.0906694929623354
TRX,0,0.129129693183837,-0.0201900119466604,-0.165667944759292,0.236242587455571,0.0299184069576369,0,0.55449457437392,0.0800285094151734,0.0298506608226247,0,0,0.0176597640053166,-0.300805709002129,0.049654719199047,0,0,0,0,-0.0746174298605315
NEO,0,-0.120367842022917,0,0.165106590561874,0,0,0,0.244305619598535,0.0240614382189893,0.263911995127887,0.27953216569482,0,0,0.172767349147984,0.0256087840132511,-0.763975360363021,0,0,0,-0.0909885664919754
ETC,0,0.090838543530093,-0.122167133125512,0.206817322046168,0,0,-0.319205179361497,0.604479869501268,0.13676156110346,0,-0.0348225963292294,-0.322979262304927,0.340132147006318,0,0.0841406373988772,0.64161659858379,-1.20354317952743,0,0,0.0856053849797736
XTZ,0,0,0,0,0,-0.0418700855779076,1.06975399640447,0,0,0,-0.0394852853235034,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,-0.0157522617172328,0,0,0,0,0,0,0,0,0,0,-0.116964947996986
CVIX.Index,0,-0.330576669818193,0.0125435535475575,0.247288924223944,0.00830270805574444,-0.102079495283105,-0.0802810265460989,0,0.150933378362153,-0.172465622521635,0.115218375489964,0.199668946762489,0.166340688165535,-0.178455774532949,-0.0296796576616775,0.661730422539292,0,0,0,0.128632548281366
DXY.Curncy,0,-0.00817672333971211,-0.0135511657716287,0.00736215592582241,0.023895614902104,-0.0134190751646923,-0.0173755071739312,0.0214810990237984,-0.00874305695207811,0.0299081899511502,-0.0619281724741071,0,0.0121669747766074,0,0.00620899152306828,0,0.144257575222187,0,0,-0.0301802037519921
SPX.Index,0.00435094069098696,-0.00164550817013971,-0.00636156596969668,0,0,0,0,0,0.00462067512313065,-0.0147743705717953,0.0185684228955258,0,0,0,0,0,0,0,0,-0.0358292182897885
VIX.Index,-2.26655831919709,0.437815647973145,-0.188385528639821,0,0.702841752464265,0,-0.227231843802717,0,0.312103800404841,0.457899009627039,-0.435002737450116,0,-0.581906256348939,0,-0.0117122637115323,-1.83378251438715,1.65681155376824,0,0,0
