,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,EOS,BTG,NEO,XLM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,-0.0455987412890939,0,0,0,-0.00681974030424442,0.0595910941501964,0.0376951731019876,0,0,0.29069173953796,0,0,0,0,0,0
ETH,0,0,-0.166022101417253,0.0312033893059761,0.299350282238827,0,0,0,-0.0540469092040243,0.208786805433771,0.236550434549997,0,0.198858124629312,-0.191037234483142,0.376945181820923,0,0,0,0,0
BCH,0.0427987715975568,-0.387562067142684,0,-0.0022762846332413,0,0.0203571966683646,0.271116759359476,0.445730833448643,-0.00752792416463352,0,0.271945119015243,0.920702913009637,0,-0.329898089740535,0,0,0,0,0,0
XRP,0,0,0.263169660995537,0,0,0.155065970203386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.188180360716818,1.54360778820264,0.0972754111414322,-0.0253407623509393,0,-0.11190652857001,6.93889390390723e-18,0.434692798044199,0.31706175093474,-0.17244099033831,-0.115330703491447,0,-0.0446822431222015,0.425595369658461,-1.11777577521738,0,0,0,0,-0.343762435568153
ADA,0,0,0,0.189033169002746,0,0,0,0,0.0953752181752636,0,0.150700511146459,0,0,0,0,0,0,0,0,0
MIOTA,0.254653197054672,0,0,0.0591602490979972,-0.144954138865341,-0.507551907455357,0,-0.165799136948456,0,-0.121148730614317,-0.00827302825475854,0,0,0.747528851457908,1.09730980009956,0,0,0,0,-0.791048092075152
DASH,0,0,0.0626378233884565,0,0.182229026357359,0.046229342329282,0.0316309630510308,0,-0.0126036395772977,0.203990095397125,-0.124669460143946,0.447988572636673,0.0416307289172957,-0.0873924131772347,0,0,0,0,0,0
XEM,0,0,0,0.285554341852538,-0.873107386951985,0,0.463497209478662,0,0,0,0.03573803277642,0,0.507903369109697,0,0,0,0,0,0,0
XMR,0.262470280758725,0,0.390522199753208,0,0,-0.0712372170373564,0,0.488195724695602,-0.0326245630527211,0,-0.176965352076147,0,0,0.219573339987676,0,0,0,0,0,0
EOS,0,0.718879262992949,0,-0.184015960283518,0,0.316648589058236,0.189462946823499,-1.23193466469866,0.0180059382955907,0.250167714464444,0,1.22263042159613,-0.256118331113477,-0.0671988384274973,-0.0903357003671542,0,0,0,0,0
BTG,0.0525989887185337,0,0.428129502284763,0,0,0.0364501634441888,0.0365684582537134,0.131403191147229,8.67361737988404e-19,0,0.149835243845864,0,0.132035134505825,0,0.046021025649651,0,0,0,0,0
NEO,0.0197613807358354,0,0,0.0888344152288065,0.161231391146342,-0.0123205663986102,-0.24549276276279,0,0,0.187675223962244,0,0.0290962967109997,0,0,0.728405288469225,0,0,0,0,0
XLM,-0.275997741725403,0,-0.288628619455855,0.0555690270992358,0.0792743448819114,0.35085533518416,0.201063559548357,0,-0.00834825869437104,0.573114729930725,0,0,0,0,0,0,0,0,0,0
ETC,0.192602879342274,0,0,0.148188680315696,-0.00214562019046025,0,0.190411677336199,0,0.118152718717351,0.266303609175806,0,0.287396793588224,0.149167407030566,-0.223733109431017,0,0,0,0,0,0
BV010082.Index,-0.058435037263827,0,0,0,0.00235849491540343,-0.0489246771847782,0.00872141714413519,0,0,0.0353083404051064,0,-0.0125140656710319,-0.0315039851383222,0.0416310217723819,0,0,0,0,0,0
CVIX.Index,0,0,0,0.0248855280119864,-0.0496779405265464,0.0136085066460372,0.0383360191354077,0,0.0179050161161925,0,-0.0185301253208623,0,0,0,-0.0988095376772505,0,0,0,0,-0.134815987487315
DXY.Curncy,0.00174143635263048,0.00239546611626893,-0.00315785973832603,-0.00469700887493705,0.000893211981085016,-0.00304039420975922,0.00162631277756857,0,0,0.00958603139708212,0,-0.0109191701071275,0.000932201379420132,0,0.00345801507090149,0,0,0,0,-0.0209005219198069
SPX.Index,-0.00912727694497767,0.00608682901007253,0.00372306943508208,-0.00083232123898268,0.00584881428540581,0.00857050535977248,0,0,0,0,0.00556253307440709,0,0,-0.0122644544870314,-0.0172940629989359,0,0,0,0,-0.029841978182225
VIX.Index,-0.0167693713331137,0,0.169547286639705,0.0850072854093508,-0.14273466748398,-0.114535277131208,-0.0249669438728999,0,-0.0232927634153734,0,0.0586657068350761,8.67361737988404e-19,0.210947731820837,0,-0.202492191304313,0,0,0,0,0
