,BTC,ETH,DASH,XMR,XRP,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0765054030913505,0.224516975168414,0.0572282739073953,0.0944047532661682,0.278320181932888,0,0.105937865581086,-0.257200535527087,0.641197649066513,0,-0.131378894998938,-3.46944695195361e-18,0,-0.0701265095220843,0,0,0
ETH,-1.19579852851428,0,0.0966705955663609,1.35488629050323,-0.496149852342289,0.913458571008693,1.57330741830568,-0.0671822151309232,0,-1.55103556336119,-1.38777878078145e-17,-0.507151681479984,0.664121470177015,1.77127461607843,0.449574824294863,0,0,0.29167583510741
DASH,-0.0494525769533515,0.228745686631587,0,0,0,-0.214445206926482,0,0,0.173558512074205,0,0,1.18020679935209,0,1.26620885911053,0,0,0,0.0354362603860396
XMR,0.156547942064189,0.574320041549612,0.0963758092089579,0,-0.430159983070959,0,0,-0.203774953223981,0,0.291883258233918,0,0.104054741562055,-0.202071740244226,0,0,0,0,-0.860699135800445
XRP,0.0505238549269405,0,0,0,0,0,0,0,0.0728345814087893,0.274066833961378,0.0771215922914516,0,0,0,0,0,0,0
ETC,0.588848033875946,0.508711647877325,0,-0.378629886449416,0,0,0,-0.0488387526979904,0.165964539704772,0.327630364745086,0,-0.0110429210076357,-0.187360942761345,-1.35086626993875,0,0,0,0
LTC,0.17039290347739,0.0534570673623854,0,0,0,0.0723695498358791,0,-0.122888956740981,0.141954025938073,0,0.0497578114885394,-0.022789265422591,0,0,0,0,0,0.0566520920411589
XEM,-2.77555756156289e-17,0.414959179034193,0.255614641770361,0.0798890801455221,0.483148028830838,0,-2.4331301844979,0,0,0,0,0.0922779677406659,0.266667151548124,0,0,0,0,0
ZEC,-1.22306206545891,0.0117566940298321,0.354853069926282,0.213823402196995,0.246308589732659,0.190585594106932,0.756299925580904,0,0,0.639504561779609,0,0.199351838846766,0,0,0,0,0,-0.109819442144378
DOGE,0.116144465481,-0.143607966880451,-0.0330331711411643,0.223595578578821,-0.151960327593254,0.162456770596208,0,0.0724427079589855,0.156741713649522,0,0,-0.188541794610374,0.210722691521248,0.228906250696659,0.47529846107972,0,0,0
XLM,-0.188265399918312,-0.0124287458265763,-0.118585188045512,0,0.395104545795352,-0.0442229060083013,1.35197899142682,-0.0119283848015666,-0.0784394117761114,-0.192288617777222,0,0.224347417702688,0.695821352737072,0,0,0,0,-0.301015954741843
NEO,-0.316324056429446,-0.488361197569653,0.0978746852348223,0.480223686640303,-0.579316902065406,0.562225095905136,-0.380098483759047,0.0886554212308847,0.266556029584703,-0.609371530482091,-6.93889390390723e-18,0,0.19773498050047,0,0.697957852138794,0,0,-0.0683668346182185
DGB,0.134196405123952,0,0.17016451324943,-0.0622228599448757,-0.15157724477979,0.0481160844249508,0,0,-0.0328863632055693,0,0.728350381586991,0,0,0,0,0,0,0
BV010082.Index,0.262782771005321,0.0880750529350726,0.0353891077139435,-0.219080106289163,0,-0.17212157577664,0,0.0167139319342117,-0.042140108535835,0.120756253741256,-0.203717743966676,-0.0204910867740166,0,0,0,0,0,0.0773500110756246
CVIX.Index,0,0,-0.121730434778197,0.0435322529127618,0.485413533517831,-0.107666050264251,0,-0.00401065058570662,0,0.171832305056079,0.237328255790822,0.227806549859531,0,0,0,0,0,0.599879551978579
DXY.Curncy,0.0180844792416742,-0.00861790505503055,-0.000932176245781632,0.0124494129403231,0.0424383036979605,0,0,0,0,0.0146240147991948,0,-0.016956846774065,-0.0121706169937954,0.056870749825472,0,0,0,0.0560622431382156
SPX.Index,0,0.00436611137380813,-0.000949446380804756,0,-0.00524534702565751,-0.0204559586816819,0.0347235273971239,0.00493184601404956,0,0,0,0,0.0115172851878936,-0.102583086560551,0,0,0,-0.0183778061476169
VIX.Index,0,0.14199191830078,-0.12065201026207,-0.116157590776098,-0.721233629094482,-1.73472347597681e-18,0,-0.0425027205782236,0,0.0602798554089476,0,0,0,0.185686942576969,0.999968857718321,0,0,0
