,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.358248878965525,0.111307998818899,-0.0699688691234018,0,0.199646326699933,0.0277572747100933,0.27529177112065,0.196833112833024,0.168535292855918,0.281302656037528,0,-0.0785334891687834,0.0969805454762455,0,0,0,0,0.0683132035599773
ETH,0.129460492700077,0,0.360286255407068,0.38553768462575,0,0,-0.232382748965362,0.0160008722779626,0,-0.161528512995279,0.274105704902494,-0.122030341547656,0.159448258122424,0,0,0,0,0,0,-0.162281034617627
XRP,-0.248639696584891,0,0,0.0450344539015034,0,0.0690761188794604,0.512517292300567,0.0512881607801743,-0.0571608629402834,-0.0343968118802666,0,0,-0.112272885212946,0.306533936132747,0.234810747028234,0,0,0,0,0.0602383176387447
BCH,0,0.426250251701313,0,0,0,0,0,-0.143470822634617,0.129689915796669,-0.0584974526342347,0,0.654706033623174,-0.141709630520507,0.0778080801439232,0,0,0,0,0,0.0380176266930125
LTC,0,0,0,0,0,-0.0585604101397156,0,1.73472347597681e-18,0,0,0.38625431420783,0.367559449940175,0,0,0,0,0,0,0,-0.0149141474600818
NEO,0,0.725515872972228,-0.348825477138545,-0.469390681521483,-0.076976078710479,0,0.440396983877035,0,0.155413735430296,0,0,0,-0.26987188504259,0.45355845124222,0.331974084350615,0,-0.952484078202175,0,0,-0.110626141656981
XLM,-1.38777878078145e-17,0,0.470969109630054,0.181008936874335,-0.15117221300172,0.0822746575914763,0,-0.420005484769154,0.153478382935898,-0.0438048778250504,0.609731210343291,0,0.392190411736744,-0.443549119934637,0,0,0.153171094156888,0,0,-0.159226616482946
ADA,0,1.00467372158821,0,0,0,-0.179722611525697,0,0,0.220970494565313,0,0,0.222327595280393,0,0,-0.0813724937137489,0,-0.623062319073183,0,0,-0.0804023904122785
EOS,0.526642890713024,0,0,0.361660628373324,0.212544808611657,0,0,0,0,0.190557167969137,-0.0975163993811815,0,0.174255392172824,-0.21140557730675,0,0,0,0,0,-0.006756346679984
MIOTA,0,0,0,0,0,0.110526181544094,0,0,0.329904791072733,0,0.289683505591078,0.039452037483735,0.074173444460765,0.0901914685098896,0.167611774276041,0,0,0,0,0
XMR,0.601324870230794,0,0.371883541566368,-0.161770425525772,0.652948497109709,0.0375299300278469,0.255712890184909,0.257556741809399,-0.348259324846694,0.190988302271108,0,0,-0.216191238974292,0.221176921054329,-0.512205466502437,0,-0.0375975695133528,0,0,0.180128115722106
DASH,0,0,0,0.319099928955956,0.0361847194822037,0.0115785117039241,0.192535340945087,0.263289955067737,0.0442542163683463,-0.0238597310824502,0.0494458853402698,0,-3.46944695195361e-18,0.150130921051026,0.110003693558534,0,0.340151915005237,0,0,0
XEM,0,0.0507440353218457,-0.112987647114791,-0.60480742057445,0.31523044069759,0.063211692946385,1.17280336626765,0,0.346018936880538,-0.454937103403207,-1.1604790519835,0,0,1.4262348715082,0.091120034960424,-0.586146229226531,-0.269869744201085,0,0,0
TRX,-0.00370763941554479,-0.80094659758248,0,0.736201873475028,-0.589289123930648,0,-0.548159003923033,-0.0814716194637614,0,0.00097254171294722,0.799465163245444,0.460201643327985,0.366234413140429,0,0.234587924260219,-0.555422445350394,0.405680359225713,0,0,0
ETC,0,0,0.673596652592427,0.399705063887288,0.272501976130685,0.0114607819206302,0.295341984243531,-0.203166993378633,-0.068238331233835,0,-0.581797941443326,0,0,0.260686079712273,0,0,0.0460132282495815,0,0,0
BV010082.Index,0,0,-0.0681981278905554,0.144728720682977,-0.0530667458562861,0.00124941831999436,0,0.0196415275110703,0,0.01656845626401,0,0,-0.0191731892042907,-0.154826521345579,0.0485600637183538,0,0,0,0,-0.0285574459801208
CVIX.Index,0,0.15461877271136,-0.216813580937236,-0.434918278178405,0,-0.336917182925242,0.497695976628328,-0.0783179330933096,-0.0510595424542429,-3.46944695195361e-18,-0.264663216771156,0.509648515639319,-0.344178420963035,0.322059048342517,0.154578682022927,0,0,0,0,0.0653384704967691
DXY.Curncy,0,0,0,0,0,0,-0.0176737141551848,0,0,0.021237680155461,-0.0092241182989279,0.000684259219685684,0,0,0.0180054220379447,0,0.00907463413939087,0,0,0
SPX.Index,0,0.0164907555115616,0,0,0,0.0215943560815826,0,0,0,0.0256984997254556,-0.0139068175539683,0,0.00226177712884491,-0.0322306093835669,0,0,-0.0552950999193623,0,0,-0.0504843074758032
VIX.Index,0,0,0,0,-0.800516260712213,0,-0.745479422747147,0,0,-0.329035905807019,0.821250543581888,-0.281969993995793,0.270956494178201,0.249501554543987,0.399511682029611,0,0,0,-4.4370309602593,0
