,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.253360903569669,0,0,0.142767976556003,0.10398043381015,0.0154204898234312,0.334141588249882,0.0709650525848423,0,-0.131298860703186,0,0,0,0,0,-0.260978286253298
ETH,0.250600906480242,0,0.0670964891066794,0,0.0177657747759928,0.312000924775866,0,0,0.0348380819366388,0.0261774004301344,0,0,0,0.0380464932286806,-0.000140676347275738,0,0,0,0,0
XRP,-0.305943373074682,0,0,0,0,0.952082976391285,-0.113176446840755,0,0.0644057862447812,3.46944695195361e-18,0.327786751191061,0,0,0,0.020537562909414,0,0,0,0,0.382562551477818
BCH,-0.0792113986543492,0,-0.0271464803184118,0,0.284750288859402,0,-0.10120873335054,0,0.110800570466877,0.234600574154612,0.545725460548245,-0.0935895906426508,0.0991219227412019,0,-0.222056210113237,0,2.0246045650342,0,0,0.0280283870004152
LTC,0.600867421731412,-0.271247860979161,0.100585467910128,0,0,0.48281522500968,-0.0197000104389317,0,0.148190710542416,-4.33680868994202e-19,0.333390187796191,-0.134903854842047,-0.0965143286981582,-0.0328906062850693,0,0,0,0,0,0.0689528547779961
DASH,-0.141143076585439,0.390229417276303,0.00914262150855326,0.311845089891633,0.0830675580357208,0,-0.0641960702999843,0.0853208014582892,-0.0765932375919555,0.123459730876831,0,0.0752550064759533,-0.0427734040399297,0.0787076217987595,0,0,0,0,0,0
XEM,0,0.208403447519791,-0.253994413775488,-0.314030611832984,0.0744030963384795,1.47752536864314,0,-0.928499613363331,-0.109087385692218,0.539624734930079,1.18565454725156,-0.221096727816423,0.258842972078092,-0.0942971720732109,-0.328104494656864,0,2.09920053585514,0,0,0
XMR,0.374238613873628,0.186370140345768,0.0935058853693714,0.0500245664499139,-0.148223710960843,0.253508730440082,0,0,0,0.111162488442743,0.337889706400317,0.0496588179241219,0.106173623565013,0,-0.119649295903154,0,0,0,0,0
NEO,-0.0612402216096589,0,0.0691306031343008,0,-0.0620825242356024,-0.130447530226189,0,-0.282547477804324,0,0.403458211199389,1.34027425902054,0.179331456505541,0,0.377441794091142,-0.27238907948297,0,0,0,0,0.156044729899352
MIOTA,-0.0700310919636032,0,0,0.183631392901137,-0.0906364097110533,-0.241988978231037,0.337768270571352,1.14337563297592,0.147386776253172,0,-1.43498103814585,0.0186178207749958,0.178374091494404,-0.0537157849487764,0.508654600623586,0,-1.74814065763048,0,0,0.258969425157997
ETC,0,0,0.0197404470051272,0.0335989709483121,0.15373891855426,0,0,0.245455302883732,0.076195452104023,0,0,0,0.0292857002344686,0,0.0567316428866491,0,0,0,0,0
ADA,2.85982749459603,0,-0.407353034990779,-0.857334853478252,0,1.91203618948333,0,-1.86087880587714,-0.250596845817211,0.715367728651176,0,0,-0.0232267955862626,0,3.46944695195361e-18,0,0,0,0,0.827556802823565
ZEC,0,0,-0.0715448378689091,0.136597685692566,0,0,0.0921586910600209,0.249158384588041,-0.165722452891946,0,0,0,0,0.18244719016919,0.241059052673654,0,0,0,0,0
XLM,0,0,-0.132720005156042,0,0,0,0.132850925710541,0,0.233737416669795,0.23601508192987,0,0,0,0,0,0,0,0,0,0
EOS,0,0.585027657996583,0,-0.448065109153407,0.465809263225135,0,-0.0678927415122826,0,0.0388681500060865,0,0,-0.150420402754285,0.535172722387422,0,0,0,0,0,0,0.568604088982075
BV010082.Index,0,0,0,0,0,0,0,-0.103356668655964,0.0172885422994728,0,0,0.0523601504955482,0,0.0272834004197262,0.0392067939225929,0,0,0,0,-0.0618637628003312
CVIX.Index,0,0,0.0764415916285539,0.227143853413963,0,-0.313810506995769,0.0584993739633991,0,-0.050831906651406,-0.0228512794952167,-0.132121620574732,0.049890963394496,-0.021121017461317,0.0315649134158083,0,0,0,0,0,0.137468287104662
DXY.Curncy,0,0.0277987943724772,-0.0132507437356241,-0.00854162745200716,-0.00628873597181815,-0.0218446016521417,-0.0205929501448235,0,0,0,-2.16840434497101e-19,-0.0149569482501939,0.0276473167223718,-0.0123181391201051,0.00264749203762048,0,-0.084730041282115,0,0,0.0338750525923094
SPX.Index,0.00300494927634465,0,0,0,0,0,0,0,0,0,0,-0.00520727620822333,0,0,0,0,0,0,0,-0.0299301523118991
VIX.Index,0,0,0.17563913121935,0,0.0132069044038495,0,0,0,0,0,0,0.0550409484675328,0.0500247106294237,-0.0360921083269026,0,0,0,0,0,0
