,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,TRX,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0644860139567271,0,0,0.0151334338152892,0.272981490344748,0.012937291815783,0.0841552818455655,0,0,0,0,0,0.126987406905098,0.0192127981288461,0,0,0,0,0
ETH,0.825257622826964,0,-0.123742275016539,0.379027996969,-0.0843870478852456,0,-0.0542606922356518,0.0760481169670412,0.529876859721736,0,0,0,0.080760196705717,0,0,0,-0.0472505352344984,0,0,0
XRP,0,0,0,0.116195187234051,-0.0326515300213468,0.210517121918235,3.46944695195361e-18,0.198083312802569,0,0,0.205032981636381,0,0,0,0.041635924356909,0,0.131276448504161,0,0,-0.0600940185111935
LTC,0,0.499291567661979,-0.154209768859074,0,0.328641770398709,0,0.60851879751745,-0.0549145241109194,-0.764663131953314,0.566648303053064,1.7014753309831,-0.861550580096007,-0.614183494445652,-0.383534497577342,-0.585999475561571,0,-0.225724343433063,0,0,-0.194884045300228
EOS,0,0,0,0.43631896162781,0,0.19484305663862,0,0.122758780242129,0,-0.133796722733599,0,0.143165415500431,0,0,0.429045418451461,0,0,0,0,0
BCH,0,0.173444388680128,0,0.133041400803319,0.191477700985262,0,-0.0842083764042475,0.139746113522873,0,0.171969287157275,0.0219567289101035,0.269925353579423,0.286715652290475,0.0105152385601931,-0.141601108523427,0,-0.0273065172777777,0,0,-0.0467757843148629
BNB,0,0,0.307686029165998,0.988823959285526,2.77555756156289e-17,-0.537626155727304,0,-0.430107045712765,0.596763207011924,-0.710694464809825,-1.11654238202425,0.29687681923402,0,1.45103334553077,0.411183840779578,0,0,0,0,0.411341182090995
XLM,0,0.222947730415664,0.190878890631362,0,0,0.135728088873726,0,0,0,0.0728630667113489,0,0,0,0,0.122577066776583,0,0,0,0,0.000240598989531526
TRX,0,0.125830112625078,0.377189236544976,-0.400458098181702,0.464071973841322,-0.204865859435738,0.147128611627052,-0.0162541428555337,0,0.300817503460946,0,-0.161031470379502,0,0,-0.157747065322017,0,0,0,0,0.0917952527807449
BSV,0,-0.190739251337077,0.799470145730718,0,-0.0315556498184211,0.00325341493227015,-0.459041451800196,-0.180014734326549,0.857897509439588,0,0,0,0,0,0.566585353015903,0.423772590130908,0.789340674641607,0,0,0.220396034772561
ADA,0,-0.113720718115625,0.340318646243051,0.121231932498907,0.114838487912857,0,-0.0930990276341864,0,0.125310238190541,-0.0789270048529824,0,0.413952744803971,0.236810823723232,0,0.147894782637541,0,0,0,0,0.11721038491019
XMR,0,0,-0.110432758327737,-0.137994643460041,0.186443087264554,0,0.13656847860516,0.34726296857197,0,0.15746157771735,0.232082684445894,0,-0.0207826960480416,0.398839941869896,-0.341523416014608,0.400720939889173,0,0,0,0
MIOTA,0,0.0986696175092949,-0.0870605852787179,-0.127164681464031,0,0.33695721754357,0,-0.243877343957198,0,0,0.820466146199652,-0.178187699077314,0,0,0.050529926550481,-0.112542017625893,-0.247974840606188,0,0,-0.065331592272268
DASH,0.532694828512296,-0.0951566852057678,0,-0.329357920269191,0,0.279742266453237,0.228676978452104,-0.0549152458507659,0.0406622682441195,0.203767130825892,0.459903835652134,0,-0.240209181707378,0,0,0,0.0983881495568732,0,0,-0.0747383355231513
MKR,-0.903213126600591,0.905268787111593,-0.157455693048322,-1.26823116007374,0.74662101896943,-0.167102034551778,0.772830081141457,0.0940165872203689,-1.608271275738,0.910027074990629,2.05632524103895,-1.27181480005488,-0.712164063006195,0,0,0,-0.321098218329669,0,0,-0.243768321183381
BV010082.Index,0,0,0,0,0,0,0.143011625455997,0.0646439679923207,0,0.131848165032913,0,0,-0.230848596357006,0,-0.114305892362141,0,-0.126463726822012,0,0,-0.135761205306564
CVIX.Index,0,0,0.271722167405277,0,0,0,0.0421000557941898,0,0.18294168282543,-0.0778227321869046,0,0,-0.223439222830234,0,0,0,0,0,0,-0.148501735066275
DXY.Curncy,0,-0.0214393248346779,-0.00979350840827171,0,-0.0517609305148878,0.103217739378961,0.029290461142802,-0.028580405099466,-0.0300899573250838,0.00812681324762544,0,0.018789708295227,-0.0585879063713217,0,0.030605006188485,0,0.0335219932486876,0,0,-0.00738940415284675
SPX.Index,-0.270959190275787,0,-0.103972739529902,0,0.0519465755675185,0,0.0231733140512935,0.0275506209895157,0,0.110281179200427,0.0590319833759921,0.0172292727360853,-0.0249234849097385,0.024362028017854,-0.0327360765288698,-0.113878454806721,-0.083375727896132,0,0,-0.106959430523231
VIX.Index,0,0,-0.145739112961091,0,-0.0500041043839342,-0.111099779890602,0.243464370285066,0.196021923140666,0.578254969549423,0,1.22230989278392,0,-0.529275245041767,-0.582844780068698,-0.29459594415327,-0.372901478708177,0,0,-6.34987386063443,0
