,BTC,ETH,XRP,LTC,BCH,EOS,BNB,XLM,ADA,TRX,BSV,DASH,XMR,MIOTA,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0140441433559809,0.391148630149988,0,0.102143460078536,0.00528517630976319,0,0,0,-0.109794835341352,0,-0.0207671215358184,0.0628481690079982,0.103842489645002,0.167912237924694,0,-0.0219682950766584,0,0,0.0040173296575196
ETH,0,0,0.88416016972042,0,-0.0112013648401469,0.194537222191598,0.0577808357397149,0,0,0,0,-0.136725688176527,-0.0251131456095292,-0.0200212296345081,0.13741861287409,0,0,0,0,0.0276396012468726
XRP,0.807750694150996,0.212498923367318,0,-0.144705579829726,-0.0375271290974404,0.0342720253200803,0,0.0544062038812507,0.0272543594415236,0.133509499276529,0,0.0246947048128395,0,-0.0376844701074063,-0.156719294949927,0,-0.0735357392322921,0,0,0
LTC,0,0,0,0,0.356741271094631,0.175905850918557,-0.0101293797970699,-0.26279028690295,0.0228452260182885,0,0.391187052185908,0,0,0,0.112392743079605,0,0,0,0,0
BCH,0,0,0,1.71865140112405,0,0,4.33680868994202e-19,0.200347082527748,0.115924086209143,0,0,0,-0.0476863359693201,-0.0338196611930876,-0.514441669911528,0,0.115126714660921,0,0,-0.0530901022239584
EOS,0,0.218590394561595,0,0.573050970164551,0.0358168361684329,0,0,0,-0.103636565522217,0,0,0,0.309307274031215,0,0,-0.446242109851223,0.100794876172031,0,0,0
BNB,0,0,0,0,0.0457177926134288,0,0,0.0472821511984938,-0.182888044001526,0.659137623815379,0,0.27698790365634,0.242128267953987,0,0,0.0435498317058007,0.317502645051362,0,0,-0.0795862597785823
XLM,0,0,0,0,0.0466894897689623,0,0.0790462956784212,0,0,0.425469252070183,0.282896567725285,0.214784673597689,-0.0924474055438754,0,0,-0.368632583581812,0.0521145385722894,0,0,-0.20468574679875
ADA,-0.278004974024381,0,0,-4.33680868994202e-19,0.520045674004095,-0.0767113499608281,0,0,0,0.952269998314307,0,-0.301659988894523,0,0.192808648256808,-0.121916407964317,-0.328587226073524,0,0,0,0
TRX,-0.181959890159806,0,0,0,-0.270241122249809,0.368400407357032,-0.121259991150194,0.408404174360708,0.0793200705459492,0,0.51257643037285,0.209094451329572,0,0.0603543473897709,0,0.455719328587897,0.157475237656899,0,0,0.23343104809375
BSV,0,0,0,0.468259761022006,0.00981594607278836,0,0,0,0.0597947838137256,0.0109622624483626,0,0.0388280133559303,0.120903603726063,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0793776095764031,0,0.116068817037212,0,0.0450536400236459,0,0.163198736321347,0,0.20580622205999,0.0353389745107144,0,0,0,0,0,0
XMR,0,0.28523798166953,0.599491292428769,0,-0.0477436146144446,0,0.140532962409132,0,0,0.0447972556682665,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.121473065381941,0,0,0,0,0.110223383139806,0,0.0837097869635486,0.131717486547202,0,0,0.283987562454388,0,0.023523327477861,0,-0.0958541853368295,0,0,0
NEO,0.512287726369885,0,0,0,0.034984182099108,-0.0750006249562321,0.025119461333469,0,0.463749655010764,-0.280227431546785,0,0.847673165873404,-0.377179368612439,0.0360371422530986,0,0,0,0,0,0.0287038585522344
BV010082.Index,0,0,0,0,0,0,0.113534699855288,-0.247455044473015,-0.0483557106500923,0,0,0,0,0,0.426638355880729,0,0,0,0,-0.088260042047547
CVIX.Index,0,-0.581964222164579,0,-0.00874902096436659,0,0.29846196516509,0,0.26791663580194,0,0,0,-0.426906782015527,0,0,0,0,0,0,0,0.102299475097804
DXY.Curncy,0,0,0,-0.00986911401508828,0,0,0.00866343436008832,0.0131002094688325,0.0547800655476625,0,-0.0130320396283363,0.0566219625051706,-0.0347083109662558,-0.048371299753783,-0.0211658863536897,0.0666017286728496,0.0270364499394428,0,0,0
SPX.Index,0,0,0.0304163748827208,0,-0.00238094246256764,-0.0165528480336229,0.0051305441392722,0,-0.0283791870186955,0,0.04802985618981,-0.0186030343638418,0,0,0.0346300307342499,0.0503132746529097,0,0,0,-0.0834964287158674
VIX.Index,0,0,0,0,0.20316086184192,-0.293984596043344,-0.127382915574258,0,-0.538657445614497,0,0,0,0,0,0,-0.725577133732518,0.443456706507635,0,0,0
