,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0287674604230396,0.124870426899563,0.0393410533455332,0,0,-0.0128385693866621,0.0236541047774536,0,0.0157137929953583,0,0,0,0,0,0
ETH,0,0,0,0.975681087468935,0,-0.017727025495579,0.0333496692891726,-0.00727390695607342,0,0.36102233669471,-0.0381684720376197,-0.195519031453039,1.39898382760356,-0.216011987197821,0,0,0.341399000855484
XRP,0,0,0,0.91182775628251,-0.136330734824246,0.227708778216166,-0.494698112699638,-0.0206699511711972,0.241303448847067,0.436604059056538,-0.148867430577907,-0.363275440008934,0,0,0,0,0
LTC,0.689873965765402,0,0,0,0,-0.0277449754760669,0.0913431017852046,-0.00544644805044789,0,-0.10932165872425,-0.0004048967644545,0,0.00813418056145242,0.018958716710133,0,0,-0.0333565895510713
ETC,0,0,0,0,0,0,0,0,0,0,-0.125430117166295,0.352167175812889,0,0,0,0,0
XMR,0.16897489283941,0.443927618468528,0,-0.964573750246416,-0.124461781132504,0,-0.283457153172038,0.297240541382827,0,0,-0.11192622036308,-0.221370246764219,0,0,0,0,0.0822808511183007
DASH,0,0,0,0,0,0,0,0,0,0,-0.017894831618813,0,0,0,0,0,0
XEM,0.833896997260196,0,-0.31521260682482,0,0.0719236981049432,0.184974849633544,0,0,0.809336685472434,0,-0.0569420108916458,-0.281122868651771,0,-0.931184115263368,0,0,-4.33680868994202e-19
DOGE,0,0,0.0214975453506384,0,0,-0.0316276315160794,0,0.0479257434974,0,0.0364047145833788,0,0,0,0,0,0,-0.0303189964275642
XLM,-0.330179312245683,0.188556410242612,0.552190957756104,-0.842727456244388,0.40356754654112,0.38273010087129,0,0.405300295124885,0,0,0.0471100833929726,0.654017282581822,-1.57281803393062,1.63764265692233,0,0,-0.189760594890939
NEO,-0.714510736557161,0,-2.41776528307737,0.896128843555144,-0.990824191822699,-2.7679538341691,-5.80570412200651,0.512039122423178,5.44739752736469,2.03036297690495,0,-0.806587916238204,10.3801851079953,-4.90815753515781,-49.3483554233281,0,3.46649488937191
DGB,1.63904769836985,-1.97153601132278,0.23789282953016,0,-0.25605498430194,-0.170307938249145,0,0,0,0.594991829187933,-0.0827287676780082,0,4.14507433654312,-0.686135687878138,0,-3.56749744184941,0.32066259802037
BV010082.Index,0.0543429037086381,0.0506989174912439,0,0,-1.73472347597681e-18,0.0764994251213217,0.15634670274924,0.0111265442707199,0,-0.0844449692448656,0.0276939518517339,0.0957378822351336,0,0.255474891689339,0,0,-0.200229577243234
CVIX.Index,0,-0.103956213531213,-0.163182895112863,0.375306609582105,-0.0206284572315835,0,-0.0259588023146853,-0.16576958217487,0.325795923734287,0.217072339293583,0.00829712927167207,-0.128409208099226,0.838620924838009,0,1.20849436922178,0,0.240616071317604
DXY.Curncy,0,0.000700231643672745,-0.022305992628403,4.33680868994202e-19,0,-0.00897841542570424,-0.0369682781609432,0,0.0715014081376007,0.00198546978852474,-0.0043578841279879,0.0193657015544588,0,0.0175318476160069,0,0,0
SPX.Index,-0.0956442783131943,-0.0543012709601924,0.012289232018016,0.0386130297114046,0.0138091877215635,0,0,0.024473551894701,0.03419111958896,0.00771291882486488,0.00522280414222053,0.019247725539065,0,0,0,0,-0.0511152238609494
VIX.Index,0.93038020793429,0.367004506291623,0.140930667445812,0.107251525477788,0,0,0.690279434228399,0.178410105000899,-1.72389934303742,-0.338215133917033,0.102030553911046,0.320531172693721,-4.34772326939993,1.72638661345948,0,0,0
