,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,DASH,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0499672424843161,0.00264519428722868,0.0154340618815287,0.204895280413162,-0.0149592368735545,0.267251286341799,-0.0744521428097078,0,-0.18463571146493,0.184496542048474,-3.46944695195361e-18,0.0436670329000522,0,0,0,0.252987627607706,0,0,0.00482939975062266
ETH,0,0,0,0,0.320812182076849,0,0,0.206517936866522,0.0773262937282179,0,0.350810784240217,0,0.0494344779928461,0,0.0680084831850087,0,0,0,0,0.111032315967869
XRP,0,1.56720680536997,0,0.260973035989619,0.143967794243709,-0.646339152611283,0,1.16759938809828,0,0,0,0.0540458436415208,-1.29076135326399,0,0,0,3.98461787555866,0,0,-0.375128763889417
BCH,0,0.148639112445571,0.0286332011509162,0,0,0.0372258526042845,0,0.0939370579434501,0,0,0,0.533190061002779,0,0,0,0,0,0,0,0.0692240983391719
EOS,1.0251560465475,0.2779831019899,0,0.121178399887449,0,-0.0825639681668177,-0.281613653910995,0.332664915351443,0.0768354253139015,-0.222691018844589,0,0,-0.0764161187601209,0.383359146708811,0,0.860501452495129,0,0,0,-0.066645159785518
XLM,0,0,0.0819681193917923,0.0103977688101341,0.0303876070413601,0,0,0.752122955410104,0.353012368785976,0.289225628273233,-6.93889390390723e-18,0.223689399160141,-0.197642860685769,0.0305083982001835,-1.1270458508334,0,0,0,0,-0.0317898966922131
LTC,0,0.210821524073718,-0.0399411663548099,0.113996440389094,-6.93889390390723e-18,0,0,0,0,0,0.134018541387573,0.0367134997074865,0,0.460995669517812,0,0,0,0,0,0
ADA,0,0,0.100110467802848,-0.113084048057984,0.301410057211643,0.394374517200531,0,0,-0.0023211848314279,-1.73472347597681e-18,-0.0783842866011044,0,0.25003454262625,0.149489943099947,0.294610554374721,0,-0.735784274838356,0,0,0.11170853411969
XMR,0,0,0.218790609720943,-0.0929093535422001,0.47373714666517,0.189889521125842,0.720868975528624,-0.290548531083979,0,0,-0.0796758567866284,-0.539340349307313,0,-0.0744221765986594,0.147025817914697,0,-2.77555756156289e-17,0,0,0.162172733821635
MIOTA,-0.189991278322597,0,0.11451578299905,0.0736538841228221,-0.410797934301592,0.0375055805278989,0.815891278106951,0,0.188649239643389,0,0.472020746288903,-0.462408074222001,0,0,0,0,0,0,0,-0.205580384558045
TRX,0,0.139334082784099,-0.0580822836493229,0,0.249228706554952,-0.0534337341385174,-0.443145130633186,0.212331582347426,0,0.42430480182206,0,0.259297376184271,0,0.433972580608414,0,0,-0.624160318105411,0,0,0.0194239747706224
DASH,0,0.471210007190301,0,-0.0542963622413215,0.0524692253350007,0,0,0.233403606317206,0,-0.0142718918423528,0.158272092872153,0,0,-0.279995793162549,-0.150590395407644,0,0,0,0,0.0229342060035837
BNB,0,0.12263553457386,0.0735780604306434,0.0581422884130959,0.188447300016301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0973717253902902,0,0,0.14617953670114,0.301061464616857,-0.225377157467473,0.344964427566526,0.111508021462321,0,0,0,0.0694145735626394,0,0,0,0,0
ETC,0,0.448477495067619,-0.0211637640106633,0,-0.0802299798123445,-0.18789970798484,0.249515759028782,0.396474496740175,0.0230939484266939,-0.0102678959163445,-0.00953278724243278,-0.336732731086397,0.0355281299684244,0,0,0,-0.00465051263893883,0,0,-0.0529061557832902
BV010082.Index,0,0,0,0,0,0,-0.034537752730594,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0.0174090164642196,0.0378425408419769,0.0814346744082335,-0.178382953644278,0.374491360191006,0.165933787117651,0.0374058603491196,-0.36461245079442,-0.0490218828721937,0.0146309525291116,-0.117748159211873,-0.251218126449022,0.156883324158545,0,0,-0.051469721026335,0,0,0.801647109338191,0.144650372728426
DXY.Curncy,0,0,-0.0161355538961273,-0.0111924131459067,0.0408224543847343,-8.67361737988404e-19,0,0.0143120661801507,0,0.0429421704686825,-0.0702359326782227,0,0.0213991388892587,0,0,0.0560988112612294,0,0,0,-0.00895377019313797
SPX.Index,0,0,0.001019677842511,0.00612037640018981,0,0,0,0,-0.0337942086775262,0,-0.0215160386179794,0,0.0587336972158658,0,0,0,0,0,0,-0.0396789219171118
VIX.Index,0,0.167685485916931,-0.189911282871173,0.385042976719441,-0.656938415380656,0.0677928525400275,0,0,0.608823971215478,0.190502379410028,0,0,-0.839560533700878,0,0,-0.956716762031858,0,0,0,0
