,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ADA,ZEC,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00410886749210515,-0.174110394553552,0.0911808583020638,0,0,-0.278114818760857,0.470237647625066,-0.575819042636374,0,0.197389039205868,0.188598300014763,0.101200088404241,0.0869940530001512,0.451117993967742,-0.978163002712918,0,0,0.108969009067335
ETH,0,0,0,0.271670798729448,0.198005277252321,0,0,0,0,0.113367839375241,0,0.0994962834646117,0,0.0558433602288835,0.0162011475914059,0,0,0,0,0.0170978242004934
BCH,0.514432844219062,0,0,0,-0.865244123661041,0.125653752019459,0,0,0,0.387031051934123,2.65142928841857,-0.140110970894614,-0.966733068296978,0,-0.0715639687563475,0,0,0,0,-0.179668185268978
XRP,-0.127085069549975,1.07365144307441,-0.138621366057679,0,0,-0.791086609544411,-0.257053376396577,-0.519670885093449,0,0.582512079185135,0,0,0,0.162859636988287,0.0190230365516168,-0.300068895296888,1.26168176056059,0,0,-0.374918231200966
LTC,0,0,-0.130258701870921,0.162592609124225,0,0,-0.326758409012465,0,0,0,1.01053026769091,-0.073653540365843,0,0,-0.00434206598292687,-0.955998780216345,0,0,0,0.165981458499043
DASH,0,0,-0.15974377940944,0,0,0,0.0425772729368656,0.0264200694782667,0.26232653390839,0.143222752556316,0.417588693813594,-0.0530731136584335,0.0772820473757031,0.0906792627757475,-0.0421498408447606,0,0,0,0,-0.0965897520231094
NEO,-0.701264557264979,0,0.0746114667957751,0,0,0,0,0,0,0.0103652253627097,0,0.274589886958492,0.0174555594432661,0.251725781035695,0.107731379669815,0,0,0,0,0.213733955192653
XEM,-0.443560746676685,0,0,0.105160260881076,0.0836506310385963,-0.0598892500674817,0,0,0,0.156041976447776,0.658177924365649,0.0980053876163507,0.132002239628091,-0.0413915423489638,0,0,0,0,0,-0.128609645131496
XMR,0.447671761735038,0.750906728997912,-0.105058362054397,-0.295050391621314,-0.22222707288298,0,-0.0603656917238575,0,0,0.181980283009107,0,0,0.18522448808502,0,0.0128851759370593,-0.543365882320619,0,0,0,-0.31253903563269
MIOTA,-0.390766205144131,0,0,0,-0.229948720186911,0.596712280479199,0.362006353177731,0.237386459630364,0.377069465177917,0,0,0,-0.0468561688203675,0,0.0357562352787216,0,-0.931120736660447,0,0,0.23184038132896
ETC,0.172695868996466,0,0.11528200951906,0,0.289230537495634,-3.46944695195361e-18,0.164112856274676,0.102964570716114,0.0401514014715687,0.0625408342862536,0,0.041855097185699,0,0.00516029026194166,0,0,0,0,0,-0.0363828849780495
ADA,0,2.51003294764657,-0.0562156885205768,-0.623319387667665,-0.292394470226039,0,0,0.109046583422133,0,-0.452924823606613,1.92436780391189,0,-0.0103895495779101,-0.382208719881684,-0.0322404637370784,0,0.313833317842219,0,0,0.371564009689655
ZEC,0,0,0,0,0.190660751470874,0,0,0,0,0.369604033215349,0,0,0,0,-0.0264563870615173,0,0,0,0,0.0653236677019173
EOS,0,0,0.124860463693737,0,0.123257208589063,0,0,0,0,0,0,-0.041563657183848,0.414761781819585,0,0,0,0,0,0,0
XLM,0,-0.112514858410181,0.614726047097124,2.15587616586973,0,0,0.0213186080218261,0,0,0,0,0,0,0,0,0,0,0,0,0.518192519434553
BV010082.Index,0,0.276371636808778,0.0714222299579731,-0.127874055695304,-0.0570112200613961,0.13810944394435,-0.0476103022594546,0.0388929301885468,-0.131452830644756,-0.122735294948866,0.141569392471567,-0.067707451727427,0.0335724114251728,-0.0180505720076525,0.00643216217075419,0,0,0,0,0.127651060397045
CVIX.Index,-0.0974837796700918,-0.0526364497403413,-0.0223332037941779,0.0348637989047529,0.0357877406854866,0,0.168554059176549,0,0,-0.15926521317293,0,0.0399920158023875,0.0967784565198977,-0.00884433811871779,0.0134798605755931,0,0,0,0,-0.0592218022309699
DXY.Curncy,-0.0323215323361485,0,0.0102351027451399,0,0.000736520016659374,0.00571939739972066,0,0,0,0.00836831635651672,0,8.67361737988404e-19,0,0,0.000655074915918167,0,0,0,0,-0.0147747183937408
SPX.Index,0,0.00760402887092239,0.00953616495311805,-0.0192064623198251,-2.71050543121376e-20,0,-0.0151684433288408,0.0235747395625133,-0.0202371206819914,0.0162593804831427,0,0.00362797768269056,-0.0379250611108837,-0.00281031822439292,-0.00245393950615145,0.0290271807459931,0,0,0,-0.0346368274647976
VIX.Index,0.881005059115322,0,-0.167897795829539,-0.206517778645521,0,-0.277153320123044,0.269886687360892,-0.469362297986013,-0.560307915042176,0.626454396871847,-0.728899354604726,0.12544421243106,0.413969871922466,0,0.0350302532136798,0,0,0,0,0
