,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.173193001665267,0.0539450118459805,0.243906436544297,0,0,0.0172204648917678,0.079368895511448,0.245102416078672,0.187659385167416,0.0522731089563008,0.14363096549573,-0.311399659077037,0,0,0
ETH,0.303873712295071,0,0,0,-0.176539661829917,0.0842521412594317,0.2463736090017,0.398069171743362,-3.46944695195361e-18,0.12496648903652,0.0274544018776915,0,0,0,0,0.0751839603790796
XRP,0,-0.197460369974639,0,0,0.000523352671921488,-0.0868182933948752,0.192438192059627,0.365666961652063,0,0.0858493718765821,-0.0284121946419469,0,0,0,0,0.181317481622984
LTC,0,0,0,0,-0.0391260228513687,0.00194504777608176,0.0360664159563358,0.00875604802196946,0.157062231085232,0.153085876248447,0,0,0,0,0,-0.141800617603092
ETC,-0.64640702446722,-1.72359028527569,0,2.71132483581671,0,1.07846714333713,-0.506632627364063,-0.244468962838451,-1.20211410086858,0,0.529386900515505,0.29731889959855,4.63185868019787,0,0,-1.85066614547988
DASH,-0.0456549701818762,0,-1.01652119154988,0,-0.0756463746486908,0,0.662140318486968,-0.526968887726279,0,0.562369560077614,-0.063985618785502,0.609994050945804,-0.461834370611042,0,0,0
XEM,0.575243596010687,0.20468245927194,0.275936688537244,0,-0.0492846615183848,0.531861615011502,0,0,-0.186066568873393,0,0.166183285439664,-0.390505580654601,0,0,0,-0.146657300747502
XMR,0,0.458232956486687,0,0,-0.05978698515457,0,-0.0575065439210702,0,0,0,0,0,0.638688032222412,0,0,-0.311882074701819
DOGE,0,-0.670283076746371,0.735234745750641,0,-0.228959109059628,0.439076463593684,0,0,0,0.409237715963581,0.17231809369512,0,0,0,0,0
XLM,0,0.189879093677409,0.233439455742591,0,0.123062098554934,0,-0.0274766286692689,0.290460253916516,0.07156867187854,0,0.010270020409101,0,0,0,0,0.200532965240781
DGB,0,0.335814787071296,0,0,0.138613128819788,-0.0598003428171854,0.364020600358881,0,-0.547379836529874,0.429902542768237,0,0,0,0,0,-0.832394579356109
BV010082.Index,-0.162828896047843,0.0894513171194144,0,0,0.0169822602641036,0,-0.0333597267821485,0.0237436958080685,0.0238183855252447,-0.13579255119905,-0.033189014162533,0,0.205967048203243,0.872535598185272,0,0.0703775398152597
CVIX.Index,-0.252938947393279,0.0820477501915517,0,0,0.123241012706604,-0.0337041980554401,0.087987969325601,0.267725888064211,0,0,-0.0201938884695558,0.543603266223101,0,0,0,0.475739330774083
DXY.Curncy,0,-0.0286289245806532,0.0731944357562864,-0.070491186959253,0,0.0272880085907073,-0.00393116176268036,0.0460335116708793,-0.0129722651662753,0.0540448616894278,-0.0194562506097374,0.193933083401762,0,0,0,0.0269802147870329
SPX.Index,0.00917057131934459,-0.0212522115680025,-0.00530074703003409,0,-0.00359345795346607,0,0.0065579011998328,0.0129026064630916,0,0.00577436309601244,-0.00134766182184706,0.0816144799909022,-0.015987721086967,0.00686901229673811,0,-0.0472407112621524
VIX.Index,0,0.486284772837673,0,0,-0.0860547808125234,0,-0.2720830056757,-0.522730296073849,-0.0790669437393896,0.159570320694188,-0.285880205386077,0,0.996873469332676,0,0,0
