,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0270273682749816,0.134317286837717,0.039468591124221,0,0,-0.010746414858736,0,0,0.0153807209102714,0,0,0,0,0,0
ETH,0,0,0,1.17408127111077,0,0.0875894178084315,0,-0.0245334016464943,-0.356763769410707,0.367982312744139,-0.0250027811751389,-0.0576724141366627,0.891914785133259,0,0,0,0.238879163071298
XRP,0,0,0,0.659097446847629,-0.103260660411094,0.129617727299315,0,-0.0948672641181094,0.76247335368503,0.28663995376104,-0.125295308944211,-0.326054763901611,0,0,0,0,0.0194508351005576
LTC,0.642102739053786,-0.0365244655308057,0.0189226627643927,0,0,-0.0261868600386798,0.0340771206514709,0,0,-0.109581418814908,0.0020272713944826,0,0.0796904368441441,0,0,0,-0.0306004987949073
ETC,0,0,0,0,0,0,0,0,0,0,-0.11047138359842,0.368554859253354,0,0,0,0,0
XMR,0.465405352820802,0.45628963523074,0.143087585041128,-0.758463624232729,-0.130039058921619,0,-0.382884223832682,0.390285922458712,-0.969352595094882,0,-0.118214080929836,-0.165864301459343,0,0.615383261625445,0,0,0
DASH,0,-0.0189264373376555,0,0,0,0,0,0,0,0,-0.0876075030945511,-0.0322651018204387,0,0,0,0,0
XEM,1.26516019901524,0,0.0470915297846188,0,0.0424742413265621,0.240433395944634,-0.484059256561588,0,0,0.210071806038218,-0.0479182620542878,-0.402404800115202,-0.696236626225932,-1.53051354610947,6.7852338655751,0,0
DOGE,0.285109811363221,0.146557868798033,0.079670123973421,0,-0.00274364249867962,-0.165764230729554,0.13749120349241,0.0560007139537524,0,0.0376859609051937,0.019026503503239,-0.0538972258052309,-0.938342889268546,0.293051835575537,3.14271773150457,0,-0.125188842470824
XLM,-0.336480547843922,0.353120653012813,0.121428503622236,-1.16628580874612,0.176471884337708,0,0,0.237814534529823,0.470891799989913,0,0.00912523402748936,0.234636912084898,-1.85236314284339,1.25935041328655,0,0,-0.156001363231766
NEO,3.23564766246983,2.05888428389773,-2.18081671516502,0,-0.912066883332382,-3.12811201139353,-3.13291378287746,0.293353590465999,0,1.59520355687132,0,-1.7962603845439,0,-4.87567682779174,0,0,2.4659235271024
DGB,1.60407124104134,-1.35374957237025,0.135084222854922,0,-0.252122577874814,-0.0724506189544617,0,0.0478189705277538,0,0.552893502761705,-0.123334322098714,0,2.47944021455503,0,0,0,0.537879987632146
BV010082.Index,0.108382672949975,0.0505931555197227,0.0309059574198412,0.0686544569458347,0,0.098696705421529,0.149549509033198,0,-0.131085882894146,-0.0835037519183892,0.0298506795021096,0.107813741757079,0,0.286292890777354,0,0,-0.21139242685886
CVIX.Index,0,-0.242299708493655,-0.113380961029237,0.285618499669795,-0.0420913575896321,-0.0532393679624941,-0.172510736494555,-0.123537552963629,0.19750700532768,0.196149197704337,-0.0314694992246058,-0.133192927872566,1.27467167645833,0,0,0,0.247093062574244
DXY.Curncy,0,0.00123215619410639,-0.0126610443994916,0,0,-0.00803419460942217,-0.0394947801718994,0.0114537312983074,0.0654697561072518,2.16840434497101e-19,-0.00439671047174138,0.0295067207115243,0,0.0360415458663434,0,0,-0.00101321478970386
SPX.Index,-0.0404902435135155,-0.0563557395523851,0.0152339709681921,0,0,0,-0.010491887592577,0.0203401898624598,0,0.00941539355106103,0.00512150615202709,0.0113944961173293,0,0,0,0,-0.0601379095121315
VIX.Index,0,0,0.279663437379588,0.216001833881506,0,0,0.396544515243809,0.284115347401878,-0.997261022749987,-0.300442755218844,0.0829028897695276,0.365317542177666,-3.29209165932078,1.41257375505029,0,-4.52201620065823,0
