,BTC,XRP,ETH,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,BNB,XMR,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.200633774504983,-0.182578991580193,0.0494950831164581,0.0856769379771738,0,0,-0.0868525704390895,0,0,-0.0433222313404562,0.139944975217753,0.0381478821385683,0.270801708190119,0.243720485912923,-0.197611527767568,0,0,0,-0.0297415783379733
XRP,0,0,0,0,0.172092666427494,0.208634665467548,0.181055319257472,-0.147970317136433,0,-0.115111196245061,0,0.0427707254147629,0.292528666171136,-0.0214590976144487,0.268903492826345,-0.240802022063986,0,0,0,0.0460017785041984
ETH,0,0.44571324502737,0,0,-0.0813423502473006,-0.00684424303441847,0.0531691471971968,0,0,0.237998890853992,0,0.0848838382799272,0,0.281172996305604,0,0,0,0,0,0.0743320219561358
BCH,0,-0.218661212473365,0,0,0.29214786121511,0,0,0.61481852952148,0.428467589058905,0,0.0501259499153496,0,0,0,0,0,0,0,0,0
EOS,0,0,0,3.46944695195361e-18,0,0,0.37694482325429,0,-0.142827608616639,0.843833007018931,0,0,0,0.0595836258845185,-0.270420430537948,0,-0.140165642007866,0,0,-0.0185430970088807
XLM,0,0,0.21202820477546,0.0228158874037348,0.288274602203291,0,0,0.0802204548004,-0.0660769103708777,0,0.00837669619088369,-0.0320118185058749,0.269780304702006,-0.104376331398048,0.161974298780375,0,0.414645476582462,0,0,0.00117186121947087
LTC,0,0,0.217423891685605,0.0655333978433169,0.21522114661781,0,0,0,0,0,0,0,0,0.144364754204756,0,0,0,0,0,-6.93889390390723e-18
BSV,0,-0.589825265221047,-0.0889398642843484,0.20595844262247,-2.77555756156289e-17,0.186720641483184,0,0,0,0,-0.0229223240176621,0.277123416908238,0.470332998660351,0.237092244073666,0.192733981789389,0,0.580272447705198,0,0,0
TRX,0,0.253007715830746,0,0.171345050271915,0,0,0.122444671990041,0,0,0,0,0,0,0,0.172482139346225,0,0,0,0,0.064254018550577
ADA,0,1.73472347597681e-18,0,-0.0073063514984324,0.0745940703843638,-0.0793765799597496,0.232409978551916,0,0.306662166900497,0,0.0251248219319485,0.011944951315854,0.60473451984302,-0.105777766855919,0,0.257068197711921,-0.103641396574189,0,-0.127064078107373,0
MIOTA,0,0,0,-0.0151480957335965,0.293015202685405,0.506576949028311,0,0.215333591648167,0,0,0,0.374658285773482,0,0,0,0,2.61542923352078,0,0,0
BNB,1.53858981991572,-0.387487008827632,0.468551448271873,-0.142762726513854,-0.00971478002950937,0,0.196388344057318,0.126143215220362,0.124836182684991,0,-0.0110196712895705,0,0,-0.439288298232348,-0.0309818330289992,0.134504804557621,0,0,0,0
XMR,0,0.502422067699283,-0.0769827377360152,0.0840125374086842,-0.0377317453800262,0,0,0.118339856586953,-0.114884135456851,0.552125216595836,0,-0.00559425939349809,0,0.175803101779732,-0.221533637817393,0,0,0,0,-0.0379873236092419
DASH,1.09371705234216,0.131174934826682,0.14094983545551,0,0,0,0.357599543899903,0,-0.261988248700703,0,0,-0.23559902709717,0.0557570456395794,0,0,0,0,0,0,0.0160010559195169
XEM,0,0.681382810917171,0.0179407036267988,0.0689024619565378,-0.340436920599912,0.237658135449843,0.151781886870718,0.30948218092745,-2.77555756156289e-17,0.335704229140981,-0.0516206234370568,-0.058443604123229,-0.290511056725661,-0.113637767547789,0,0,0,0,0,-0.0444079211562781
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0506210232916448
CVIX.Index,0,0,0.141098573076712,-0.0140020916642387,-0.153264167420124,0.360064376681473,-0.173803736353982,0.129879441020608,0,0,0.0861109133434834,0.00854787075816599,-0.319263803816558,0,0,0,0,0,0,0.0335120222544126
DXY.Curncy,0,0,0,0.00308414625417668,0,0.00422482238135121,0,0,-0.0402930855271296,0,-0.0105147339085255,0,0,0.010530961629703,0.0162142240504125,0.0808121613086394,0,0,0,-0.00659277739789211
SPX.Index,0,0.138433610608948,-0.103758335746104,0.0144536244202645,0,0,0,0,0,0,0,0,0,-0.0505448265659453,0.034046874852846,0,0,0,0,-0.14872129654451
VIX.Index,0,2.77555756156289e-17,0,-0.0752571258733608,0,0.243141890112564,0,-0.122700202804463,0.899000113787302,-0.630321327955839,0.0546458313861747,-0.037973024148973,0,0.0193248633430941,0,0,0,0,-2.55097599005892,0
