,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.458615191492373,0.0662926792276296,-0.00695751217687029,0.0292836047302073,-0.132208511349033,0,0.0641094069170843,0.0839120691700396,0.149102269294355,0,0,0,0,0.0675231265136764
ETH,0,0,0.191834173087284,0,0,0,0.157555043125736,0.0302732132897411,-0.0317807356345429,-0.161917689001817,-0.115153058729798,0.339490420501185,0.106173962107427,-0.0809328885758625,0.457213020718175,0,0,0,0,-0.21750873386737
BCH,0,0.897371801206675,0,-1.38777878078145e-17,0.391265808162407,-0.180130793230569,0.0942943623722504,0.104975671213092,0.553960470963499,0.372447658549417,0,-0.614960534602834,-0.595450093176377,0.245249995330773,-0.383156715960341,0.876171355622671,0,0,0,0.639995216975691
XRP,0,0,0,0,0.189571026328017,0.144067583329615,0.132650474690875,0,0.0716897366727225,0.00427289573271318,0,0.0561103904866525,0,0,0,0,0,0,0,0.083029782491073
LTC,0,0,0,0,0,0.132971123661894,0.130286716676113,0.171962932827303,0,0.181708054097274,0.571902834661246,0,0.0328629172159913,-0.0890633964335309,-0.10147264736656,0,-0.380455812104715,0,0,0.14950416628107
DASH,0,-0.123796506830322,0.362372127489132,0.794869068788442,0.901488631765118,0,0,0,0.434656650702868,-0.255483593938122,-1.13329334359027,0,0,0.380299274274501,0,0,0,0,0,-0.12784346372489
XEM,1.45876488330812,0,0.0277719638505841,0,-0.183424582598719,0.0587470084737027,0,-0.0903125389757025,0.471015030271961,-0.0938998182328213,0,0.0898879964212771,0,0,-0.0731813052398819,0,0,0,0,0
MIOTA,0,0.553515937321875,0.43060327942062,-2.05801527415644,0.179317441701736,-0.118916085856511,0,0,-0.106388241423746,-0.511609645205756,0,0.769890755975852,0.511216991269575,0.00750773021669301,0.515843931449185,0,0,0,0,0
XMR,0,0,0,0,0.531345817062512,-0.0473908699042637,0.339010192070001,-0.243393093387497,0,0,0.043922953681436,0.105051599314662,0,0.0473225568215145,-0.136648656567747,-1.80343674814494,0,0,0,-0.205677046195083
NEO,0,0,0.900045507006968,-0.188805341096286,1.41763428451804,-0.584062701919258,-0.246376195065275,-0.993793223333191,-0.519065373259963,0,-1.30636595838188,0.78793341714638,0.634703558042502,0.372901845823422,0.733674235207852,0,0.153535872818445,0,0,-0.608295404749772
ETC,0,0,0,0,0.914460680373591,0,-0.0204884274319524,0,0,-0.10788413924346,0,0,-0.0825659671440314,0,0.352608417589351,0,0,0,0,0
ZEC,0,0.682133566240085,-0.360982671844193,0,0,0.126416150824246,0.24782582828178,0.280627745448241,-0.0434548256407656,0.425140235002501,0.121187761546812,0,-0.324582863010244,0.00873557194590707,-0.475790066663386,0,-1.20691028253444,0,0,0.567562697862198
BAT,0,0,-0.483718556398084,0,0.184917427645791,0.662133557120413,-0.155179093915408,0.533895894761276,0,0.585037211775854,0.233951318355031,-0.895334848596138,0,0.0464189338901691,0,0,0,0,0,0.284737036059153
EOS,0.951167172631788,0,0.105011330042752,0,0,-2.77555756156289e-17,0,0,-0.225244184063161,0,-0.131070307983344,0.406384153403093,0.0296930065966448,0,0,0,0,0,0,0
XLM,0,0,-0.275207926447301,1.50538476264988,0,-0.526315166505366,0,0.222153513816987,0.251075821116051,0.176192590595521,0.211609281927756,-0.325154859877694,0.122868111432496,-2.77555756156289e-17,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0.018204710766685,-0.125192879928701,0.0151866657805012,0,0,0.0501295193378413,0.0152063672813941,0.0129086708764015,0,0,0,0,-0.110324347268113
CVIX.Index,0,0.475664997181974,0,-0.392562942826714,0,0.0879390033252452,0,-0.116562074961063,-0.0781008550183796,0.0579626540467018,-3.46944695195361e-18,-0.319059408216753,-0.0243485950956825,-0.00799173859140063,0.0563807490082108,0,0,0,0,0.22970285613066
DXY.Curncy,0,0,0,0,0,-0.0156284555911002,0,0.00552432256515043,-0.0250401228724008,0.00194149241628278,0.00926821206346034,-1.0842021724855e-19,-0.0206565334443764,0.0237501064862222,0,0.19302400773938,0.0360210052621124,0,0,0.00230417539612383
SPX.Index,0,0.0291271129021513,0,0,-0.0344684633570096,-0.0064574034812204,0,0.00461065604176348,-2.16840434497101e-19,0.0121976825781498,0.0341869893078128,-0.0311199971816014,-0.000362391361670181,0,-0.016455750094808,0.00736472267777585,0,0,0,-0.029290008578261
VIX.Index,0,0,0,0.181232109043201,0,0.0688292959982506,0,0,0,0,0,0.335754057453133,0.0128167751482131,-0.406873795957087,0,-0.738439816293608,0.336551523998933,0,0,0
