,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,BNB,MIOTA,XMR,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.043284523701439,0.0818550833973269,0,0.299560691943427,0.132839219071228,-0.0441630679006403,-0.0545759604129839,0,0.0284872105733087,0,0.134153650105251,0.181828935065365,0,-0.0221268157382768,-0.0363715309321312,0,0,0
XRP,0,0,0,0.0495542782707201,0,0.044887993072216,0,0.0161891027567755,0.0682569358590159,0.0563429137404986,-0.0941838085556365,0,0.231182076179785,0,0.317079635623432,0.264927405297072,0,0,0,0.0872236531981112
ETH,0,0,0,0.234614173896293,0.212341289626254,0,0,0.085879600509221,0,0,0,0.331500743966414,0,0,0,0,0,0,0,-0.166017434842093
BCH,0,0,0.0169389426434969,0,0,0.123901051685193,0.202732509082741,0.0236788100556509,0.367972627710515,-0.0662275643545732,0.238361820104387,0.479576191888822,-0.0407539367795294,0,-0.214977927770784,0,0,0,0,0.031477491857212
EOS,0,0,0,0,0,0,0,0.0370247528110677,0.10110626209931,0.474185324373152,0,0.395050760823882,0,0,0,0,-0.216257261339999,0,0,-1.73472347597681e-18
XLM,0,0,0.105387619757761,0.354521200287543,2.77555756156289e-17,0,0.00437568832772126,0.0382711718248,0,0.267603403010225,0.0706019003151565,-0.119847568210923,0,0,0,0,0.0727335847342125,0,0,0.0692856447190026
LTC,0,0,-0.0479815859131759,0.772545460207484,0,-0.0897176787447349,0,0.151796640820728,0,0,0.299595798558068,0,0.393228929467095,0.108593058469725,-0.808350828221612,0,-0.109137268043734,0,0,0
TRX,0,1.04333272664364,0.604933094695747,0.538953978534251,-0.408165071805635,0,0.071552491448652,0,-0.831008402030744,1.75024638301705,0.199051545192033,0,-1.17037473700344,-1.01718735916349,-0.0231484711765283,0,-0.187046638877592,0,-2.63439032279153,-0.434780915535321
BSV,0,0,0.0122560939013907,0.810155059373686,1.38777878078145e-17,0,-0.208052911296952,-0.11447095206089,0,0.572316853544552,0,0,0,-0.411539662532543,-1.38777878078145e-17,-0.0480839811180057,-0.0453226358072451,0,0,-0.038171588977685
ADA,0,0,0.33796291183548,0,0.327471869339909,0,0.173291171618542,0.0787619742740473,0,0,0.0698425556970762,0,0,0,0,0,0,0,0,0
BNB,0,0,0,-0.183832296648902,0,0.170723663104353,0.460381447471826,0.386053928289206,0,0,0,0,0,0,0,0.0308582313125738,0,0,0,0.17412458457261
MIOTA,0,0,0,0.14135468448342,0.101405561586415,0,-0.0527631985544089,0,0.107880105515336,0,0,0,0,0.215088871530385,0.554422722041029,0,0,0,0,0.0137184689794728
XMR,0,1.11838712098347,0.174208716834901,6.93889390390723e-18,-0.00746438693053714,-0.211356340105321,0.255544864419772,0,-0.0073220922597982,-0.0687144229952701,0,0,0,0,0,-0.388736801126925,0,0,0,0
DASH,0.603080721615592,0,-0.0584212112093275,-1.38777878078145e-17,0,0,0,-0.0963336385628945,0,0.316799837247885,0,0.271081633571605,0,0,0.0680111352895187,0,0.00560332144475223,0,0,-0.023961688340583
XEM,0,0.438680242556815,0,0.124767885112834,-0.395432881492316,0,-0.0688173054658698,0.0163365790176252,0,0,0.32936729612145,0.309686794275172,0,0.360012132520815,0,-0.12033537527376,0.048159274809004,0,0,-0.032957062947883
BV010082.Index,0,0.296130776971907,-0.451495236117596,-0.27930336416082,0.185294227486947,0,0.204155120902882,0.0839575027045934,6.93889390390723e-18,-0.090567479796635,0,0.451057309742289,-0.238089064595656,0,0,0,-0.0908460010357098,0,1.21885720814934,-0.169534100898318
CVIX.Index,0,0,0.333232838605712,-0.547525594048642,-0.66466822042073,0.748166448383518,0,-0.38624020983665,-6.93889390390723e-18,0.657392526176165,-0.226433798384069,0.487480295464611,0,0,-0.413539475150892,-0.307034436401373,0,0,0,-0.275903886110163
DXY.Curncy,0,0,-0.000221989928712142,-0.0155244776217662,-0.0242843348976807,0,-0.0265446049400609,-0.00814200634728411,0,0,0,0,0.00328800596332262,0.0438542688413493,0.0794257694426782,0.0712894685686914,0.0317757462631823,0,0,0.0171864582654852
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288159626401009,0,0,0,-0.0369865158676881
VIX.Index,0,0,-0.43819852961763,-1.01647858503596,0.980479816830978,1.01493264400042,-0.205390714566923,0,-0.126428802012784,0,0,0,0.246844298905374,-0.332393886728059,0,-1.47617070020483,-0.410701076217457,0,0,0
