,BTC,ETH,XRP,BCH,ADA,XEM,LTC,XLM,MIOTA,TRX,DASH,NEO,XMR,EOS,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.333102031685069,0.0684300224261786,0.255732892104621,-0.120972275682298,-0.0157530324787339,0.534297956203293,0,-0.0831924392477903,0.160191281781018,-0.310215051563608,0.462669813329369,0,0,-0.0520328459300388,0,0,0,0,-0.268403586677509
ETH,0,0,0,0.0267203218590206,0.00388740178246657,0.07340021902374,0.148414207371092,0,0.125174878080689,0.0584347844940844,0,0.232592305176711,0,0.0837151335748098,4.33680868994202e-19,0,0,0,0,0
XRP,0,0,0,0,0.599962809446853,0,0,0.217571651319596,0,0.0451370046456867,0,0,0,0.103989786718739,0.484632040987998,0,0,0,0,0
BCH,0,0.379833574949004,-0.133512630054991,0,0.0547197897805988,0,0,0.0276967018943761,0,-0.0515715081966038,0.636953597060782,0,0.25681346243243,-0.0206809683087722,0,0,0,0,0,0
ADA,0,-0.0714844086294202,0.135265615822509,0.20296829385155,0,0.0638686610353736,-0.253519849927599,0.17523834170496,0,0.0544015481295582,0,0.413429456929285,0,0.350881248751382,-0.429577824810892,0,0,0,0,-0.792002575759398
XEM,-0.272783241753494,0.571761704716912,0.212964308297291,0.363300535736803,0,0,0.478623345504242,0.126410320110747,0.0902272902464981,-0.00444284962302907,0,0,-0.203675158425429,-0.29369726507818,0,0,0,0,0,-0.438284069697069
LTC,0.54471394405615,0,0.0768071899757831,0.0112136521958393,0,-0.0115434548667332,0,-0.0417613415216164,0.189799124942872,0,0,0,-0.0855072030994141,0.038811046445154,0,0,0,0,0,0
XLM,0,-0.348180449346912,0.19892721982899,0.436316007610969,0.52281906272109,0.490452174250939,0.02497987326006,0,-0.0574315986707465,-0.0185710021841261,-0.6615171358949,0.491192607682822,0.519362895411466,-0.214562308902937,-0.281235208376422,0,0,0,0,-6.93889390390723e-18
MIOTA,-0.269018176238242,0,0.140374354375338,-0.177357643853018,-0.0144972453777591,0.313858795605033,0.322883859758874,0,0,0.0204188527557633,0.125339731634328,0,-0.561938491654819,0.517244312477267,0.660789185624822,0,0,0,0,0.494673110171353
TRX,0.995476171186888,2.05731667042004,0.130347089258751,-0.365710397317954,0.581898502848691,-0.520634502380019,-1.12420576966605,0,0,0,0.158273651285686,-1.87959157433159,0,-0.296642995570148,1.27913309621848,0,0,0,0,0
DASH,-0.361842310450014,0,0.0249043398537374,0.103554765592769,-0.069654322486121,-0.0244556756409882,0.457921588258984,0,0.0667508569063868,0.153946581571552,0,0,0.353500238014815,0,0,0,0,0,0,0
NEO,0.0442579349476148,0.855493810317776,0,-0.111062631653552,0.290823541468717,-0.173969533184726,0,0.240414656316695,-0.140407339073249,-0.0461786417286044,0.254271205274905,0,0.106800168628548,0,0,0,0,0,0,0
XMR,0,0.00124380462874149,0,0,0,-0.0700248419111478,0.0818123838055771,0.135896213210508,-0.137762004407234,0.000951590003604464,0.440644138468919,0,0,0,0.553646109429669,0,0,0,0,0
EOS,0,0,0,0,0.127474279219284,0.095040047319236,0,0.125679082088391,0.100667500471751,0.222578617894445,0,0,0,0,0.282949354907275,0,0,0,0,0
BTG,-0.30189392114447,-0.053002395753231,0.154558150453212,0.22016796540759,0,0,0,-0.0833899624894787,0.230408228138866,0.0573991696081467,0.0748431632666494,0,0.636520149396278,0.0684005279660934,0,0,0,0,0,0.191445887228865
BV010082.Index,0,0,0,0.0319920911031832,0,0.0125154359460115,0,0.00106421758945949,-0.0312860930897261,-0.00469849114464081,-0.0318807016186587,-0.028805991608949,0.026520093008199,0,0,0,0,0,0,0
CVIX.Index,0,0,0.0599941400428605,0.0497125023463409,0,-0.0311425397807512,-0.0936952209231822,0.0216616596718976,0.0274097135512867,-0.0154540348700088,0,0,0.011075200349406,-0.0131899894315835,-0.0765920691825312,0,0,0,0,0
DXY.Curncy,-0.0053072332511371,0.0151963701520016,0.00177031064834703,-0.0045827717586173,-0.00914038834948101,-0.00555135150300542,0.00536526463143384,0,0.0094298775645234,0,0,0,0.0183807379836254,0,-0.0126321154677803,0,0,0,0,0
SPX.Index,0,0,-0.00532803266216873,5.42101086242752e-20,-0.00139446814308742,0.00243485980736701,0,0,0,0.00185320240260703,-0.000101599670313496,-0.00954131849837562,0,0.00814855532624788,0,0,0,0,0,-0.052668161861916
VIX.Index,0,0,0.0286160796595733,0.176839214198115,-0.0994228283563421,-0.144320604905321,0,0,0.0700613563326958,-0.0551426118912981,0,0,0,-0.0421676032518108,0,0,0,0,0,0
