,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,LEO,XMR,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00187719365244146,0.114806439240914,0,0,-0.0541579090085872,0.0627570585372673,0.0630979517741759,0,0.112932462210461,0.00653705501597009,0.0483106986161643,0.406932859118025,0.287346597874103,-1.73472347597681e-18,0.222950594059459,0.0148790784399677,0,0,0.137223387107451
INNBCL,0,0,0,0,0,-19.9454276647846,0,-18.2084957737721,0,0,5.15901528506502,0,0,0,18.7758299580895,0,9.30803628315869,0,0,0
ETH,0.17211174590341,-0.000651975850985812,0,0,0.109728650758981,0.0972549192145792,0,0.0756406775520941,0.344078709731024,0,0.0165885811022078,0.0257728152113742,0,0,0,0,0,0,0,0.0745598388584784
XRP,0,0.000767941968443866,0.112557853175295,0,0.218163439645643,0.163093953040621,0,0.0100646428590993,0.0431230900639134,0,-0.0195116219518315,0,0,0,0.0423637237079924,0,0,0,-0.0117800191299959,0
BCH,0.201092203036534,0.000565986320722438,0,0.700650739375323,0,0.0118423541868968,0.401258376433524,-0.0999504018735392,-6.93889390390723e-18,0.25617071784587,0.0184869767847835,0,0,0,-0.217416756257975,0,0,0,-0.221002709027394,0
BSV,0,-0.0121891354244743,-0.081389767441904,0,0,0,0,0.315996948690389,0,0.380892384431093,8.67361737988404e-19,0,0,0.444607843841127,0,0,3.46944695195361e-18,0,0,0.00200759363939384
LTC,0,0,0,0,0.0238820774258316,0.0660335334598383,0,0.173509277666408,0.17432179400442,0.191503786575045,0.00548138211653007,0.0181854486018813,0,0.0611401945175391,0.15668709632394,0,0,0,0,-0.0817684886571224
BNB,0.758504367725835,-0.00805193224449417,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.309644870444476,0,0,0.122681534000852,0,0.343169037921171,0,-0.236030843783994,0.0299276409349687
EOS,0,-0.0047190948237371,0.262783781919314,0,0.128606839427668,0,0.453334999077323,0.118339964343478,0,-0.063558073916066,0.00380467426197886,-0.0983079483714634,0,0,0.248500758617751,-0.563977747918467,-0.211904840425862,0,0,0.0281236860274816
XTZ,0,0.00396193528256659,0.340211857466324,0,0.00818926925287103,0.359931219512612,0.0529088547915812,0,0.243565675586677,0,-0.000415151699130894,0.0280966759629269,0,0,0,0,0.0293038791364703,0,0,0
TAGZ5,4.38181439411954,-0.041959724727113,0,0,2.46084744334191,-0.117954343886102,0,-5.9004424091511,0,0,0,1.71914142446313,0,0,0,0,1.67875637651049,0,-1.71851231511946,-0.626352118945792
LINK,0,-0.00591487709445442,0,0,0,0,0,0,0.0189738833075242,0.86645976055499,-0.0358651499915518,0,0,0,0,0,0,0,0,0
LEO,0.292234340954491,-0.00396723657029103,0.145793230123624,0,0,0.0759662930613466,0,-0.0850624741107829,0.0140543557001655,-0.193367684297768,-0.00755050781485523,-0.0461030610233882,0,-0.121567639829169,-0.0545170278157754,-0.546563838732423,-0.102998003625539,0,0.214575284129254,0.0862730710309649
XMR,0,0.00293287115003559,-0.114569036422358,6.93889390390723e-18,0.406653793304023,0.0822405267689885,0,0.326117081384828,0.382797447760233,-0.122352403962537,0.00688060387846128,-0.0753676387455679,0,0,0,-0.126088334063098,0.0142382318240293,0,0,-0.12935128988505
XLM,0,0.00363817633062041,0.0597494419640231,0,0,0.229723067316571,0.142089590921955,0.134157869918654,0.0748287577067547,0.0804251353965788,0,0,0,0.0271881015339689,0,0,0,0,0,0
BV010082.Index,0.39967046779664,-0.00348794205558846,0.224398787603658,0,-0.0464031960029117,0,0,0.0887393806073541,-0.538303411036377,-0.0392183572046291,0.00577338821282145,-0.0456966928551095,-0.290753882920463,-0.180730095278116,0.182371806155329,0,-0.194355223676298,0,0,0
CVIX.Index,0,0.0195302494673032,0,0,-0.177512044438456,-0.568248765437024,0,-3.46944695195361e-18,-0.663043926026376,0.618639520820058,-0.0679199130842927,-0.306303105248309,0,1.01120604476495,0.639141636043469,0,0,0,0.0718088639922178,-0.134419240700396
DXY.Curncy,0.0122089437986236,-0.00019381594916387,-0.0753089501199153,0,0,-0.0611965954542546,0.121063482186791,0.0196815606458491,0,-0.0176858927143642,0,0.0255659904547317,0,0.0761357257342329,-0.020679179532639,0,0.0437837612342818,0,-0.0463437860767233,0
SPX.Index,0,-0.000650246225371464,0,0,-0.700555341974512,-0.0727937868576225,0,0,0,0.431724959046121,0,0.225844058988811,0.629698857534174,0,0,0,0.000975530914883606,0,0,-0.117976865352435
VIX.Index,0,0.0265284728357646,0,0,0,0,0,0,0,0.912413289950766,0,-0.358922340830563,0,-0.489095433729166,0,0,-0.676758831757086,0,-0.92272446283753,0
