,BTC,ETH,XRP,INNBCL,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LINK,XLM,XMR,LEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.393874996123986,0,-0.016574642382619,0,0.209571491151433,0,-0.313048018716167,0,0.18312557277783,0,0,0.0875249298846896,0,0,0,0.000831340951111995,0,0,0.0124522938392135
ETH,0.138145785015193,0,0,0.00189523996084047,0.0050126638792455,0,0,0.355109139175247,0,0.179283433884214,0.00306238479382136,0,0.0391797525280133,0.190273793444975,0,0.0323990127562497,0,0,0,0.0683984464317431
XRP,0,0,0,-0.00632162699375421,0.267070961990072,0.194071100750109,0,0,0.48829326190946,0,-0.126734569205361,-0.0998153614503573,0.161057249676141,0,-0.330539209405397,-0.174560791575886,-0.0968142461634997,0,0.341229024114975,0.171808261477662
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82323427193426,0,14.1442505148048,16.2946287452793
BCH,0,0.364984145037787,0.425863715541978,0.00313804311772531,0,0.0870066961212824,0,0,0,0.266568979226496,8.67361737988404e-19,-0.0430057959429003,-0.195280438144601,0,0,0,-0.021475154589355,0,-0.0988909640413881,0
BSV,0.602441431490985,0,0,-0.00578662663670994,0,0,0,0,0,0.100125556535932,0.0218533079183278,0,0,0.193571512335799,0,0,0,0,0,-0.101449545076386
LTC,0,0,0.0525705530271378,0,0.0958578240507627,-0.126280287274853,0,0.246883041216944,0,0.251212523351005,-0.0585394336398654,0.136316385427048,0,0.179363575547522,0,-0.0343932322330999,-0.0118859077446874,0,0,0
EOS,0,0.65496935639394,-0.202822562946632,-0.0016176211619518,0,0.195823109996161,0.637238851089187,0,-0.14029447401285,-0.133750573633644,0,-0.110838226676528,0.0392448951478754,0,0.478848893763716,-0.116383658386825,-0.0945262387272863,0,0,-0.0738852762852688
BNB,0,0.386004160105312,0,0,0,0,0,0,0,0.0688914502066605,-0.0234264652774368,0,0.0386051570533136,0.380105408505546,0,0,-0.126997856561456,0,0,-0.0600997382955786
XTZ,0.276866596368616,0,0,0.00437826400228437,0.356367574504724,0,0.253078510398132,0,0.191077961976817,0,0.0353288062779103,0.334557059882945,0,0,0,0.0992701354337238,0,0,0,0.0838803433014355
TAGZ5,0,0,0,-0.0136381447047217,0.275646776333532,0,0,0.325031576063165,0.35913269853807,0,0,0.609272681759641,0,-0.311349872727931,0,-0.653881207072054,0,0,0,-0.109252643743295
LINK,0,0.0122021000729852,0,0.00358508014108853,0,-0.233009686946973,0.128124804533795,0,0,0.922041051834911,0.076719845325526,0,0,0,0,0,0,0,0,-0.148360207604404
XLM,0,-6.93889390390723e-18,0.21243184549801,0.000494664857210705,0,0.0740866553775178,0,0,0.305351268258665,0,0.0283261392866044,-3.46944695195361e-18,0,0.151608184820241,0,0.095751287755683,0,0,0.0689138050811264,0
XMR,0,0,0,-0.00443107138793815,0,0.117410934319213,0,0,0.746441655607158,0,0,0,0.0624509541551664,0,0,-0.0937860354007124,0,0,-0.124549967719686,0
LEO,0,0,0,-0.000643932985143724,0,0.0576310629756546,0,0.0310126435172678,-0.185069506234713,-0.0330192864563145,-0.0177817873007654,-0.0409504577474469,0.12169940874728,0.0777604475749555,0,-0.100502043163845,-0.0131117303966133,0,0.0857521426489716,0
BV010082.Index,1.60325158118772,0.13263954657892,-0.536553582957232,-0.0144221595979012,0,-0.180223842000657,0,0,-1.52404461493349,-0.225894186508974,-0.18858974638229,0.265893583893582,0.833104305625383,0,0,0,-0.218816871101379,0,0.401252035564046,0.611276349838227
CVIX.Index,0,0.669561787393282,0,0.0187484525052592,0,-0.052779770681109,0,0,0,0,-0.590061715449975,-0.0177003400975946,0,0,0,0.685013539084694,0,0,0,-0.400823365254727
DXY.Curncy,0,0,-0.206994339263935,0.000488580944773561,0,-0.00385670581623608,0,0,0.182312721885997,0,0.0198946182716941,0,0.0384386708177526,-0.0300701541100363,-0.0506505796602903,0,0.00831767607771682,0,-0.0412641553173577,-0.0390713245022383
SPX.Index,0,0,0.773721618141572,0.00603973504375977,-1.01539281504423,-0.271301959388778,-0.829318362676805,-0.346406375903248,-0.22349212075778,1.22864338995143,0.149148216304677,0,0,0,0.973055685417661,0.191718520151202,-0.119448774508808,-8.67361737988404e-19,0,-0.223886732694677
VIX.Index,0.842162711111395,0.83750799284558,0,0.0213076064120292,0,0,0,0,-1.76355226552129,1.12931795191453,-0.0184331409241637,-0.879725283412542,0,-0.260054702560436,0,0.198022245977068,-0.288112494294144,0,0,0
