,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0545847226210985,0,-0.0635379049931171,-0.207546152851298,0.191621431225448,0.0853073027448458,0.139708501209479,0,-0.0715811364280802,0.135201181023539,0,0.405727443622725,0,0.150733716242221,-0.54204610347152,0.0438598376326843,0,0,-0.0836009147054613
ETH,0.151831549716081,0,0.165413810512484,0.0399650732299079,0,0,0.115037771353183,0.529224521221512,-0.315133278105542,0,-0.241464456906973,0.201402296979034,0,0,0.226252530149162,0,0,0,0,0.103710284012117
XRP,0,-0.162813671099359,0,0.213457002482106,0.509647074585454,-0.338184928142129,-0.168706326611918,0,0,0.242790106342385,0.100738116231041,0,-0.291124353955198,0.199347043173609,0.421297792371664,0,-0.567271309292771,0,0,0.0804704693935497
BCH,0,0,0,0,0,0,0.236117623513957,0,0,0.0883696950533167,0,0.817739460020761,0,0,-1.38777878078145e-17,0,0,0,0,-0.094144784681443
ADA,0,0,0.529490084712495,-0.0498663211955575,0,0.424322744789817,0.173153419587491,0.0912622801703127,0,0,0.0471282462652536,0.0220995493718615,0,0,-0.1531136324627,0,0,0,0,-0.0114544584225473
LTC,0,0.263609938167867,-0.088055879885942,0.141150066797722,0.388592673963842,0,-0.0828958815167994,-0.215711773978191,-0.0339354493509525,0,0,0,0,0,0.374301919873739,0,0.403463038632119,0,0,0.0577847271913103
NEO,1.15134197191237,0.353316144452212,0,0.0593736084767794,0,0,0,-0.100524871375558,0.262767619740177,-0.492163812213315,0.0102462501692955,0,0.284751807825234,-0.186805838397759,0,0,0.616226199832646,0,0,0.0689657654550339
XLM,0,0.404857752608638,-0.453755548154465,0,1.12816639686973,-0.442101847245067,0,0,0,-0.152574534906972,-0.110504110534146,0.265478324631966,0,0.391162938558855,0,0,0,0,0,-0.0350744314365837
EOS,-0.462971662977976,0,-0.0953474567522676,0.0402094149939536,-0.00140479913176597,-0.312283718851758,0,0.48934041355898,0,0.0371367225461583,0.171230165280473,0,0.446405857706792,0,0.487345282202348,0,0.177607993376514,0,0,0.0334086234369835
MIOTA,0,-0.171819842143975,0.0510005272964812,0.00602086555608516,0,0.464074958067197,0,-0.167930377517592,0,0,0.117755124143693,0,0.424380846117059,0.124746328469025,0.178435046028068,0,0.602414504026369,0,0,-0.0848804845011011
XEM,0.674268448777327,-1.03292380608657,0.429146895972006,-0.128894138266898,3.46944695195361e-18,0.587548936010208,0.0987669233179109,0,0.224353182308493,0,0,0.768419305426438,-0.704435647925798,0.0560486279071909,0,0,-0.0407004496784233,0,0,0
DASH,0,0,0.192057781696259,0,0.18019231292102,0,0.0462248534433908,0,-0.278943739766337,0,0.0323109254941637,0,0.879945546919351,-0.00437255130032509,0,0,-0.0610098191906147,0,0,0.00734275872748209
XMR,0.27342109206968,-0.192591520328294,-0.0109642859456194,0.207837664527503,0.0154407127596437,0.0625548627979611,0.095498217058727,-0.194423788744325,0.162422974578613,0,-0.00968903310230381,0.618569866988151,0,0.0489471299993098,0,0,0,0,0,0
TRX,0,0,-0.00858136363178433,0,-0.239465922307874,0,-0.197744431579634,0.721609952577925,-0.742237158898202,2.77555756156289e-17,0.405658875654198,-0.11418539888135,1.04150666489344,0,0.241768096682344,0,-0.31672809910928,0,0,0.0735996656489481
ETC,0,0.328056814259406,0.0939273141047523,0.129540356223874,-0.242397100984962,0.117516281957613,0,-0.15778248234259,0.529327199009042,0.207527758928364,-0.0542017071262036,-0.00394143509839304,0,0.169159781022305,0,0,-0.122465594014117,0,0,-8.67361737988404e-19
BV010082.Index,0,0,-0.0784800459850539,0,0,0,-0.0334105893645411,-0.0819691321540886,0,0.0161210011055925,0,0.120597863901946,0.0416170896464568,0.005825087450795,0,0,0.0683374042544748,0,0,-0.0498993450778707
CVIX.Index,0,0,0.0495659198928465,-0.050415813911446,0,0.0643019797589392,0,-0.0097351740241657,0.139519107086544,0,0.0894764301057782,-0.273414668698443,0,0,0,0,0,0,0,0.0270004213501774
DXY.Curncy,0,0.023571368400274,0.015322293556417,0.0245559083245398,-3.46944695195361e-18,0.0197562727088936,0,0.00440620190443984,-0.0979805702174176,-0.00398663474486098,-0.0153479679478949,-0.140811273331538,0.149398979407485,0.013585461754209,0.0182923314565095,0,0,0,0,0.0119821222950303
SPX.Index,0,0,0,0.0194073408929035,0,-0.00815919404835197,0.060766638167062,0.0292210859626107,-0.0770020955583266,-0.0132820014024825,0.0646328685966525,0,0,-0.0804656843588823,0,0,0,0,0,-0.0657584454255578
VIX.Index,-1.45471280163822,0,-0.335595128526482,-0.187262548849377,0,0.916508850591463,0.0767149494236192,0,0.440413463289732,0.305319041213511,0.257770744793934,0,0,0,0,-2.3765355290517,-0.814458348377355,0,-3.47334130327854,0
