,BTC,ETH,BCH,XRP,BTG,DASH,LTC,XMR,NEO,MIOTA,ETC,XEM,EOS,ZEC,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.706843723184151,-0.268746126636897,-0.776915394794227,0.0371902155330357,-0.013516519599948,0.765707392486559,-0.270442038487316,0.168188433137947,0.612924972808343,-0.235261152198502,0.172301035555326,0,-0.788946412747429,-0.52217741114901,-0.772108707154036,0.0690427066071898,0,3.22320237454508,-0.130994245278426
ETH,0,0,0.0576873987472605,0.366207371705908,0,-0.101095820748523,-0.25695348889054,0.223376571841977,-0.0870202649772647,-0.119262159329111,0,0.0734588037479237,0.187506483564516,0.334976466198868,0.0818722272379261,0,0,0,0,0.0331155910891094
BCH,-1.42425977725325,-0.126778273977608,0,0,0.185071123115994,0.478974805377868,-2.77555756156289e-17,-0.487012840430428,0.615796032130941,0.657138370817353,0.370156560733556,0,0.0879447184956482,0,-0.306700627789853,0,0,0,0,-0.777488879215811
XRP,0,0,-0.0259708308447397,0,-0.003323345420124,-0.0759805508385953,0.268656975132393,0,0.061949165400259,0.0651065634624565,0.0160247999301383,0,0.0610914585521332,-0.0162047913496335,-0.0392613881448024,0,0,0,0,0
BTG,0,0,1.31093552876472,0,0,-0.38789750242841,1.69160017383537,-0.264617481000354,0,0.910109410853542,0,0,-0.68653970989134,0,0,0,0,0,0,0
DASH,-0.616761385005214,-0.525936954534721,0,-0.00777927676556169,0.0882796993739411,0,0,0.623083329560822,-0.13401941523718,-0.251314253285738,-0.640788851998131,0.649009823143857,0.371195227175079,1.4864172944654,-0.629679114516724,0,0,0,0,0.184299601023984
LTC,0.31897914358747,0.0302170714609533,-0.00571132343736182,0.16612986781864,-0.0125864724407996,0,0,0,-0.0510294038790082,-0.106757719997696,0.141984097163828,0,-0.0278012769491876,0.247231278917945,0.207817782992236,0,0,0,0,0.0566623188124858
XMR,0,0.144138150247658,-0.0192074407068511,0,0,0.25037155836087,-0.0288532489613204,0,0.268364384216865,0.102758611256536,0,0.446347593246478,-0.0349365982065847,0,0,0,0,0,0,0
NEO,-0.164863657256687,0,0.391018455775596,0,-0.137304729051703,-0.365755585267713,0.697305707098615,0.558076252162905,0,-0.0983383414180392,-0.369345316334256,1.33304304209887,0.0624499145382583,0,-0.735410610876064,5.25315112631454,0,0,0,0.330202282178728
MIOTA,0,-0.619052922351862,-0.0549888553920048,0,0.102036400050527,0,-0.212225926314281,0.578503856984512,0.145586246212911,0,0.0797505055772752,0,0.303421438709353,0.630812163849957,0.378738857915447,0,0,0,0,0.675971451447794
ETC,0,0,0.0554573776027862,0,0.114278178102612,-0.346886507128166,0,0,0,0.0184898170231021,0,0,0.180460763029142,0,0.0928026510769366,0,0,0,0,0
XEM,0,0.356030380186542,0,0,-0.0139279427288197,0,-0.15055401294182,0.0299037123187138,0,0.0400756652163208,0.00382662964847529,0,-0.0179070813691532,0,0.562710585801624,0,0,0,0,0
EOS,0.557997919465471,0,0,0,0.0785351853008714,0.419950402712122,0.0462526571843095,-0.633981997005307,0.527776177954276,0,0,0,0,0,0.495349596915925,0,0,0,0,0
ZEC,0,0.787438458374926,-0.119383440979199,0,-0.0472966496729471,0.32072093275962,0,-0.0691294352818646,1.73472347597681e-18,0.216105249435185,0.0270626971450174,0,-0.122699926516586,0,-0.169596970507478,0,0,0,0,0
ADA,-0.57060632627394,0.17834682537496,-0.00439948209835565,0,0,-0.331073830714611,0.838351037883339,0.412088556848737,-0.117460958999601,0.312093217398223,-0.462024496039213,0.591005256320245,0.177310461650025,-0.226886419243761,0,0.206934313624084,0,0,0,-0.222006318078239
BV010082.Index,0,-0.0472857777529978,-0.0455201451216949,0,0.00226076160086877,0.0190941071149297,0,0,0.0346109756345288,0.0241655389330046,0.0204612403601558,-0.0275167424790539,0.0293250913262605,0,0,0,0,0,0,-0.0512293109864685
CVIX.Index,0,0,0,0,-0.0185486058508565,0,-0.134428057889531,0.041595207183082,-0.086404740939918,0,0.0253696124188853,0.057491480843652,0.0379782865853689,-0.0268163135437676,0,0,0,0,0,0.0360245219767271
DXY.Curncy,-0.0322356766008053,-0.0269869602126293,-0.026880347358526,0,0.00898727272298329,0.00325082854379294,-0.0497671254420788,0.0227528353431629,0.0146233009442342,-0.0138049084002006,0,0,0.0203308565490661,0,0.0030703331118918,0,0,0,0,0.0245420594239808
SPX.Index,0.0369976708887632,-0.066630318062369,0.0202293829286378,0,0.000824336207087861,-0.0243311668118849,-0.017812495630733,0.0284402159824671,0,-0.0417717128620489,0,0.0119743196861186,0,0.0900971987382768,0.0178782721519801,0,0,0,0,0
VIX.Index,-0.246379228508274,-0.136845252733753,0.0692353984620585,0,0,0,0.388945949762476,-0.416344307572071,-0.181621814510324,0.199755902714706,0.20893054589909,0,0.00071027443568715,0,0.011200468012044,0,0,0,0,0
