,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,TAGZ5,LEO,XMR,XLM,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.574387422464654,0,0.0356813270495383,0,0,0.00280693621323703,0.0743712092935147,-0.0658424617242586,0,0.127320209076828,-0.148799183566667,0.164122286083811,0.0902536266874965,0.0760662728823289,0,0,-0.00945804173692207
ETH,0,0,0,0.100054147562353,0.0308922001823198,0,0.0914967059433883,0.212646473213778,0.000946297006707371,0.322179242451565,0.048314610618797,0,0.191234586439251,0,0,0,-0.00925758013344216,0,0,0
XRP,0,0,0,0,0,0.410744401254983,0.395711212881525,0,-0.00395477448779864,0,0,0,0,0.0315865345255444,0,0,-0.0378092785786105,0,0,0.0713136966126081
BCH,0.212818954726076,2.77555756156289e-17,-1.38777878078145e-17,0,0.293591764965141,0.0577077735850078,0.478997922340702,0,0.00235425794229633,-6.93889390390723e-18,0,0,0,0.184023857717004,-0.0792759116515984,0,-0.0104477144090127,0,-0.0496362771972176,0.0150911759512616
BSV,0,0.809499612470641,0,0.242232303703812,0,0,0,0,-0.00990815557849064,-0.376801104963631,0.0620845438587831,0.438179857762925,0.116090288055845,0,0.211578158801814,-0.0277363852751249,-0.0221594442596697,0,-0.282467795074361,-0.101829896613426
LTC,0.0916105707741606,0,0,0.162893653768147,0,0,0.366510244193597,0,0,0.302925727069913,0,0,0.0105621109591622,0,-0.0465210808642728,-0.0704508626981288,0,0,0,0.00373600506730576
EOS,0,0.0503454701847954,0.543499556616567,0.290857751755626,0,-2.16840434497101e-19,0,0,0,0,-0.00776058800923076,0,0.207380963574193,0,-0.0271811986672082,-0.0433448313363915,0.016262134337624,0,0.0125586744557148,-0.020710465479165
BNB,0,0.0214581984605366,0,0.337567266151532,0.233955001065639,0,0.184496477470068,0,0.00377725453895873,0.00711339564573167,0,0.257277148030124,0.219680196158205,0,-0.00605833967646564,0,0,0,0.0288469835304484,0.0427461514451282
INNBCL,3.96931327070317,0,0,0,0,0,0,0,0,0,7.66312488149966,0,-10.1503963974656,0,0,10.1168791062002,0,0,0,0
XTZ,0.27222769828368,0.492263261645842,0,0,1.38777878078145e-17,0,0,0,0,0,0.0179042071737835,0.463312065313218,0,0,0.291417449450531,-0.0234815328310811,0.0233077443693667,0,0,-0.0359538435696727
TAGZ5,-2.39050957044674,0,0,1.22373907842393,0,0,0,0,0,0.150357402963616,0,-2.76579535502481,-1.07052600292441,0.905670572359961,2.01580621202782,0,0,0,0,-0.0941318007404341
LEO,0,0,0,-0.114559417261029,0,-0.261807271892751,0,0,0,0.32151731151288,-0.0782331308786679,0,0,0,0,-0.0180703493923791,-0.0585107751636639,0,0,0.023743233453553
XMR,0,0.290682574347132,0,-0.00309333870958001,0,0.530870037542002,0,1.38777878078145e-17,0,0.138027963916669,-0.0387924576579069,0,0,0,0,0,-0.028711278520216,0,0.194077084175765,-0.0605949834909803
XLM,0.386549457848243,0,0.39074019936562,0,0.169274387220145,0,-0.214319246102281,0,0.000665784213355331,0.155688712889474,0.0839243234993576,-0.119219665380007,0.0934671315755991,0,-0.13189025716389,0,-0.0444838637049802,0,-0.0842604737529914,0.0601201397379535
LINK,0.835268639683789,-0.324314150842844,0,-0.236747283645268,0.182253942711951,0,0,0,0,0.527044043608139,0.0409970335194596,0.158278153882859,0.153504157096041,0,0,-0.172428845976917,-0.0308527916586572,0,0.156175407758247,0.0726956363046496
BV010082.Index,1.58084319230709,0,0,1.38777878078145e-17,0,0,-1.4882870649497,0,-0.0151948047802462,-0.261935886988325,0.32120728792529,0,0,0,0,0,-0.134658927061248,0,-0.118461768626704,0.00063110124100071
CVIX.Index,0,0,0,0,0,0,0,0,-0.0342024961556978,0.141985762681535,-0.374669806700996,0,0,0,0,0.55746061346159,0,0,-0.689031336939463,0.586190013338144
DXY.Curncy,-0.292139286663223,-0.0935697297579305,-0.204830871750444,0.0684400903961537,0.196052271039618,0.131420378089886,0.00386009323385859,0.0653587394253864,0.0021883129420116,0.17458308268598,0.00111239752744182,0,-0.124085459989009,-0.0457308956789884,0,0.113023985541007,4.33680868994202e-19,0,0,-0.0181350715254063
SPX.Index,0,0,0,0,-0.00613523500163226,0,0,0,0.0136351488034186,0,-0.0291428435727765,0,0,0,0,0.272856023291198,0.117463998211382,0,0,-0.326392219796606
VIX.Index,0,0,0,0,-0.854031330919007,0,-2.3332186525113,2.44284132392322,0.0215337780702326,-0.191400625163922,0.0925001900070051,0,-0.47979302214488,1.46984206386896,0,0.111862694452263,0.197658087309754,-1.51473220693084,-1.56229327506234,0
