,BTC,ETH,BCH,XRP,DASH,LTC,BTG,MIOTA,ADA,XMR,ETC,NEO,XEM,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.075118441317335,0,-0.0942227709203506,0.294014119207158,0.0228153309336322,0.200412140273228,-0.078649034030289,0,0,0.0406537885222117,0,0,-1.38777878078145e-17,0,0,0,0,0.0111299782347913
ETH,0,0,0.0843062113487046,0.0736814040049697,0.0959820370594994,0,-0.0176354932804728,-0.0247538478988696,-0.262738240074024,0,0.884008659328038,-0.143702777276632,0,-0.0184075658687749,-0.205715810776258,0,0,0,0,0.275800946101467
BCH,0.618552637206427,0.551248871181728,0,0.175855256494616,0.363824079167228,-2.26461832320128,0.0801504387363589,-0.115612998349741,0,0,-0.0587470064863437,0.553483658772523,1.44169900799855,0,0,0,0,-3.56466288125371,0,-0.41323738280616
XRP,0,0.33194811301707,0.209667199438274,0,-0.201918417879954,6.93889390390723e-18,-0.0499674598175535,0.114131360066152,0.165477871460194,0.442631322241654,0,-0.0179856917680151,0.208143660010806,-0.0875722091485785,-0.262412149105872,0,1.2821952466261,0,0,0
DASH,-1.48999905102589,2.07809866692794,-0.132900386099914,-0.928715330111443,0,0.330524415040074,-0.0671487440796635,0.645331475745735,0.353065647262346,0.900070824108743,-1.32912695206796,0.261490040222468,-1.10970793612418,0,0,0,0,0,0,0.295697382697918
LTC,0.151146724869922,0.362335744087883,-0.116256996718005,0,0,0,-0.0192349355697033,0,-0.015632252216865,0.119752977868446,0.0462069935850973,0,0.375284910496455,-0.039237323728997,0,0,0,0,0,0
BTG,2.66723035826198,0,1.04233002827664,-2.42733469711264,0,1.88494719488539,0,0,0.395031641101005,0,2.251162186133,-0.0299354186473362,-3.44553905099875,-0.741482150209513,-1.00811815819895,0,0,0,0,0
MIOTA,0,0,-0.0993469646486506,0,0,0,-0.0956426750800319,0,0.361599472831691,0,0,0,0,0,0.177931343006517,0,0,0,0,0
ADA,0,0,0,0,0,0,0.0968660338516024,0.223191044892632,0,0,0.282089292600299,0,0,0,0.440507075323776,0,0,0,0,0
XMR,-0.0854106220893617,0,-0.0671268233020176,0.305256445123591,0.228741087252482,-0.284897527814636,0.0285723306777347,0,-0.0351003275575185,0,0,0.209569662213399,0.581952913004312,-0.209806783475184,0.351851603984257,0,0,0,0,-0.151978112019354
ETC,-0.493195758052328,0.409371504023522,0.00660510405648679,-0.0162200707668204,-0.296073670040292,0.475431780659196,0.0698930266846103,0.156445400584307,0.236061050454537,0,0,0.114979091742656,0,0,0.156384437043961,0,0,0,0,-0.332823939204156
NEO,0.718708456737602,0,0.217462466088783,0,0.0932841793112741,0.741182013350835,-0.0894627236716482,-0.263948136084118,0.0968735722426799,0.302563033933459,0,0,-0.489710325477007,0.256847306496062,0,0,0,0,0,0
XEM,0,0,0.0329417183434955,0,0.0550293138776729,0.412645172379275,-0.00711963223558752,0.0605008047178309,0.0315042015588135,0,0.171433928496686,0,0,0,0,0,0,0,0,0.0296443437718813
EOS,0,0,0.0555908104585314,-0.413639748271249,0.0247291838227779,0,0,0,-0.0792778633287971,-0.312373921527523,0,0.306350757297143,0.194360163241684,0,0.456432215633707,0,0,0,0,0.260872997510605
XLM,0.230885311202981,0,0.0651158022047494,0,0,0.342249533131762,0,0.139438672366056,0.345232361016348,-8.67361737988404e-19,0.0109455644948867,0.0193243740875495,0,0.425746200921106,0,0,0,0,0,0
BV010082.Index,0,-0.0414360097088636,-0.0593642006488852,0,0.00503175337227366,0,0.0101509649476338,0,-0.0156117255041638,0.0278160585341438,0,0.0709512166966201,0,-0.0317942884223542,0,0,0,0,0,-0.0763659280263873
CVIX.Index,0,-0.0322582904214562,0.0117219935064705,0.0571507243508845,0,0,-0.0140894550757213,0.041799171570567,-0.0520879921747189,-0.0155517052901747,-0.0123375593779261,-0.0384379459409787,0,0.0175113337661286,0.0610612448447776,0,0,0,0,0.139221766484502
DXY.Curncy,0,0.0160718572472314,-0.0334914105527821,0,0,-0.0513243290732873,-0.000376560167953441,-0.0235631869681378,0.0135515152458492,0,0.00580896215378046,0.0105909452438749,0,0,0,0,0,0,0,-0.0229005374157122
SPX.Index,0,0,0.00954636427065464,-0.0425421137640423,0,0,-0.00698955657993781,-0.00632894848467159,-0.0120962790777778,0,0.00396499461304472,-0.0148146434422878,0,-0.0252824521321643,0.0549950496527694,0,0,0,0,-0.00259397270163746
VIX.Index,0,0,0,0,0,0.197689737815763,-0.045748695603022,0.113629654141034,0.0403066736540417,-0.414654821396964,0,-0.118942880350579,0,0.0656086585437948,0,0,0,0,0,0
