,BTC,XRP,ETH,XEM,LTC,ETC,DASH,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0341326764077657,0.24031248642634,0.240521059758218,0,-0.0843975477462048,0.843959036971243,-0.143547379006504,-0.315446942009511,0.364014328203936,-0.775667121221412,0.0884651226921515,0.0283444745961233,0,0,0,0,-0.416277538836988
XRP,0,0,-0.93256080572795,0.0475363719537795,-0.315671190382369,0,0.201668419260622,0.0562164183658758,0,0,0.454989309952933,0.19549040179565,0.44394194275066,0,0,0,0,0
ETH,0,-0.0820365361373427,0,0.086447189720075,0,0,0,-0.0424644285728902,0,0,0,0.0187814279688628,0.0745109783558486,0,0,0,0,0
XEM,0,0,0,0,0,0,-0.0338849642822972,-0.053245234608281,0.338470249119881,0.213513176381362,0,-0.0261904493337621,0,0,0,0,0,0
LTC,0.302903389459766,-0.126496853353634,0,0.0561859228515081,0,0,0.163848254823236,0,0.423855586197632,0.392747253290626,-0.413440856797981,0,0,0,0,0,0,0
ETC,0,0,0.750548264862876,0.191449779436402,0.218116957196161,0,0.0109413961727442,0.0406309399561459,0,-0.20348270095312,0,0.0721986332603674,0,0,0,0,0,0.105169480395471
DASH,0.0630778814889168,0.0671055712405248,0.219131822488667,0,0.135465961656878,0.026355067237453,0,0.0295961582232727,0.482437558831892,-0.0555700176013675,0.308755527759532,0,-0.157702766115931,0,0,0,0,0.0702313188391845
XLM,-0.963688587622448,0.503074804233938,0,-0.218746937858322,-0.352500842226971,-0.0473362552868104,0.286151008087268,0,1.90320074025557,0,0,0.0976664368056495,0,0,0,0,0,0
XMR,0,-0.126963832841407,0.0528252941582831,0.0818348899630948,0.00236973033637889,0,0.332708310598472,0.0506588157057142,0,0.0391031424817263,-0.250557709652953,0,0.146529011875525,0,0.460448464394672,0,0,0
DOGE,0,0,0,0.372752432021703,0.081332844425043,0,0,0.163735393048925,0,0,0,0.0536772862588835,0.206966180064597,0,0,0,0,0
ZEC,0,0,0,0.0351349928778514,-0.0238733622277116,0.0366724221349305,0.715424138606579,-0.0375419921025348,-0.51052225215871,0.249910290392106,0,0.0245941570077427,0.0857339433805357,0.449694642369819,0,0,0,0.0320206076896594
DGB,0,0.068886985773457,0,-0.29291344235556,-0.483311065091766,0,-0.148775105690357,-0.0553775341635082,0,0.686841563055255,0,0,0.116851710373947,0,0,0,0,0
NEO,-0.799669589143806,0.0705556433540056,0.347749668570319,-0.107296853971624,0.32403909664241,0,0.207865054085303,-0.0898530592156715,0.23894821561176,0,0.901013667521019,0.0684270703849355,0,0,0,0,0,0
BV010082.Index,0,0.0755410273345449,0,-0.0664347685871712,0,0.0770232629215584,-0.108234113388413,0.0292761933372913,0,0,0.136719854875204,-0.0140812292066931,0.0165104735111582,0,0.319605370628461,0,0,-0.0161066448420747
CVIX.Index,0,0,-0.0230625157059526,0.0378935022834506,-0.125583219693636,0.105411987429709,0.00184698794613818,-0.0125790227306782,0.168064039020804,0.0341954399811009,0,0.0348929748680437,-0.0374782201418664,0,0,0,0,0.141019435640538
DXY.Curncy,-0.0206226213067442,0.000216085942139373,0.0133842687293404,-0.000498424032489794,0,0.0172087093143855,-0.00138658559538443,0.00375336924656393,0,-0.00815979097840194,0,-0.00157521788420332,-0.0101054906202665,0.0890479900298216,-0.0656900356827778,0,0,0.00790978799081177
SPX.Index,0,0,0.00809829115111827,-0.00547881782785236,-0.00391345080393484,0.00200266092712557,-0.00562528996231269,0.00390767301689019,-0.000534372049746779,0.00411060483785221,0,0.00354027238360115,-0.00737204690353726,0.040977425722398,0,0,0,-0.0331401571381648
VIX.Index,0,0.130896899338309,-0.175906485182068,0,0,0.301606335687625,0,-0.020213730428245,0,0.0733196788571519,-0.0642160036680085,0,0,0,0,0,0,0
