,BTC,ETH,BCH,XRP,BTG,DASH,LTC,XMR,NEO,MIOTA,ETC,XEM,EOS,ADA,ZEC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.658297748552186,-0.270479982798258,0,0.0555452844081399,0.0242164373159781,0.27019934396963,-0.318121743671816,0.216091627882127,0.495214635733682,-0.197576178052083,-0.497544838031799,0,-0.0691664601137886,-0.453043664723542,-1.00744861902473,0,0,0,-0.222531012169533
ETH,0,0,0,0,0,-0.0906177798617317,-0.175334042185748,0.0464967797939651,-0.027945145229581,-0.156304480283462,0.170198206834094,0.258125610319199,0.0973948911259204,0,0.479814740237638,0,0,0,0,0
BCH,-1.36454656373532,0,0,-1.67775097234722,0.171285522840365,0.624065742801493,0,-0.98945780613458,0.838598066229902,0.845575282967993,0.609254393208295,-0.369193084578981,0.0525323574529332,0,-1.17487526708996,-4.95864826729039,0,0,0,-0.336223168196047
XRP,0,0,-0.0112234704247703,0,-0.00566450822286023,-0.0960549615327646,0.30586006960682,0.036122960522418,0.0587078836407038,0.0634336485291969,0,0,0.0338182399511169,-0.045136574671192,0,0,0,0,0,0
BTG,0,0,1.39444428588563,0,0,-0.20171900179749,1.13893620370637,-0.463069178270658,0,0.683747968589715,0.0718303084173798,0,-0.692604467166513,0.775653070708941,0,0,0,0,0,0
DASH,-0.798682226533968,0,-0.00971146166719145,0,0.043577085050213,0,0,0.306395383143735,-0.025492641405516,0,-0.461196186934701,-0.525693902629673,0.202702489312473,0,1.0335987995653,0,0,0,0,0
LTC,0.146479748227437,0,-0.106301184521847,0,0.00455655395736752,-0.0210688845304104,0,-1.73472347597681e-18,0,0,0.127508305166296,0.341766942309507,0,-0.123810715716493,0.0907922784433564,0,0,0,0,0.146037785374911
XMR,0,0,-0.101046422662768,0,0.0107490379875684,0.194565472077057,-0.109278618741711,0,0.211737971941029,0.0102895529680281,0,0.481585239967805,-0.0360697280887327,0,0,0,0,0,0,-0.152955666673448
NEO,0,-0.236165225503286,0.411484858515126,0,-0.147101523102381,-0.346824584832608,0.643518925944109,0.897944510921745,0,0,-0.422956564565875,0,0.337700422437355,0,0,0,0,0,0,0.371068125534613
MIOTA,0.33407940480255,-1.53967281314001,0.0419568686703485,0.539253682744618,0.0571872425569876,0,-0.722253202367808,0.131607232964526,-0.0947394194346304,0,0.471835145825554,0.967621430573136,0.164712106256296,0.0260051345393612,1.01173413561455,0,0,0,0,0.419438520694845
ETC,0,0,0.0955616410431621,0,0.11040399740164,-0.40501356444746,0.174327425121727,0.275662717608628,0,0,0,0,0.193464344508484,8.67361737988404e-19,0.105563377526785,0,0.138367342860363,0,0,0
XEM,-0.122725668841529,0.710559529682902,-0.0734690230780518,0,-0.0257283903290839,0.115527529349707,0.283087158832177,0,0.163001728733723,0.250532547107829,0,0,-0.117785571642972,0.176749725301769,-0.43757919189641,0,0.311072653995717,0,0,-0.107361584954408
EOS,0.991287915279233,0.193142629163944,0.176862652189202,0,0,0.266091994722018,0,-0.456976721616312,0.383884485032039,-0.176942119401075,-0.165301591900791,0,0,0.600230201564684,0,0,0,0,0,0
ADA,0,0,-0.0883787249512771,0,0.0232668709456664,-0.140341624003887,0.138400059646336,0.117671452077442,-0.0577592521212353,0.048127391362737,0,0.683566347987649,0.0689327594786777,0,0,0,0,0,0,0
ZEC,0,0.719340561760397,-0.118768176010913,0,-0.0308025374486202,0.308005983178041,0.163598295790697,-0.0681424824005434,0.00108244974698065,0.237600787848526,0.164054228125602,-0.393201143976115,-0.0934485892504793,0,0,0,-0.679288258988252,0,0,0
BV010082.Index,0,-0.120207346837106,-0.0457640155893958,0,0.0100849118883486,0.0174645723207055,-0.0242026254228617,0,0.0604969740310274,0.00623186144362455,0.0545232436791045,0,0.0369451586836697,-0.0346468809862495,0.0439755570999778,0,0,0,0,-0.0167762040659721
CVIX.Index,0,0,0,0,-0.0105241742788326,-0.0131184146780876,-0.151912680442403,0.0124816227041584,-0.0874868456446615,0.0349641601303494,0.0186481248271309,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.0271094767971985,-0.0313010619592331,-0.0273575010236094,0,0.00921031041610456,0.00267488903134546,-0.0569397969472544,0.0234944159286025,0.0155939907538741,-0.0171129353960831,0,0,0.020576328363583,0.00512707576333317,0,0,0,0,0,0.0242270548781218
SPX.Index,0.0308946746304523,-0.0754477123684328,0.0227849691602369,0,0,-0.0242886855876219,0,0.0250958321631215,0,-0.039239478277508,-8.67361737988404e-19,0.0248803209815799,-0.00184587869155938,0.00982090216452513,0.090220439261605,0,0,0,0,-0.00546770069279111
VIX.Index,0,0,0,0,0,0,0.217285708774203,-0.399275777672051,-0.103447863937287,0.12653296954797,0.0864419153306443,0,0,0.115214232302498,0,0,0,0,0,0
