,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,TRX,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.120464276315596,0.256768378074523,-0.109801180621791,0.149870847496251,-0.0548597374538573,0,0,0.0862587739097854,0,0.177219006767215,0.307895826914639,0.041755112532203,0,0,0,0,0,0.0254992949805996
ETH,0,0,0,0.0386312237442772,0.196275196748852,0.113785860153069,0.0472634897105453,-0.299786921618713,0,0,0.0788695729773706,0.166552857096146,0.368540428918586,0.118517773469321,0,0,0,0,0,0
XRP,0,0.397498740203976,0,0,-0.404059139770173,0,-0.0308358309520215,0,0.801733894638773,0,-0.19764397982105,0,0,-0.0790277640782229,0.148403367899191,0,-0.504453882910413,0,0,-0.059908221911837
BCH,0,0,-0.193080488965499,0,0.977711062227551,0.217777725915688,-0.371696564778185,0,0,0.296833684952775,0.299803010590719,0,-0.365430208381613,0.0939843018571332,-0.045577942281681,0.505168963221135,0,0,0,-0.0944643201576011
LTC,0,0.0448476855353263,0,0.252835437355761,0,0.0630387358375635,0.0158228866451001,0,0,0,-0.309486852775836,0.116125294368722,0.455793438421673,-0.0172202335816623,0.182310605143205,0,0,0,0,0.155413017935283
EOS,0,0,-1.38777878078145e-17,0.369770480219272,-0.386505712084195,0,1.08811882064074,0,0,0,-0.153687942093633,-0.376158577390198,-0.0798611241041084,-0.440639780166778,0.762626519277509,-0.02620691885128,-1.34424790155155,0,0,-0.154040732910092
ADA,0,0.781514684798294,-0.298204185610188,-0.205144291167393,0,0.587475740676462,0,0.849199583195617,0,0.396044976495179,0.253899207484988,-0.220496890371418,0,0.161408798130445,-0.603899088876954,0,0,0,0,-0.24696011099513
XLM,0,0,0.180866172592338,0,0,0,0.0187192950838275,0,0.57356719243728,0,0,0,0,0.141017799333022,0.0760678094338423,0,0,0,0,0.0384141041190665
NEO,0,0,0,0,0.263108823719046,0,0.0757644645282345,0.361098871122948,0,0.172699867594847,-0.0188082466540736,0.18397550111129,0,0.0458991031344685,0.0944750775812989,0,0,0,0,-0.072555182011181
MIOTA,0,0,0,0,0,0,0,0.591701149589736,0,0,0.0818803705791352,0.212030797604194,0,0.0457098159440882,0,0,0,0,0,0
TRX,-5.55111512312578e-17,0,-0.156661925332256,0.751049243498457,-2.24252548235616,-0.102006015951342,0.438296643943703,0,0,0,0,0.065515722908813,1.23520910398793,-0.233567168637966,0.666575380402829,0,-0.288975301981903,0,0,0.472404130695182
XMR,0.816067373420918,0.63099517833399,0,0,0,-0.217864434264362,0.0592711032310966,0,0.987826674161494,-0.0602093185143542,0,0,-0.39184093749594,-0.234350595313248,-0.316913400972199,0,-0.211825061729509,0,0,0.00263274698828438
DASH,1.05229198351702,0.135294117322047,1.38777878078145e-17,0,0.351873185828522,-0.0466983629785985,0.104345859916222,0.0501930517002263,0,-0.0868699132259179,0.053014751221606,-0.0586269221376353,0,0,-0.241091880224448,0.0730735500407034,0.272060883645997,0,0,-0.0295065274913151
XEM,0,0.164012949957573,-0.677753572047045,-0.234557072182683,0,-0.35076475136404,0.357333317525605,0.581309574335537,0,0,0.212855034376833,-0.184317590065945,-6.93889390390723e-18,0,0.831056573863074,0,-3.18329065060587,0,0,0.0123445971380913
ETC,0,0,0,0,0,0.209742010693019,0,0.150160735934358,0.321935111273515,0.210277929587755,0,0,0,0.0336174858861247,0,0,0,0,0,-0.00723930333652187
BV010082.Index,0,0,0,0,0,-0.0746497486363223,0.167685231807543,0.0374491107063288,0,0,-0.137407442512456,-0.138165620865388,0.212381306423984,-0.105874473117278,0,0,0,0,0,0
CVIX.Index,0,0,0,-0.103283091857642,0,-0.099753530589092,0.0973182477403998,0,0,0,0.0654441648502768,0,0,-0.272161976591764,0.241995177224528,0,0,0,0,0.0199041607350854
DXY.Curncy,0,0,0.0325869907874954,0,0,0,0,0,0,0,-0.0314224160637792,-0.0191150792746624,0.051620815405237,-0.0101883804702292,0,0.0350953094285982,0,0,0,0.00387686762373667
SPX.Index,0,0,0,0.0195001634399691,0.0296187930129799,-1.73472347597681e-18,0,0,0,0,-0.047819395129457,0,0,0.0051135458621896,0,0,0,0,0,-0.0872121315643435
VIX.Index,0.342973598421215,0,-0.172868229308152,0,-0.181826324786033,0.0211530454785494,0,0,0,0.265052965005814,0,0,0,0.139227517005342,0.0411642564654431,0,0,0,-4.45780088481949,0
