,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,XMR,EOS,DASH,MIOTA,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.392672260043016,0,0.0380488061130131,0,0,0.00720859920407405,0.191679906928174,0,0.156647485016704,0,0,0,0,0,0,0,0.0500273896925683
ETH,0,0,0.0950531429044367,0.209225254145315,0,0.0644996651201512,0.163984247420015,0,0.0129338410136177,0,0,0.186625002610861,0,5.42101086242752e-20,0.0124489783391206,0,0,0,0,0.0528747565329727
XRP,0,0,0,0.0827513765151129,0.372117963966944,0.14135561709682,0,0.349640614452641,-0.109868351261,0,-0.0100047253373824,-0.21401010849513,-0.110710769030449,0.225136178978624,0.105469026017559,0,0,0,0,0
BCH,0.0898780550844073,0.497603671839278,0.209521704467649,0,0.0364522020931215,0,0,0,-0.150939436041066,0,0.372614828869507,0.00666603098598194,0,0.247874055394369,-0.0796113184797629,0,0,0,0,0
LTC,0.776908126919758,0,0.224373475314854,0.555285722989338,0,-0.323197326379326,0,-0.585297242135046,0.292963547144055,-0.0819897020612858,0,-6.93889390390723e-18,0.00923553463637881,-0.360180212038547,0.180900265309225,0,0,0,0,-0.111755265003662
NEO,0.218655360240501,0.192186741468385,-0.186486362191207,0.221810199174406,0,0,-0.168445823677389,0.300541594941524,0,0,0,0,-0.261562406667965,0.159902703119042,0.193540632025532,0,-1.04770921739991,0,0,-0.0927803443038176
ADA,0,0.537116237139766,0,0,0,-0.376262819360397,0,-0.210454717048651,0,0.138242878984803,1.22732660760559,0,-0.263505523156304,-0.122563462612548,-1.73472347597681e-18,0,-1.50086073636124,0,0,0
XLM,-0.195564589839922,0,0.432831537590531,0.423576882954017,-0.395600116210162,0.104735253512857,0,0,0.503795068182097,-0.1081016271939,0,0.0874153299017789,0.423894736016312,-0.405802080934597,0,0,0,0,0,-0.102767818947074
XMR,0.374705511380359,-0.754481523008482,0.136229014325871,0,0.6815675160081,0,0,0.782330061044995,0,0,0,0,-0.563962938890541,0.593027897592307,-0.238980617991429,0,0,0,0,0.221243814001968
EOS,0.524819816645777,0,0,0,0,0,0,0.0175268172053931,0,0,-5.55111512312578e-17,0.321760538185833,0.226912809711711,0,0.0704077080026711,0,0,0,0,-0.137678806863934
DASH,0.260272063988539,0,0,0.205298409657033,0,0,0.165970951125679,0,0.10971234845669,0,0,0,0.27079155596817,0.0527956161054551,-0.0621957847107345,0,0.543805687005713,0,0,-0.0789219448152507
MIOTA,0,0,0,-0.0914383780297494,-0.131641317220463,-8.67361737988404e-19,-0.0528331304195762,0.104969592283128,0,0.751224504449958,0,0,-0.165646356247532,0.522564994768877,0,-0.687285704059001,0,0,0,-0.205463311910508
XEM,0,0,-0.380733345026077,0,0,0,0.280446778443519,0.326374677777202,-0.259184674640828,0.308336475368748,0,0,0,0.339847052811466,0.0856475444079669,0,0,0,0,0.120861463219609
TRX,-0.195911790795397,0.545552628943381,-0.144504483922667,0.782392160036357,-0.244010774626802,0.0534622315873816,0,-0.405085834424994,0.358764063559706,0,-0.270387552088649,0.111261580901839,0.294072052332985,0,0.161629503720626,0,0,0,0,0.0694590047587943
ETC,0,0,0.780738297628207,0,0,0.183496868277766,0,0,-0.198443379441823,0.00369370496999302,0,0,0.0955992417538233,0.179495738771215,0,0,0,0,0,-0.140390807773128
BV010082.Index,0,0,0,0,0,0,0,0,0.0799296053101761,0.0427854936919713,0.0262079826069051,0,0.104446479350787,-0.174250150976333,0,0,0,0,0,-0.0300973153878572
CVIX.Index,0,0,0.0245764527080749,0.0923909211746716,0.0374877248536312,-0.120404893138497,0,0,-0.103278393475018,-0.112345859419098,0.287605642062298,0,-0.0730792153037201,-0.055610696894449,-0.0370312634034858,0,0,0,0,0.0410103628148783
DXY.Curncy,-0.0207834894228332,0,0,0,-0.0200806966620829,0.0082449697598063,0.0299515677227818,-0.0270090675482018,-0.0130924790250757,0.0297952606143883,0.0285537471043821,0,0,-0.0213968873369429,0,0,0,0,0,0.0214866712835569
SPX.Index,-0.015250146383622,-0.121413937342034,0.0275755062174597,0,0,0.0443747683582548,0,-0.0949902660880108,0.0837805496502347,0,0,0.0618552989271206,0.0694843467843341,-0.0489837846586765,-0.0179173064758885,0,-0.0508636426052995,0,0,-0.128671836628003
VIX.Index,0.342521729017772,-0.0687944936821401,0,0,-0.541192459310183,0,0,-0.769605077149986,0.538061872146803,0,0,-0.226225947700756,0.300273996500992,0.228227600295784,0.115096007699881,0,-0.404454082441891,0,-4.8669280894151,0
