,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,XLM,ADA,ZEC,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.174823822333831,-0.199933748031419,-0.0625069669553714,0.233454174953252,-0.043607230344767,0,0,0.278450860984208,-0.115106194493638,0.563884712828642,0.00322550539991092,0.156373932601506,0,0,0,0,0,0,0
ETH,0,0,0.0860773202667835,-0.148875395603117,0.162398097762636,0,0,0.166866046454123,0.177560731851366,0,0,-0.00501040281038451,0,0.0132268119507771,0.0282284186642265,0,0,0,0,0
XRP,-1.23138661148306,0.312929794152702,0,-0.349524606224514,0.447143625542098,0,0,0.29864520929178,0.621018749416758,-0.253544234661106,0,-0.0417056402369877,0.0464177203992958,0.174440178018109,0.132952746799878,0,0,0,0,0.437100760593281
BCH,-0.0925404649653533,0,-0.151726977823602,0,0,0,-0.458535385529267,0.0244044357633653,0,0.193989650878744,1.02315380286368,0.0739879344862977,-0.0122253375914374,0,0,0,1.66730178043055,0,0,0.133455333153788
LTC,0.17255612249539,0,0.181742776258272,-0.263740916781965,0,0,0,0.099471042197371,0.0388344479119375,-0.102894984652274,0.649637503241401,0.00916922756922961,-0.0260954690775484,0,0,0,0,0,0,0
DASH,-0.0712093740865012,0.475085665425575,0.0377881095889698,0.230942258023004,0.0461144836121117,0,-0.115658861697196,-0.0449430409803056,0.0456404604716314,0.111736593761769,0,0.0138066894050821,0.0611061583024907,0,0,0,0,0,0,0
XEM,0,0.297113207974401,-0.43744947109026,-0.492115521612257,-0.233948235413275,0.870674312606746,0,-0.0584699551602544,-0.649705097612357,0.387071954668706,1.77815000133868,0.0994526986235248,-0.107327344637245,-0.200341237655282,0,-3.58234727103146,1.83444847199374,0,0,0.571132068272789
NEO,-0.510470788712649,0.160081407359072,0,0.644165970732194,0,0,0.228032826266271,0,-0.118575567734106,0,0.327575354084911,0.0808541820214016,0.19013009992055,0,-0.0990026466221864,0,0,0,0,0
XMR,0.512461618272644,0.313533703813286,0.0863721944826194,0,-0.0304950305985117,0.251835231640966,0,0,0,0.180862930291677,0,0,0.0147937281220253,0.161534341506025,-0.103025163696044,0,0,0,0,0
MIOTA,-0.140481642619208,-0.205573903894236,-0.112142278281556,0,-0.583697492725537,-0.357110198754493,0.143604377525707,0.259799797588927,1.33711201934808,0,0,0.0223024618353082,0.12928835362339,-0.505678028201881,0.674525912449475,0,-1.6415250142014,0,0,0.799495652093496
ETC,0.234726377070374,0.152281942451151,0,0.170879804580515,0.106839042258198,0,0,0.0756856774838095,0.0157592327576843,0,0,0.0165045424072893,0,0.00135950424955171,0.130480314007274,0,-0.401790598648847,0,0,0
XLM,0,0,-0.0516663761197675,0,0,0,0.283016689136292,0.306081837708944,0,0.251053029696021,0,0,0,0,0,0,0,0,0,0
ADA,2.975193632097,0,0,0,0,0.525891165264079,0.363445523230259,0,-1.3682525511133,0.735581087745516,-1.43005225718357,-0.0130520810184243,0,0.251224938388117,0.00998625704717973,0,0,0,0,0.213627541474621
ZEC,-0.0204018361550961,0.388325285620924,-0.161920766567667,0.230853386271508,-0.139226309551485,0,0.122485006137768,-0.194064923225579,0.433154646010335,0,0,0.0186387797717714,0,0,0.24294716484901,0,0,0,0,0.135367184070435
EOS,0,0,0,0,0.398061425270949,0,0,0,0,0,0,0.0654543273012554,0,0.643626705303738,0,0,0,0,0,0.403215289848722
BV010082.Index,0,0,-0.00423205692579417,0,-0.027184539289172,0,-0.01938494291709,0.0120814571257333,-0.10035484637804,-0.00294549562736302,0.099058265706614,0.00602816589049364,0.0327568802811105,0,0.0375019022760268,0,0,0,0,0.0509327682840403
CVIX.Index,0,0,0.0586447871909847,0.117039856669255,0.0201742865750577,-0.34088614184894,0,-0.0291224660384963,-1.73472347597681e-18,-0.0419945840710022,-0.0557871794835632,0.0206718707994199,0.0496778613578526,0,-0.00417677089139235,0,0,0,0,0
DXY.Curncy,0,0.0677947466724322,-0.0121920552455627,0.0187390520513742,-0.0196121135755755,-0.0385997217750891,-0.0092405078963549,-0.0164475544080095,0,-0.0090380229820147,0,0.00215433887351995,-0.0105648385320069,0.000169909702189249,0.0120119792378561,0,-0.139919815536332,0,0,0.0241036724696435
SPX.Index,0.00190380944136914,-0.00805982701271965,0,0,0,0,0,0,0,0,0,0,-0.00222579595532637,0,0,0,0,0,0,-0.0236276763855081
VIX.Index,0,0,0.1504912571391,0,0,0,-0.138257784509123,0,0,0.0381605777490092,0,0.0219602630351789,0.118218026396623,0,0,0,0,0,0,0
