,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,XEM,TRX,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.138980974014576,-0.0444088199225784,0.458668096532376,0,0.0819231676256221,0,0.128128361370143,0,-0.0735294578740564,0,0.222749916990929,0,-0.0318789596075,0.079914770661576,0,0,0,0,0.0292087829549441
ETH,0,0,0,0.270730348727648,0.38800478987607,0.0585745527220457,0.0523451683201402,0,0,-0.0387165199565603,0,0,0.0835886446959004,-0.108478399968774,0.142708499356807,0,0,0,0,0.0208737036684103
XRP,0,0,0,-0.00304689967914069,0,0.23854325084655,-0.444784663412682,0.279286075761367,0.714536209464497,0,0,0,0.0358270138302327,-0.118146954384353,0.192685276033842,0,0,0,0,-0.160591763620706
BCH,0.700269388515092,0.718798270835393,0.0617936832743892,0,0,0,-0.203510226455437,0,0,0.0422911184573259,-0.168938169651509,0,0.121304027125234,0.0331805774468156,0,0,0,0,0,0.0116631077320874
LTC,0,0.853705180498614,0,0.144705616170514,0,0.0209103281123921,-0.0891236590282631,0,0,0.200964352077106,-0.184558023358239,0.463515411722854,0,-0.0627627834265032,-0.118320955248773,0.227382192874675,0,0,0.278244464093692,0.105401052851741
EOS,0,0,0.134952100226401,0,0.117904911234413,0,0.490514155003882,-0.321095213790505,0.377428343015875,0,0,0,0,-0.0115491747814761,0,0,0,0,0,-0.243148445199552
ADA,0,0,0,0,0,0.607159236923457,0,0.0704171241840349,0,0.0867659711087078,0,0.621258287224251,0.291929138059766,0,-0.385288044591525,0,0,0,0,-0.0107700567656592
XLM,0.525235803281327,0,0,-0.344025706539283,0,-0.193382800042295,0.17642184551473,0,0.518330690263335,0.217733572539459,0,-0.0594822985183826,0.106220430186379,0.161248347060241,0.187984978065305,0,0,0,1.5327584858153,0
NEO,0,0,0.101837823828293,0,0.138134940297113,0.0616292354250649,0.103529735909642,0,0,0.186399876430322,0.474594164665419,0,0.0791930995076807,0,-0.11904522689709,0,0,0,0,0.0900537154793852
MIOTA,0,0,-3.46944695195361e-18,0.87198296499358,-0.261865881004714,-0.00839742689431238,0,0,0.322978952155954,0,0,0,0.051927880156638,0.0535809720381112,0,0,0,0,0,0.0633709072225523
XMR,0.374047390999136,0.144590445563306,0,-0.190745365792747,0.105631419867823,-0.174474936817342,-6.93889390390723e-18,0.130354262597676,0.78313502809096,-0.0370207251260802,0,-0.51841354492448,0,0,0.135573996890084,0,0,0,0,0.095464349259462
DASH,0,0,0.230299281010624,0,0.146996808980097,0,0.10428118165365,0.0339396513910841,-6.93889390390723e-18,0,0,0,0.0183421202543579,0,0.0439675114775131,0,0,0,0,0.27412621575086
XEM,0,1.7322812672389,0,-0.746297833914317,-0.480546216156832,-0.183354215339708,0,0.561453486345682,0.573261390149494,-0.03938547628571,-0.379671775283415,0,0,0.215348550060432,-0.185689593478863,0,0,0,0,0.0122488752211527
TRX,0,-2.11833909438204,-0.86839294808223,1.84485347050587,0,0.974506926757203,-0.879346667674934,0,0,-6.93889390390723e-18,0,1.04552860997153,0.7268899894415,0,0,0,0,0,0,0.0756729846082954
BNB,0,0.704860779537548,0,0,0.0921731676340564,3.46944695195361e-18,-0.10384745405019,-0.157443063740918,0,0,0.159606613193708,0,0,0.179645169366113,0,0,0,0,0,0
BV010082.Index,-0.00994341610779385,0.143588803958116,-0.0469020571313679,-0.046044528550881,0,-0.039483956342858,0.0761346144573792,0,0,0.0347759070895077,-0.0632695691047631,0.19797748094364,-0.145247107625453,-0.00519824352722543,-0.0255156426100143,0,0.516645025544575,0,0,-0.0735655975262361
CVIX.Index,0.0108903944215714,-0.120018916264825,-0.147424223145748,0.0915237258961461,0,-0.0597829497718035,0.0905977478357588,0.0332628637040946,0.212715893291711,0,-0.159568415470669,-0.0384197203586318,-0.0226126190942221,-0.0147886845404981,0.0192808902760495,0.34649908722534,0,0,-0.472306237961185,0
DXY.Curncy,-0.0307068352287497,0.0587295004357614,0.00781680517217445,-0.0493118846274518,0,0.00989422440474845,0.00289251033009044,-0.0217970523593148,0,0.0221214718450427,0,0.0831046725256267,-0.0453475410136731,-0.0113056302969227,-0.0149868828218176,0,0,0,0,-0.00616068473740463
SPX.Index,0,0,-0.0964665463239877,0.0320827857805239,0.0454112469186221,0.0289336840295155,-0.0307014152025732,0.0917437968012415,0.0183149279235576,0,-0.086458333855775,0.0289254141971011,0.00398782533369465,-0.0232025090093364,-0.0319276340216869,0,0,0,0,-0.105619000566464
VIX.Index,0.638523140218941,-0.390634818990514,0,-3.46944695195361e-18,0,0,0,0.113221938167789,0,-0.169815402810952,0,0.0441417373431843,0.147629913487635,-0.0459703119447218,0,0,0,0,-4.94317837686711,0
