,BTC,ETH,XRP,BCH,LTC,EOS,ADA,NEO,XLM,MIOTA,DASH,XMR,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.123572630540702,0.104247379095483,0,0.131191737280979,-0.0168643914383459,0,0,0.233002156348552,0.306879762109225,0.178854942309276,-0.13012294042948,0.0774834342934484,0,0,0,0,0,0.0638902840765241
ETH,0,0,0.0391678961138397,0.173843016508451,0.750154021527836,0.0932042061943194,0,-0.362291659903478,0.111149863720071,-0.023150853857268,0,0.18435259787929,0,0.10310138047463,-0.0450764302188679,0,0,0,0,-0.0880622085845246
XRP,0,0,0,0.354269077117099,0,0.0362385522656306,0.111908719602996,0.604749618261163,-0.131803273417049,0.112437655703118,0,0.0201366053432027,-0.567472719985663,0.0504438950643297,0.219321460425734,-0.40596588372574,0,0,0,-0.0310509566759625
BCH,0,0,0.16363303788034,0,0.427406058156379,-0.0487265790057594,0,-0.186385934704028,0,0,-6.93889390390723e-18,0,0.471142229442696,-0.105725815119507,0.131945360165681,0,0,0,0,-0.0919602392840436
LTC,0.114870217440317,0,0,0.0727326942032623,0,0.132536483056133,-0.0788133931485107,0,0,-4.33680868994202e-19,0.377627410833203,0.152773781795091,0,0.0461788284366092,0,0,0,0,0,0.0572668196174609
EOS,1.01963670281657,0,0.222429714588566,0,0.110432900856757,0,0,0,-0.379823380135872,0.0372665709102184,0,0,0,0.157770208977155,0,0,0,0,0,-0.187020328817341
ADA,0,0.228581027433217,0.292256738260118,-0.407019045404954,0,0.534579505379303,0,-0.346327431796602,0.0803661445441462,0.0717913134386347,-0.414604204974166,0.653837920512155,0.628666546858114,0.456008071684282,-0.170406870178424,2.30755365585851,0.503085275833133,0,0,-0.137370340652369
NEO,0,0,0,0,0,0,0,0,0.379569301077058,0,0,0.117921257089127,0.242555417399693,0,0.0420692680745507,0,0,0,0,0
XLM,0,0,0.205436635756477,0,0,0,0,0.548684128014214,0,0,0,0,0,0.148565225594595,0.0663365124619271,0,0,0,0,0
MIOTA,0.447232903695101,0,0,0,0,0,0,0.450229934460298,0,0,0,0,0.156245235384561,0.0515559621943535,0,0,0,0,0,0.0699730874349754
DASH,0.661752020881551,0.566297404773014,0.271174105369816,0.208027289274396,0,-0.0483787928832707,0.00649547111159611,0,0,-0.181641648741943,0,-0.171430729323416,0.206703119966131,0,-0.268959457061083,0,0.46158712122878,0,0,0.0753831762461217
XMR,0.618281681359634,0.443183999667902,0,0,0.116926522785599,-0.293660773125017,0.194075075527783,0.831118598172748,1.73472347597681e-18,0,-0.1591383354351,0,-0.0792744833672402,-0.325644266798391,-0.155134956528668,0,-0.55213201404835,0,0,0.0264970677184663
TRX,-0.819974527855472,0,-0.33946319389181,0.628119106670753,0,0.177642438960466,0.0946729753161873,0.385315607543321,0,0.362727408793139,0.375265384647184,0,0,0.0577039036505931,6.93889390390723e-18,-0.210085420695276,0.357484043260413,0,0,0.250510963649267
XEM,0,0.718843944632142,-0.331930554409925,0,0.194833822912212,-0.393289216448517,0.498195844319095,0,0.595864437394701,-0.0115830731834468,0,-0.68228160777037,0,0,0.382220700813334,-0.541038621655781,-1.57977007761673,0,0,0.0385823695162489
ETC,0,0,0.758686706818848,0,0,0.061168264805963,0,0.389806983129112,0,0,0,-0.494179179307938,0.322096898058794,0,0,0,0,0,0,0
BV010082.Index,0,0.0791065416067104,-0.0550997162687803,0.127412766445131,0,0,0.0653009158578633,0.153346173322129,0.0256764827854172,0.0817259042076948,0.114702177027446,-0.222717276084607,-0.253038360974548,-0.0840250639478754,-0.0465887848106591,0,0,0,0,0.0122410254418506
CVIX.Index,0,0,-0.0673973378621673,-0.212712512752555,0.0840566345435245,-0.120688436237025,0,-0.155167950509576,0.268004301254414,-0.0020928099108412,0.179175491578961,-0.21213973780868,0.222319524682891,-0.273996372603463,0.256947722099236,0,0,0,0,-0.0793876554102739
DXY.Curncy,0,0.0191568497020149,0.0174135358882012,0,0,0.00521159038300277,0,0.0442596423604703,-0.0474447611880799,0.0379199434501931,0.0469837384578445,-0.0429731841482344,-0.0473416510772645,-0.00699536131278527,0,0.0261262884762013,0,0,0,0.011294641593773
SPX.Index,-0.0621918319581399,0,0.0133995279197108,0,0,-0.014489274268983,0.0233046523611209,0,0,0.0285528764012219,0,0,0,0.00503779285101399,0,0,0,0,0,-0.0747424426840057
VIX.Index,0,0,0,-0.788799150619238,1.73472347597681e-18,-0.136960434340179,0.198161236371692,0.21602905614259,-0.349348902391435,0.368702326840693,0.368519071064427,-0.223794936424838,0.45213868324899,0,0,0,0,0,-6.23092518025152,0
