,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.380559020408577,0.0713863012540241,0,0,5.55111512312578e-17,0,0.0574619566455505,0.0850769749045965,0.18378704397542,0,0,0,0,0
ETH,0,0,0,0.00946626985935886,0,0.144231848493825,0.207674958099541,-0.0176533710494986,0.131951706091163,0.140906070272622,0,0,-0.0276898348704877,0,0.242877396614305,0,0,0,0,0
XRP,0.185439327177348,0.263351350837244,0,-0.0258617471107609,0.239030776053173,0.0568835813935085,0,0.0321395864864741,-0.175335660421573,0,0.0296493492434021,0,0.0240156170173846,0,0,0,0,0,0,0
BCH,0,0,-0.325234156482444,0,0,-0.288931207018236,0.490481864331328,0.120774050106104,0.396845809014737,0.620018878659615,0.366843086107453,0.0983301188492637,0,-0.28763971266474,-0.498441029484803,0,0,0,0,0.438059575985661
LTC,-0.29499516053114,0,-0.0224123303841036,0,0,0.165339748725962,0.283209018077444,0.225584765417589,0.156142251340456,0,0.550053751456494,-0.0235613047808522,-0.0877811447311553,0,-0.0409095776832423,0,-0.345097328231964,0,0,0.113810763648571
DASH,0.726196009228771,1.16116516274997,0,0,0.371918909550504,0,-0.506898868049868,-0.0481307958545504,-0.156267186126941,0,0,0.286622385034943,-0.162402806707691,0.392344262256735,-0.865201942153711,0.0317557170978408,0,0,0,-0.552304370413353
XEM,1.74899682516556,0.290136091257316,0,0.15758866907971,0,0,0,-0.332313879242521,-0.445851325361534,0,0,-0.021524433217423,-0.0181468774794437,0.18830638455408,0,0,0,0,0,-0.34162505440342
NEO,0,0,0.149185755880891,0.346135709233036,0,0,0,0,-0.308583806878988,0.538080623165755,-0.573070122097207,0.101670372244234,0,0.169326721676954,0.620008204748026,0,0,0,0,0
MIOTA,0,0.593443617436696,-0.748504133888932,0.191507407421595,0,-0.176778572392651,0,0.247329362683643,0,-0.0669585550040065,0,-0.0479887941465609,0.235406993998182,0,0.343248961299951,0,0,0,0,-0.597568223068279
XMR,0,0,0,0,0,0,0,0.172181258962238,-0.0142989096690111,0,0.533504301235909,0.0751920217167417,0,-0.0998176589203583,0,0,0,0,0,0
ETC,0,-0.292237914556944,0,0.391820262154004,1.03003091005072,-0.285838245624827,-0.0123335543669074,-0.206459089226373,-0.332479717322518,0,0,-0.0630261390970113,0.233440825600272,-0.0121376059237264,0.500744644695736,0,0,0,0,-0.23557887250006
ZEC,0,0,-0.583142903907698,0.102979056709406,0,0.39721431382555,0.33833234164815,-0.157988205371865,-0.0986328273406258,0.113561843814826,0,0,0.331146939180612,-0.0772022947462566,0.191047564110287,0,0,0,0,0.44912648395401
EOS,0,0,0,0.0484685724638151,0,0,0,-0.266010276094184,0.551350486162205,-0.103068101702727,0,1.22076896595478,0,0.298178023240287,-0.553879177210802,0,0,0,0,0
BAT,0,0,0.395907072356826,-0.781691635735759,0,0.279736023236895,0.180045343847899,0.254681734160274,0,0.963507585459095,0,-0.377447530913887,0.357002353795739,0,0,0,1.98686708791095,0,0,-0.0557368795025576
XLM,0.216602972179418,0.825199207799547,0.0541376473739963,-0.303382431220033,0,-0.68630008865518,0,0.0761296023701967,0.435476484812368,0.345259273445348,0.137921179887415,0.127826481894149,-0.106021302625992,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0.00646746176921437,0,-0.0493300613795718,-0.00146634321052931,0,0.0524433735697224,-0.00327363186745606,0,0,0,0,0
CVIX.Index,0,0.140534141480494,0,0.100632130417678,-0.214758736833209,-0.0622947679546702,0,-0.11089442080041,0.00102915920079315,-0.0243494264028485,-0.0652255626825698,0.00955202986630472,-0.114428107331949,0.158398297983612,0.11172731182285,0,0,0,0,0.122341016843712
DXY.Curncy,0,-0.00403204098240972,0.0287496087936406,2.16840434497101e-19,0,-0.014538725178022,-0.00911460930010469,0,0,0,-0.0059885348796835,-0.00296567433410847,0.0240412227333053,-0.0156485015538972,0,0.124894510901762,0.0679120229377047,0,0,0
SPX.Index,0.00281341266154797,0,0,0.0166921998654305,-0.0378868400058097,-0.0142755246467624,-2.16840434497101e-19,-0.0051463628664346,5.42101086242752e-20,0,0.0259101002592977,-0.0068102495936837,0.00111787811971562,0.0135072952107183,0,0.0281017543661016,0,0,0,-0.0386412552357651
VIX.Index,0,0,0,0.0801596425883441,5.55111512312578e-17,-0.0142940876933949,0,0,-0.473079273984133,0,0,0.305641357497129,0,0.120141151257599,0.0144156234029101,-1.2326098042572,0.944133246272163,0,0,0
