,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,BSV,ATOM,MIOTA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0103715980077588,0,-0.0247937839319275,0,-0.017074247657748,0.0558548253548628,0.0506706096977536,0,0.305728548072375,0,0.0571663136293272,0.0153758989125201,0,0.465621790159309,0,0,0,-0.0332329328958069
ETH,0,0,0.231485103212259,-0.0301413317641449,0,0.254989438719179,0.123176467899164,0,0.0849657019810022,0,0.38904268951214,-0.118588841558584,0.0489596780316427,-0.0399733388518816,0.0456919969376223,0,-0.29433512083484,0,0,0.0642152707976847
XRP,0,0,0,0,0,0.396476996658762,0.0108489182180029,0.259828002042337,0,0,0,0,0,-0.0341447927350902,0.13134446927578,0,0,0,0,0
BCH,0.223404165834134,0,-0.365344835685883,0,0,1.05077618617784,0,0,0.0971738538966047,0,0.029244442553885,0,-0.085082486931452,-0.0885001487721311,-0.311194614437348,0,-0.209401554022116,0,0,-0.094929249846584
LTC,-0.147564979512069,0,0,0.288070055044886,0,0.731274678253793,0.200484722215337,-0.937013412471249,0.191403125887575,0,0.730379824197612,0,0.192517196880643,-0.0348516552382741,0,0,0,0,0,-0.025940185571072
EOS,0.228126053197879,0.106527923919656,0.0659093736920737,0.126041208014556,0.166698938101446,0,0,0.3453315969121,0,0.38319027275838,0,-0.365336310374115,0.0572769522655831,0.0845404477467234,0.0717374335355261,0,0,0,0,0.0370468664524871
BNB,0,0,0,0,0,0,0,0,0.343315852827751,0,0,0,0,0.140971181859486,0,0,0,0,0,0.0103051827944433
XLM,0,0,0.427744469270424,0.12129005507924,-0.479550917678551,0.553486447294014,0.0527007995338065,0,-0.0226719177178863,0,0.27940420576758,0.352931493773634,0,-0.0620146335683972,0.0899972079677712,-0.255818291433599,-0.103039105738658,0,0,0.046354262885639
ADA,0,0,0,0.155130817668,0,0,-0.0883888913321018,0,0,0.963209354226244,-0.042295975763895,0.23924610273014,0.00987813763821591,-0.0435734179406618,-0.0616908869429548,0,-0.182815260147502,0,0,0
TRX,0,0,0,0.056874136817819,0.41778712769934,0.0752990481897701,0.0286990401829149,0.112529993696959,0.117084096905971,0,0,0,0,0,0.0640148602304248,0,0.428264292041539,0,0,0.0327959390184854
XMR,0.543071755149011,0.69894444874857,-2.16840434497101e-19,0.101119643088854,0.0777143851811311,0,0,0,-0.142267548238278,-0.506916513329415,0,0.586868409945426,-0.0972393363216223,-0.0209768797841407,0,0,0.423128400798914,0,0,-0.122887728379367
DASH,0,0,0,0,0,0,0,0,0.395415247791124,0,0.161117555106975,0,0.00316578598129939,0.0747572274042672,0.200402621105648,0,0,0,0,0
BSV,0,1.12221305266073,-0.857018410995002,-0.880914141953903,0.619749343750093,0.85782536540764,0.0341061912284885,0,0,0,-1.47790753959831,2.05659057044151,0,-0.115607919306025,-0.127847011809311,0,0.510325340416292,0,0,-0.517074809196755
ATOM,-0.0835211554972128,-1.15685166244727,0,-1.32657512255724,0,4.73363441094687,0,-1.64588540852628,-1.74056555945893,0,0,3.80588126043392,-1.17000267504661,0,-1.23714679207662,0,-0.702033099389228,0,0,-0.0831805007040116
MIOTA,-0.0509163935664135,0,-0.137105637541833,-0.238817609947406,-0.336695576476924,0.905714444538968,0.113414645835098,0,0,0,0,0.306754095588694,0,-0.0810930394888584,0,0,-0.150877751115285,0,0,-0.257138746188855
BV010082.Index,0.523828199336296,0,0.37620365076957,0.0377603236925952,0,-0.0068527479302093,0.0879690902836998,-0.364669402499904,0,0,-0.26782454031022,0.199955687348645,-0.103896374322475,-0.018594437236973,0.0984503415892622,0,0.0681801581296057,0,0,0.0158636511536456
CVIX.Index,0,-1.45032153023952,0.154172334753231,-0.116947797100893,0,0,0.184366908357561,-0.251328864433983,-0.394965646139162,1.60925687194565,0.688971267661153,0,8.67361737988404e-19,-0.101115803147004,0,0,0,0,0,0.167562845010931
DXY.Curncy,0,0,0,-0.0460843158252288,0.0424248978817644,0,0.0127928103274368,0,0.0249874078795493,0.00653137465252656,-0.0271763569363766,-0.0249730756332211,-0.0272792578815815,0,-0.0107284471042999,-0.00140512561034783,0.00153926314450648,0,0,0.00670252516125369
SPX.Index,0,0,0,-0.0059642124225344,-0.00736954271664153,-0.0559501210568319,0.000125615244222013,0,0.0148420664195447,0.0494462356122133,0.0273637923055714,-0.0297662225571502,0,0.0037688159831037,0,-0.0491875716763275,0,0,0,-0.0501700748293054
VIX.Index,-0.0272859438892811,1.25430128828219,-1.20472934256621,-0.748731513443987,0,0,-0.168929620903622,0,1.11022302462516e-16,1.27548397855929,0,0,-0.430374381701273,-0.0556140798281286,-0.730855933335354,0,0,0,-7.87337104493592,0
