,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-8.67361737988404e-19,0.0351995581013866,-0.10595712479969,0,-0.0471075848323666,0,0.19121311778158,0.110766780167755,0,0.0421547858420364,0.259860593028126,0,0,-0.101994415121254,0,0,0,0,0.00926454999048245
ETH,0,0,0.0905522155800272,0,0,0,0.237338378284654,0,0.283672624362793,0.0375214008495364,-0.116413217781066,0.311042259317547,0.0285089092542067,0.387080864002548,0.026502280539658,0,0.1304269168312,0,0,0.0068720145022697
XRP,1.32757942028909,1.58338980900011,0,0.140285636404394,0,0.449955784686123,0,0,-1.41895016878395,-0.299959856492362,-0.224603844153684,0,0,0,0,-0.923560059583478,0.234874096172125,0,-1.55059393062229,-0.186445684268988
BCH,-0.477327034676257,0,0.166003699165242,0,0,-0.301485640190624,0.33304116415515,0,0.255834008552315,0.163297458695809,0.160078319764829,0,0.160273309402446,0.675379495337352,-0.342964771896317,0,0,0,0,0
EOS,0,0,-0.00124067567550622,0,0,0.0477951106854521,0.203690299270918,0,0,0.00174762452214971,0.0505965875395701,0.52347370860703,0,0,0.0780483390282943,-0.0500081758581838,0.347675604330295,0,0,-0.0473598466358433
XLM,0,0,0.235275753698251,-0.173627140322791,0.824309591020363,0,0.0518591398956165,0.384620491744984,0,0.0873406048245475,-0.373820540401325,-0.908193575052394,-0.0400609949285746,1.04087244821897,0,0.112574902805202,-0.729184718873033,0,0,0.0939044950321033
LTC,0,0.31815302669401,-0.100290429256119,0.0375323891812906,0.131552584254269,0.325881176644573,0,0,0.13103929305378,0.0422566803418261,-0.152319807118297,0,0.201176881228259,0,0,0,-0.165765990203714,0,0,0.0279057086113231
ADA,0,-3.46944695195361e-18,0.0406662250954732,0.439209785812921,0,0.217010948227406,0,0,0,0.094614935713574,0.233808163370372,0.130757921737995,-0.0563658600573446,0,0,0,0,0,0,0.0519941866736066
XMR,0.590366520732771,0.399625382144037,0,0,0,-0.184571958331254,0,0,0,-0.0439694078321496,1.73472347597681e-18,0,0.0297743643993183,0.0883250583231016,0.1621703580353,0,0,0,0,-0.0237512696141479
TRX,-5.55111512312578e-17,2.15208433254869,-0.36936029096372,0,-0.489669231984345,-0.100210336835631,0,1.05340029041356,-1.16034350114763,0,0,0,0.726192796822239,-1.4855704809671,0.169045676981963,0.246815415288156,0,0,-2.08774564351269,-0.32878289108829
MIOTA,0,-0.175873742324999,-0.0345484183978828,0,0,0,0,0.589791530915829,0,-0.0254739857685811,0,0,0.299593040579392,0,0.444788007331564,0.636688243217952,-0.0589880463716804,-0.600518327747436,0,-0.035880076328459
DASH,0.31541875349242,0.396464629369083,0,0,0.650306507898388,-0.159636945547239,-0.139324239986687,0.0491610937435221,0.0313818106123989,0.0400731790863276,0,0,-0.152911875264828,0,0,0,-0.47226743321689,0,0,0.031915493080114
BNB,0,0,-4.33680868994202e-19,1.38777878078145e-17,0.564139670945933,0,0,-0.0174588176211968,-0.32871614016524,0.167792339441625,0,0,0,0,0.168683178253368,-0.703474191786324,0.00815858073031846,0,0,0
NEO,0,0.454940654391656,-0.126839675417365,0,-0.084520176332292,0.187530936218134,0,0.210098630569254,0.0586975804666265,-0.105757203825773,0.2689164527964,0,-0.0330431391021533,0,0,0,0,0,0,-0.0291182974670516
ETC,0,0.0594608548680102,0,1.38777878078145e-17,0,0,0,0.0472878914717419,0.445451753119284,0.0546297241260938,0.142146134926942,0,6.93889390390723e-18,0.132065640911427,0,0,0.313002841759812,0,0,-0.0442775113081949
BV010082.Index,0,0,-0.029389198538813,0,0,0,0,0,0.00966999500324935,0,0.0212606989766961,0,0,0,0,0,0,0,0,-0.0233075903152605
CVIX.Index,-0.080481731365618,0,0.0622970434445478,0,0.832859608300115,-0.248475090043372,-0.25241055337699,0,-0.046987083566696,0.0843944982915435,0,-0.681285110369569,0,0.201528475770618,0.243679369433282,0,0,0,0,0.102397365046388
DXY.Curncy,0.0102663874304194,0,-0.00522178182172617,0,0.0352601579867238,-0.00568454413395598,-0.0633783960787856,0,0.0145440945250332,0.00804803849318262,0,0,0.0431312031571448,0,-0.0515306206507743,0,0,0,0,-0.0139090371435194
SPX.Index,0,0,-0.0887005103658843,-0.0987311898459462,0,0,-0.185362898355369,0.157910245838624,-0.100665619524945,-0.0627808238824173,0.0273449945157104,0.227217736936335,0.148298367109516,0.0507856990877029,0,-0.0399036630980568,0,0,0,-0.0759251325892306
VIX.Index,0,0,-0.421009273695129,0,0,0,0,0,-0.234905611955812,-0.230962900230488,0.538087178350808,0,0,-0.654932027067248,0,0,0.54760413417593,0,-7.51672346710235,0
