,BTC,ETH,BCH,XRP,DASH,BTG,LTC,MIOTA,ADA,XMR,ETC,NEO,XEM,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.141244259973139,0,-0.0889823449097351,0.0269397940180758,0.103790280580931,0.0671488075855698,-0.00755553000803262,-0.147604737138972,-0.0908443947165392,0.0928023100192424,0.407543935418376,0,0,0,0,0,0,0
ETH,0,0,0,0,-0.16763989580179,0.00852970096521534,0,0,-0.0805573150895789,0.27803573621242,0.0821360712979161,0,0,0.142314343383568,0.0426239665538209,0,0,0,0,0
BCH,0,-0.780880337515421,0,0.598045961785216,0.656296264709259,0.150883827166219,-2.25297589302542,0.0115381453980006,-0.472744439014801,0,1.36760492785116,0.771920098337776,0,-0.172565303912798,-1.38777878078145e-17,-5.93876241183709,2.34356652947709,0,0,0
XRP,0,0,0.224583484760355,0,-0.0113570177615302,-0.027766601879931,0.170550517836583,0.0219531319444007,0.0683846918838316,0.0709879667618377,0,0,0.802483872778569,-0.20014875894848,0,0,0,0,0,0
DASH,-2.14079647559758,0,0.129090711174515,0,0,-0.0447186212336196,0.705746447077941,0.645844278434556,0,0.76311005415156,-1.27819624080031,-0.09399837082251,0,0.307039196544892,0,0,0,0,0,0.104053636109603
BTG,1.22483611199021,0,0.763748751824364,-2.68612309485392,-1.38777878078145e-17,0,1.41289836181014,0.457020111900928,0,0.632122243794898,2.01279763846254,0.165920202504677,0,-0.577840378126025,-1.19307134142298,0,0,0,0,0
LTC,0.201128470978559,0.265404340510004,-0.0797818840748952,0.226722390026996,3.46944695195361e-18,-0.0191790446752557,0,0.00332199342644283,-0.0731118329662383,0.0823628697849708,0.119729448245669,0,0.163841768903136,-0.0897677997265975,0,0,0,0,0,0.203887594313182
MIOTA,1.32336323210706,-0.885020127486895,-0.114389808336481,1.61732680980238,0.244291556273575,-0.027395130901616,-0.556034976311202,0,0.587381471224016,0.553081929740396,0.808778450182483,-0.457114308714281,0,1.0868994970876,-2.13493646546689,0,0,0,0,-0.415809300792651
ADA,0,0,-0.0323883794458749,0.615695610031856,0,0,0,0.0738848639727572,0,0,0.078033400153395,-0.0387981177902581,0.70172063474712,-0.050987724779419,0.104485406405363,0,0,0,0,0
XMR,0,0,0,0.192916268831615,0.197362099567087,0.0186169029913702,-6.93889390390723e-18,0.0766159396094759,0.057642358677419,0,0.0335233797652955,0.152252089328609,0.55213293228975,0,0,0,0,0,0,0
ETC,-1.21465516545447,0,0.166041957465202,-0.252778999034916,-0.572426993774826,0.0191352808418142,0.492705092482387,0.342794498393181,0.00613852820909956,0.512507594619938,0,0,0,0.140360187106117,0.371685965481665,0.448844352905777,0,0,0,0.308748424625948
NEO,0.613274532270113,0,0.230187440469569,-0.15176329848764,0,-0.0841344699560219,0.922559105543298,-0.179705945958932,0.113479142502209,0.478462564861498,0,0,-0.650682782330631,0.3278559055309,-0.123057437143975,0,0,0,0,0
XEM,0,0.261266853682968,-0.0364577821231707,0.00894336053629203,0,-0.0172412926364966,0.422203357957721,0.085673692747188,0.121579222022623,1.73472347597681e-18,0.00480783798410611,0.0715654826749711,0,0.0328689359090702,-0.088900558687901,0,0,0,0,-0.169718625814429
EOS,0,0,-0.0577370442661406,-0.451026525486454,0.135308870990369,0.00527585653888592,0,-0.054465488008721,-0.12306562848346,-0.878247937872928,0,0.447111922738401,0.38615524275028,0,0.921302286175221,0,0,0,0,0
XLM,0.142304731937144,0.0933808599935469,0,0.187424089392096,-0.0395555551244198,-0.0375105975133209,0.0154685074086983,0,0.3485992411245,0,0,0,0.286628926957774,0.48874618089145,0,0,0,0,0,0
BV010082.Index,0,-0.0919382487794366,-0.0495880432918766,0,0,0.00754113703956335,-0.0739322110239792,0.0149767198108067,-0.0474972136651186,0.0781501843299547,0.0588335433228855,0.0528660093731691,0,-0.0348724625416977,-0.000653096083487669,0,0,0,0,0
CVIX.Index,0,-0.0441662071883456,0,0.0830917852126742,0,-0.00989765986250713,0.0729125953447989,0.00131889258209564,-0.0107419186513834,0,-0.0364940385034285,-0.0555182420287438,0,0.0686380853378759,-6.93889390390723e-18,0,0,0,0,0.0439869676674333
DXY.Curncy,-0.0260979232502891,-0.0227298776298086,-0.0265968796986078,-0.0206278791545014,0,-0.0034664245724118,-0.0393048661256079,-0.0143488883836521,0,0.026483342567941,0.0398922664904604,0.0058803673513178,0,0,-0.0147544380187282,0,-0.00884573230292937,0,0,0
SPX.Index,0,0,-0.00238864389401757,-0.0364352079430385,0,0,-0.0188631836846239,0,0,0.0186912972832101,0,-0.0110538743044831,0,0,0.0157790625100475,0,0,0,0,0
VIX.Index,0,0,0.0839597222852946,0,0.0685795277277973,0,0.260578494133124,0.119636115696673,0.0434505219731829,-0.535385165732967,0.102828584998105,-0.175782035728625,0,0,0,0,0,0,0,0
