,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.116231984634984,0,0.304421462639054,0.00748662189566687,0.124004351590013,0.403947362175461,0.121217302415485,0,0,-0.324099236577291,0.0147488338781278,-0.0247211362120091,0,0.000710235201430457,0,0,0.00325728254287599
ETH,0,0,0,0,0,0,0.158282785036853,0,0,0,0,0.0576115572739727,0.0667163865330923,0.166017853030014,0,0,0,0
XRP,0,-0.114084373819591,0,-0.45259278055372,-0.379073997947812,-0.223345522058329,0.0582321848174593,-0.00210489772130311,0.418877871561312,0.949362916354397,-0.101321221410585,-0.131834030476483,0.103844877017949,-0.281846791841506,0.249038257973055,0,0,0.0161971413756837
LTC,0.403279284022258,-0.00133171069883967,-0.13459307785765,0,0.149480814059852,0.0380207454122235,0.0354984681570447,0,0.327618200046812,-3.46944695195361e-18,0.0512079987965406,0.0588989988941817,-0.103692924632398,0,0,0,0,0
XMR,0.199872612205759,0,-0.284422440601667,0.842402569653743,0,-0.183958961017398,0,-0.108385906778939,0,0,0,-0.198986692411095,0.0853168528104425,-0.464271783084931,0.232734586463997,0,0,-0.102110837575683
DASH,0,0.24874227525257,-0.320537302383188,0,0,0,0,0.139495129139118,0.399126433121032,0.371189754551749,0.0213062559202537,0.0198836345561002,-0.0677491484480195,0,0.243321084659215,0,0,0
ETC,1.28392231321129,0.311374934477486,0,0,0,0.0337690503515074,0,-0.220162757142632,0.080587899400002,0.0838113097636822,0.388278069847694,0.109031861646096,0.047992109771447,0,0,0,0,-0.250777023119218
XEM,1.33887684447314,0,0.0796217508340628,0,0,-0.103676955160149,-0.326425664736105,0,0,0.489831680629543,0.178690046724874,0.255865477171429,-0.871309766116808,0,-0.845848115720604,0,0,0
DOGE,0,0.0846237499875206,0.732290964843163,0,-0.0701572082828539,0.097253472088106,0.0354529277214875,0.0083871172968566,0,-0.282356560176917,0.351071278126631,-0.0464218678676829,0.237349630670712,0.677603265487399,0.0378565970741701,0,0,0.0494859911966317
ZEC,0,0.203682867596878,0.0951328527934756,0.310021973884806,0.537609918351729,0.238367328909041,0,0,0.276510251703848,0,0.142846364348041,0.149642596088083,0.0616759600928199,0,-0.0872468373012758,0,0,0.0878142863353399
XLM,-0.407826617707785,0,0.154962370387326,0,0.148864031764108,0.00721695278503569,0.303210052402372,0.0883000478963767,0,0,0,-0.027878733545878,-0.0801917809565467,0.218392055512543,-0.21659391456219,0,0,-0.00459881362556648
NEO,0,0,0,0,0,-1.03721273497126,0,0.0934556679090552,0,1.08596148991001,0.10365815909582,0,-0.154183208698008,0,0,0,0,-0.104611012025837
DGB,0.189513697042229,0,0,0,0,0,0.129302253359066,0,0.305589739632671,-0.0634296218361268,-0.0260572671462778,0.204107484961535,0,0,0,0,0,0.0731068671836573
BV010082.Index,0.616421047322165,-0.0443195798083798,0,-0.309366774110465,0,-0.126578698792417,-0.264101420324643,-0.130348148028255,0,0.340174960436803,0.292577905829454,-0.119600447874198,0.0356967826157409,0,0.095696328416852,2.3213222222536,1.24595207979747,0
CVIX.Index,0,0.228810398278933,0,0,0,0.0326080427334788,0,-0.0587414409132056,0,-0.318040276057736,0,-0.0818007342526411,0,-0.140749508820399,0,0,0,0.200839904119792
DXY.Curncy,0,0.0758051208623527,-0.0595469395919249,0,-0.0703471810948217,0,0.000539978979624978,-0.00550686552454106,-0.0347155536629755,-0.0571862313131018,0.0587331960774925,-0.0191827474233491,0.0237080011319524,0.103226940189301,0.068474048101218,0,0,-0.018180734252574
SPX.Index,-0.0238914226705,0.0420202587513752,0,-0.00240011019769955,0,0,0,0,0,0,0,0,0.00292562855119278,0.00694180251912358,0,0,0,-0.0443419750200894
VIX.Index,0,0.541079632815206,0.0499571415428781,0,0.00436042698384184,0,-0.444196695287772,-0.0903301289616138,-0.164320366588589,0.380539102413149,0.0697271558998974,-0.0635298203451345,0.0335357319963068,0.677915296917923,-0.0256354100849503,0,-13.1934184122099,0
