,BTC,ETH,BCH,XRP,DASH,LTC,BTG,MIOTA,ADA,XMR,ETC,XEM,NEO,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.081867161779802,0,0,0.344162256133814,0.00930366216318859,0.089518528663213,-0.0267844320799147,0,0,0,0.0625179563810767,0,0,0,0,0,0,0
ETH,0,0,0.045576571667624,0,0,0,0.0106127769036902,-0.00907672847366175,-0.216006012194839,-0.146033317690999,0.67078502901817,0.0994267917651225,-0.0975212883528467,0.0178758192700416,-0.0111618475321167,0,0,0,0,0
BCH,0,0.475785329773049,0,0.0901732312847277,0.100962014901575,-2.21483524657313,0.146967299085025,0,0,0,0,1.27017428250499,0.611855004510661,0.0520064052248105,0,0,0,0,0,-0.0243463359781049
XRP,0,0,0.0451743439850338,0,-0.0761195347602345,0,0.0281465971711072,0,0,0.426621806902421,0.160145706454747,0.223539019587828,0,0,0,0,0,0,0,0
DASH,-1.56759041891676,0,-0.133949000114415,0,0,0.234564730617456,0.22348268269656,0.540372852656829,-0.0574055746109517,0,0,-0.886746937295295,0,0.340386045998716,0,0,0,0,0,0
LTC,0.161828853134105,0.348937976002618,-0.160076320682865,0,0,0,-0.00616432767223427,0,0,0.142602816264538,0,0.377418471073673,0.0389185530790208,-0.0116066810089662,0,0,0,0,0,0
BTG,0,0,1.04268423372814,0,0,0,0,0,0.170133213609686,0,0,0,0,-0.662181750404758,-0.416132157601482,0,0,0,0,0.752525609780913
MIOTA,0,0,-0.0993469646486506,0,0,0,-0.0956426750800319,0,0.361599472831691,0,0,0,0,0,0.177931343006517,0,0,0,0,0
ADA,0,0,0,0,0,0,0.0968660338516023,0.223191044892632,0,0,0.282089292600299,0,0,0,0.440507075323776,0,0,0,0,0
XMR,0,0,-0.0363643936879844,0.213006494401437,0.229464588939923,0,0,-0.0015539452984924,-0.00188516087656982,0,0.14680110753821,0,0.206018668117286,-0.239183461769887,0.337405648023891,0,0,0,0,-0.0684802272736929
ETC,-0.267209865605553,0.65845364962747,-0.0690203254556772,0,-0.153952275921754,0.222201709496595,0.0714669410576546,-0.0501528444296936,0.371770443549654,0,0,0.264723479965512,0.169455631970078,0.0283425899015761,0,0,0,0,0,-0.310365509300928
XEM,0,0,0.0301414647056346,0,0,0.438191874515429,-0.00752269812519074,0.0598883509141073,0.0300310469983369,0,0.174177282307605,0,0,0,0,0,0,0,0,0
NEO,0.812656457997461,-0.319251481901,0.278852077272236,-0.306957920440406,0,0.988284541307422,-0.0840460452609644,-0.0388210199768035,1.73472347597681e-18,0.655524626625998,0.571586755626225,-1.13091248237506,0,0.348640170058322,-0.422571270706846,0,0,0,0,0
EOS,0,0,0,0,0.022329102994767,0,-0.0493864463791478,-0.205045606811163,-0.0959373700915549,-0.732445542587916,0,0,0.361640886736968,0,0.834598984169793,0,0,0,0,-6.93889390390723e-18
XLM,0.402061133257553,0,0.0682553175579747,0,0.0364444074546416,0.219107772104669,-0.087807450430766,0.0694804612833698,0.309263743751993,0,0.186613827333551,0,-8.67361737988404e-19,0.414768250046076,0,0,0,0,0,0
BV010082.Index,0.0856997134575357,0,-0.0493142513942046,0.0763484950864787,0.0424376406703799,-0.131847059200707,0,0.000221913980305969,-0.0122332052788196,0,0,0,0.0708064542311327,-0.00985055674862904,0,0,0,0,0,-0.0239976815511777
CVIX.Index,0,0,0,0.0476544276891235,0,0,-0.0179495087772269,0.0413713076341485,-0.0359149781278737,0,-0.0284242478769107,0,-0.0312576929635803,0.0275188024073954,0.036461577075431,0,0,0,0,0.12349095026065
DXY.Curncy,-0.00391875615428756,0,-0.0332776283475335,0,0,-0.0540596649797964,0,-0.0239802965048154,0.0088658955824808,0,0.0186006984013732,0,0.0137615067296748,-0.00228415941223083,0,0,0,0,0,-0.0161064532491999
SPX.Index,0,0,0.00591679904421856,-0.0505851143190458,-0.00388856638102214,0,0,-0.00426387247318581,0,0,0,0,0,-0.0220735865657482,0.03136333972154,0,0,0,0,0
VIX.Index,0.0446714335610867,0,0,0,0,0.11299953281167,-0.018455654819259,0.0653804180201955,0.0216463795357252,-0.393159385200995,0,0.229668023798727,-0.142715289955344,0.103258771927947,0,0,0,0,0,0
