,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XEM,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.255400886064197,0,0,0.0453257940444126,-0.0128308685074677,0.0563059336599797,-0.175253637562882,0,0,0,0.341324761585649,0.299845649767959,0.0186793831918041,-0.0169898002061197,0,0,0,0,-0.0841645792523205
ETH,0.228437991842663,0,0.122998954248566,0.0667569420409603,0.0394249731327359,0,0.140148631160885,0.634295720810867,-0.0909024334806195,0,0.0897754099823116,-0.306571139447324,0,0.0458576532619336,0,0,0,0,0,0.0901571372694295
XRP,0,0,0,0,0,0.0403064829522956,0,0.128383916425996,0,0.286397351311355,0,0.282848609849776,0,0.0754978835242893,0,0,0,0,0,0
BCH,-0.262435509810473,0,0.149017573033363,0,0.108065580383242,0.0344320391690229,0.213775823182643,-0.41427570736659,0,0,0.973176525554232,0,0,0,0.162715663372048,0,0,0,0,-0.0827497022410443
LTC,0,0.346628539016496,-0.330904193827141,0.195091421627606,0,0.659739871669492,-0.0819628353607252,-0.153763452682812,-0.0620177696343069,0,0,6.93889390390723e-18,0,0,0.24706428944958,0,0.35006381593986,0,0,0.0423409059942053
ADA,0,0,0.604092705044805,0,0.0342191913529712,0,0.110509383688566,-0.0319336529091758,0,0,0,0.209380294565382,0,0,0,0,0,0,0,0
NEO,0.191243158450011,0.516865117422585,0,0.083348513442056,-0.0764852607304954,-0.40432574332247,0,-0.469129965142669,0,0,0,0.891471305307235,0.220632947952047,-0.099158330084969,0.173442829038152,0,0,0,0,-0.0121430852017549
XLM,0,0.355944844808151,0.151185936286159,0,0,0,0,0,0,0,0,0.303562109454146,0,0.149917178977708,0.067495059400486,0,0,0,0,-0.0626508425322487
EOS,0,0,0.0695918536000378,0,-0.0654019137781424,0,0.0960270997522936,0.243181604068446,0,0,0,0,0.247949815903081,0.000724978905076244,0.371823647446701,0,0,0,0,0
MIOTA,0.280184004959143,-0.16818304030141,0,0,0.0938911581726058,0.0989400269411692,0,0,0.216131122016305,0,0,-0.0414008951131365,0.393114558198909,-3.46944695195361e-18,0.18296182329779,0,0.725201394979246,0,0,-0.0562044360629484
DASH,0,0.356423108419131,-0.0523411615608517,0.0828854454937564,0,0,-0.0197613214024193,0.250027736673841,-0.193901840071719,0.162337188894876,0,0,0.481410409499611,-0.0235048735156258,0,0.296871119473859,0,0,0,0.0594445751251827
XEM,0.789594282925358,-0.602695651688237,-0.306488268027794,0.065711391265199,0.0129232177868765,0.515005558213767,0.181992875086275,0.523278553637938,0.295150483469919,-0.382349548846014,0.0108940357535812,0,0,0.0301338200999149,-0.0280119241376033,0,0.782741168356889,0,0,0.130860855258465
XMR,0.395931865783816,-0.175429236539192,0,-0.105319705171304,0.238045801872259,0,0.121386924394576,-0.196432077981497,0.364855830042377,0.00457453861940715,0.541217753376242,0,0,-0.0349667326163169,-0.102124843666403,0,0,0,0,-0.021332005596757
TRX,0,0,0,0.138507522850202,0,-0.0945952927246522,0,0.420498557054421,-0.212662205699173,0.156399073223766,0,0.636873530134146,0,0,0,0,0,0,0,0.0361168337039375
ETC,0,0.340313356908267,0,0.361723067724002,-0.236936213491322,0,0,0,0.790553582963704,0,0,-0.233255927031892,0,0,0,0,0,0,0,0.07084784872452
BV010082.Index,0,0,-0.0737735187023007,0.0618333580555455,0,0,-0.0288349290115909,0,0.0759338843849197,-0.0188131417643791,0.0718421744523843,-0.101289259511022,0.050548329437105,0.0383775845924516,-0.0455540360713462,0,0,0,0,-0.0395199621900976
CVIX.Index,0.11773713966401,0,0.0904257018529711,-0.0334549103576915,0.0726159133493518,-0.0245383451060767,-3.46944695195361e-18,-0.110627373941653,0.155241195399806,0.113670887742076,-0.0453802988622719,0.0642001294657794,-0.252324224060056,0,-0.0997539739855491,0,0,0,0,0.0326111599934839
DXY.Curncy,0,0.00644403662519841,0.0258061306504228,-0.023613614926604,-0.0195674265290219,0,0,0.0148662248041375,-0.087191535409411,0.0148796778557069,0.029988612645702,0,0.0101731317521655,-0.00486767800509871,0.0292182723047976,0,0,0,0,0.0117226453426033
SPX.Index,0,0,0,0.0197686491756224,0,0,0.0734481562855984,0.0390720221421147,-0.0686071594496212,-0.0362369819576974,0,0.0734525922102447,0,-0.0717873497651243,-0.0225609179574977,0,0,0,0,-0.0740927067181556
VIX.Index,-1.16967390560281,0.324681355016169,-0.694557685719443,0.247905901981023,0.103521207195577,0,0.784818985961176,0,-0.178235701692422,-0.91615513960804,0.394707175226202,1.52154430647021,-1.38777878078145e-17,-0.250103011897125,0,-2.51021672986994,0,0,-7.05334041231534,0
