,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,NEO,ZEC,XLM,DOGE,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.110325517462832,0,0,0.304575342328338,0,0.241343535511356,0.103722815108747,0,0,0,0,-0.249158160738605,0,0,0,0,0,0,0
ETH,0.258759113888962,0,0.395636786209274,0,-0.098299878970827,0.242379510319961,0,-0.0696868621002947,0,0.0431293442896312,-0.208194190089418,0.56805003821412,0,0.0603340343985902,0.0799482881540785,0,-0.375561655863794,0,0,0
XRP,-0.0201239339531002,0.350784203389718,0,-0.094576210488222,0.320204213925757,0.16867043739996,0.269569699362671,-0.0162297633172976,0,0,-0.197015552170415,-6.93889390390723e-18,0.0310737098054211,0.094614751736563,0,0,0,0,0,-0.0761790325663683
LTC,0,0,0,0,0,0.11505588949412,0,0.0413205050814836,0,0.0797670936575314,0.101542520853457,0,0,0,0.1095033343435,0,0,0,0,0
XEM,0.172219314237759,0.51856529502918,0.959642273398783,0,0,-0.216659561625151,-0.175565032762261,0.154306032984347,0.267593415656152,-0.0252585015058959,0.395702133701602,-0.653736345565275,0.501892407124303,-0.841937567207953,0,4.21118224843253,0,0,0,0.733315403408965
ETC,0.0665394861952066,0.372470747260439,0,0.251702150711866,0,0,0.233475372671317,0,0,0.00296345491908584,0,0,-0.214843689029158,0,0,0,0,0,0,0
DASH,0.610770323431953,-0.00486664884542824,0,0.11197372616931,0,0.0606279956909245,0,0.00637871188042893,0.333280206037293,0.00934830186937345,0.168110278407932,0,0.0511982044881412,0,-0.143104885893773,0,0,0,0,0
MIOTA,0.59343165120906,0,0,0.680094779711901,0,0,0.130128797804028,0,-0.179494209930547,-0.117714269564796,0.0762677235404857,0.524561160876907,0.811288393186972,0,-0.448637910559028,0,0,0,0,0.374515070076251
XMR,0.134132629153525,0,0.0473124460874441,0,0.146693932938043,0,0.0957345386675655,0,0,0.012857417265853,0.171052298940086,0,1.73472347597681e-18,0.228153636489784,0.0419968961798428,0,0,0,0,-0.216644477100139
EOS,0,0.757893704994472,0,-0.431823714539252,0.311464752745315,0,-0.223307456553769,0,0,0,0.485197937353709,0,-2.77555756156289e-17,0,0,0,0,0,0,0
NEO,0.067885243627594,-0.394617919070624,-0.487373186647616,-0.247062102296005,0,0.407723767418111,0.136334953888124,0.311881192380279,0,0.0893508123021876,0,0.211214429920789,0.209345933837119,0.500964937212795,0,0,0.791286440868496,0,0,0
ZEC,0,0.285961583109136,-0.0612271417242221,0,-0.403306546317789,0.059258902978978,0,0.239289996664731,0,0.0761737691028904,0.446214331227656,0,0.172435156018016,0,0,0,0,0,0,0.365738086226456
XLM,-0.951832364729139,-0.0238029549101813,0,0,0.274640743585327,0,0.29184876315751,0,0.553622235012067,0.0513953132001513,0.413694868152087,0.171583668730466,0,0,0.21458541363323,0,0,0,0,0
DOGE,-0.0252090469216239,0,0.404150941026735,0,0,-0.0142228125654426,0.477709290254048,0,0.0318657418601989,-0.0742090946138644,0,0.0524218569944211,0.124675715727639,0,0.0873230695290524,0,0,0,0,0
BAT,0,0,0.197176741701544,0.0144239456129796,0.582541964195323,0.0166136729836403,0,-0.0222532706686038,-0.373663978100028,-0.099426038440426,-0.221165146618776,0.799366679728406,0.0547942221423357,0.237593053703049,0,0,-0.545020947824977,0,0,0
BV010082.Index,-0.0448128112908998,0.103525947906477,0.0589147635134541,0.130741487030974,0.0369276709379339,-0.106769362850369,0.101309233074744,-0.0566185232396872,-0.0812089185785391,-0.02546483362721,-0.0983368484487341,0.146145826084846,0,-0.129332433167486,0.0585478199407338,0,0.298300484581539,0,0,-0.029903453252527
CVIX.Index,0,0,0.107032119529135,-0.0142755960143412,0,0,0,0.00319360146318503,0,0.00222124009407083,0,0.1271237095112,-0.103269591134163,0,-0.0446643018188141,0,0,0,0,0
DXY.Curncy,0.035172371211395,0.00345247915145122,0,0.0271992418933611,0,0.00675921512655612,0,0.00340145925019278,0,-0.000884953700636896,-0.0436970923760056,0.015053456095137,-0.00638298863814371,0,-0.00577249788622719,0,0,0,0,-0.0357517887888113
SPX.Index,0.034295384280844,-0.0200424119652236,0,0,-0.00696202976399759,-0.00192625188701805,-0.0127758509381768,0.00356714321230894,0,0.0011146921618877,-0.0195146185982456,0.0130687214751459,0.0129493074750543,0.0185801910621543,-0.00857628385446699,0,0.0134615288178588,0,0,-0.0665446853483513
VIX.Index,0.264956267669009,-0.375302413842811,-0.689264091658937,-0.664479727825663,0,0.420870689318523,-0.0943992281053189,0.233006652266917,0,0.184849698130013,-0.140328751793679,-0.202029147587909,-0.2803807325099,0.743473915832144,0.217540957560342,0,0,0,0,0
