,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0637666384467767,-0.239806883327581,0.240359248734176,-0.127062160880406,-0.00497673337343596,0,0.137576661930944,0.377800623054464,0.0969344664222254,0.200441863147817,0.13870375164974,0.0199684584209147,0,0.0415194200043681,0,0,0,0,0
ETH,0,0,0,0,0,0.199974416425334,0.0723965960091575,0.0272900535079519,0.00900688088170835,0.0638094679955653,0.182661782515936,0.077340816160068,0.0447476965849723,0,0.165375301148511,0,0,0,0,0
XRP,-0.17924260696632,0,0,0.0799933575216595,0,0.0507125740988493,0.109088696301022,0.423635391079152,-0.063125949116759,-0.078675111507473,0,0,-0.106495910303061,0.273668655581237,0.22209352822437,0,0,0,0,0.0483010957553142
BCH,0,0,-0.0390669764893625,0,0,-0.0646233329642563,0.135352067841815,0.0220188897708343,0.0826558582843157,0,6.93889390390723e-18,0.911186966633641,-0.147160369325035,0,0.00945813668048594,0.146416530922405,0,0,0,0.129938386929488
LTC,0,0,0,0,0,0,-0.128285084978197,-0.218097491532481,0,0.0912227394241244,0.371831104825625,0.693275742735042,0.0551110245712815,-0.253384402281807,0.0941687305113238,0,0,0,0,0
ADA,0,1.20043338788586,0,0,0,0,-0.325315802049178,3.46944695195361e-18,0.496288078841491,0.111250984235575,-0.0193686184205155,0.494027404234955,0.0199743376948365,-0.446349593313016,-0.262281059405287,0,-0.485236915032053,0,0,-0.0110876449964219
NEO,0,0.641489608346263,-0.131763007714442,0,0,-1.38777878078145e-17,0,0,-0.0413228418893207,0,0.200788046948935,0,-0.0159421006637875,-6.93889390390723e-18,0.253212300543602,0,-0.526174452948029,0,0,-0.150370774773152
XLM,0,0,0.423024519827355,0.0358145798872911,0,0,0.226557983778927,0,0,0.0251527007142981,0.0562985126462294,0,0.177247642149026,0,0,0,0,0,0,-0.104697661838005
EOS,0.460185991414322,0,0,0.000913508797007599,0,0,0.0131416371346869,0,0,0.286808093293389,0,0.151891238120585,0.148774805957153,0,0.173902445200407,0,0,0,0,-0.11806217374822
MIOTA,0,0,0,0,0,0,0.110526181544094,0,0.329904791072733,0,0.289683505591078,0.039452037483735,0.074173444460765,0.0901914685098896,0.167611774276041,0,0,0,0,0
XMR,0.331808278461784,0,0.156127890128452,-0.25003753175796,0.376088265405813,0.0877494329203164,0,0.663958209056799,0,-0.0659982546535606,0,0,-0.49993489917938,0.677583015902016,-0.249712099903558,-0.0680649866438516,-0.857325762577703,0,0,0.0488816893579973
DASH,0,0,0.0689218915790648,0.241715237895474,0.0577842393542296,0.20627424519417,0,0.173376152692611,0.0823907308559415,-0.0532433640007715,0,0,0,0.231429107109498,0.112125482092083,0,0.303081278748512,0,0,-0.0166392714976658
XEM,0,0,-0.23503354771737,-0.639110017022156,0.537479348233413,0.0252638467843933,0.0591737632289819,1.40561198511222,0.064524647320852,-0.188834218910424,-1.39608536071886,0.31630193076587,0,1.20577483905011,0.0149808624812793,-0.672563410353047,-0.984802113575254,0,0,0.182914640692285
TRX,0,0,0,0.383323626254505,0,-0.0741141661548027,0.140043345482372,-0.442954134500238,0,0.219941289064974,0.193865739986973,0.332214340226027,0.150753089808427,0,0,-0.455800114007511,0,0,0,0.0109809499987809
ETC,0,0,0.778783683558299,0.144809497677634,0,0,0.164091281855008,0,0,0,-0.400548534949838,0,0.0301683766559507,0.187496520201387,0,0,0,0,0,-0.0388669241242619
BV010082.Index,0,0,-0.0167604701725803,0.111769619230464,-0.0614381907518466,0,0,0,0.00563374200444955,0.0293405991719942,-0.0114295798759629,0,-0.00434809183830045,-0.119573348866272,0,0,0,0,0,-0.0518548789713176
CVIX.Index,0,0.383612826686792,-0.177591304795343,-0.459211160962202,0,0,-0.29182448527773,0.114520240729342,-0.146385859879475,0,0,0.579343096275746,-0.217593228722397,0,0.130821597522022,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,-0.0177851381853984,0,0.0221727607616626,-0.00990399658866125,0.00106538519247079,0,0,0.0168597385423181,0,0.0093036818505337,0,0,0
SPX.Index,0,0,0,0,0,0,0.0234456676074057,0,0,0.0330342543113347,-0.00893778260104347,0,0.00541830162581714,-0.0369125306569772,0,0,-0.0572653680130987,0,0,-0.0502133151655418
VIX.Index,0,0,0,0.643285470337588,-0.845743883380767,0,0,-0.7496721815416,0.169553571461058,-0.390655127304907,0.77613776654721,-0.604235246315229,0.438118245423877,0.163055166684118,0,0,-0.23439790783276,0,-4.49068699798221,0
