,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,ETC,XMR,TRX,XLM,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,-0.0226395005904262,0.237351028285206,-0.0766297762706356,0.139052949488134,0.0106902491787812,0,0.256936054266561,0.443534614029484,-0.258207647156906,0,0,0,0,0,0,0.0143575576002109
ETH,0.136034287342276,0,0,0.0900032237831567,0.152001861346091,0,0,0.123589041965139,0,0,0.24776217255364,0.152651277398182,0.0183835807112591,0.0809307395840647,0.0386690771041669,0,0,0,0,0
XRP,-0.00000000000000000346944695195361,0,0,0.0652039286170241,0.0298671047765819,0.273272727710227,0,0,0,0.05001913777437,0,0.181852434869055,0.0142145473227249,0,0.0643240436467463,0,0,0,0,0
BCH,0,0.198082047409716,0,0,0.425423097196705,0,0.358573182637993,0,-0.000000000000000000433680868994202,0.0466331055693366,0,0,-0.0195600918387103,0,0,0,0,0,0,0
BSV,0.203014479371208,0.217759828367431,0,0.193935074039526,0,0.342276728207861,0.00513665916663486,0,0,0,0,-0.0000000000000000277555756156289,0,0,0,0,0,0,0,0
LTC,0.0859040463890036,0.437828877837559,0,0,0.0936820078084575,0,0.0922507826349747,0,0,0.0925550722688867,0,0.0387172338497732,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0534589444201185,0.0177211506927572,0.443684432570898,0,0,0.030964366620651,0.0759105745996631,0.0875813335710575,0.155351280046698,0,0,0.107130918038163,0,0,0,0,0.0293674051197075
BNB,0.141897379570725,0.332218787611682,0,0.101088751673317,0.117214787224208,0,0,0,0.00138305063870996,0.0170117873610736,0,0,0.0496699040235742,0.0368607953627121,0,0,0,0,0,0.0276913311068113
ADA,0,0.628080823684369,0.14330025283967,0,-0.334648606678399,0,-0.0497927057148165,0,0,-0.0488797425574793,0,0.325694748911886,0.298305440460643,0.166095429295896,0,0,-0.108884432536663,0,0,-0.0267846654651882
ETC,0,0,0,0.346974081259541,0,0,0.293581807938948,0.183851876327667,-0.0306353428161998,0,0.196272291078786,0,0,0.042312778234504,0.118194574924434,0,0,0,0,-0.0417846107005627
XMR,0.000000000000000000867361737988404,0.336472540989996,0,0.0686436992370256,0,0,0,0.241995636416604,0,-0.0340962838910414,0,0.0255686192816517,0,0.251838933414294,0.00000000000000000346944695195361,0,0,0,0,0.0318187580893975
TRX,0,0,0,0.409724635220278,-0.151488855969107,0.280698034119387,0.157056097506382,0,0.117233190429533,0.167777375997092,0,0,0.105560178460027,0,0,0,0,0,0,0
XLM,0,0.0946983818216157,0,0.110123501885117,0,0.274875272471356,0,-0.161858538314723,0.232736038093426,0.11032578834909,0.0701760057895957,0.0685494769499791,0,0.0582688107025427,0.0143424344062724,0,0,0,0,-0.0433791418467368
XTZ,0.186768634913345,0,0,0,0,0,0,0,0,0.244797628727807,0,-0.0000000000000000138777878078145,0.337010387642409,0,0.191734990971804,0,-0.27236165672959,0,0,0.00251371025297785
DASH,0.0315847747973118,0,0,0,-0.11755251515932,0,0.360628593850409,0.360944781043802,0,0,0,0,0.15349930581844,0.0234935921242866,0,0,0,0,0,0.0170011138145406
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.035946430687593,0,0.140416062870325,0.19755225026432,-0.404636186807897,0,0.022538935341064,0,0,0.0128491940222586
CVIX.INDEX,0,0.645005900216084,-0.812572158464076,0,-0.302595826221269,0,0,0.458528280904647,-0.305449150861614,0.399768503989862,-0.345810380277395,0,0.0707033832205013,-0.129379430057214,0.116446232846905,0,0,0,0,-0.165452083742657
DXY.INDEX,0.00827140091568172,0,0.0902090450696962,0,-0.0875102701690613,0,-0.0269181873209629,-0.00948668940966011,0.00901747416227331,-0.0379927688466743,-0.0113258138205306,0.0654689723587479,0.0272235511829251,0,0,0,0.0313793811213701,0,-0.156421629333498,0
SPX.INDEX,0.0333398559675497,0,0,0.0463823811155569,-0.0896983915344488,0,0,0.103065233121733,0.1069979755438,0,0,-0.186812809908289,0,-0.00904919729340616,0,0.0873554098123293,-0.0148155317832049,0,0,-0.196453398903928
VIX.INDEX,0,0,0,0.0864747415560594,-0.272346607132033,0,0,0.410854859016482,0.481755216283468,0.111146688187828,-0.191288374026827,-0.684209090131228,0.181895801003581,-0.167620571472997,-0.156148571441548,0,-0.24703952573573,0,-4.47968496082546,0
